# Saved on 2025-07-12T16:03:02.528928
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE14
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00329
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2.3
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.2968213782e-03
1.0001440000e+00,3.2937221113e-03
2.0001440000e+00,3.2914415351e-03
3.0001440000e+00,3.2914581243e-03
4.0001440000e+00,3.2930771704e-03
5.0001440000e+00,3.2931083115e-03
6.0001440000e+00,3.2912884490e-03
7.0001440000e+00,3.2899691723e-03
8.0001440000e+00,3.2899490907e-03
9.0001440000e+00,3.2890751027e-03
1.0000144000e+01,3.2872983138e-03
1.1000144000e+01,3.2901184750e-03
1.2000144000e+01,3.2887837733e-03
1.3000144000e+01,3.2878425554e-03
1.4000144000e+01,3.2878742786e-03
1.5000144000e+01,3.2896283665e-03
1.6000144000e+01,3.2888440182e-03
1.7000144000e+01,3.2892960007e-03
1.8000144000e+01,3.2885419205e-03
1.9000144000e+01,3.2887858106e-03
2.0000144000e+01,3.2894281321e-03
2.1000144000e+01,3.2892753370e-03
2.2000144000e+01,3.2888108399e-03
2.3000144000e+01,3.2895029290e-03
2.4000144000e+01,3.2894007745e-03
2.5000144000e+01,3.2892372110e-03
2.6000144000e+01,3.2882127562e-03
2.7000144000e+01,3.2889464637e-03
2.8000144000e+01,3.2881731750e-03
2.9000144000e+01,3.2876551268e-03
3.0000144000e+01,3.2892334275e-03
3.1000144000e+01,3.2877310878e-03
3.2000144000e+01,3.2885977998e-03
3.3000144000e+01,3.2887884299e-03
3.4000144000e+01,3.2887174166e-03
3.5000144000e+01,3.2886161353e-03
3.6000144000e+01,3.2879560604e-03
3.7000144000e+01,3.2882377855e-03
3.8000144000e+01,3.2880733488e-03
3.9000144000e+01,3.2883114181e-03
4.0000144000e+01,3.2875634497e-03
4.1000144000e+01,3.2885427936e-03
4.2000144000e+01,3.2874743920e-03
4.3000144000e+01,3.2876350451e-03
4.4000144000e+01,3.2872843440e-03
4.5000144000e+01,3.2889097929e-03
4.6000144000e+01,3.2877371996e-03
4.7000144000e+01,3.2883352833e-03
4.8000144000e+01,3.2885238761e-03
4.9000144000e+01,3.2889601425e-03
5.0000144000e+01,3.2890366856e-03
5.1000144000e+01,3.2887846464e-03
5.2000144000e+01,3.2881929656e-03
5.3000144000e+01,3.2886362169e-03
5.4000144000e+01,3.2887246925e-03
5.5000144000e+01,3.2888416899e-03
5.6000144000e+01,3.2894630567e-03
5.7000144000e+01,3.2899482176e-03
5.8000144000e+01,3.2884924440e-03
5.9000144000e+01,3.2869906863e-03
6.0000144000e+01,3.2893501339e-03
6.1000144000e+01,3.2887791167e-03
6.2000144000e+01,3.2885133987e-03
6.3000144000e+01,3.2882619416e-03
6.4000144000e+01,3.2888719579e-03
6.5000144000e+01,3.2897703932e-03
6.6000144000e+01,3.2890492002e-03
6.7000144000e+01,3.2898032805e-03
6.8000144000e+01,3.2888996066e-03
6.9000144000e+01,3.2886612462e-03
7.0000144000e+01,3.2882115920e-03
7.1000144000e+01,3.2875701436e-03
7.2000144000e+01,3.2895090408e-03
