# Saved on 2025-07-12T15:32:43.208593
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.0005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,5.0845806982e-04,5.9074958699e-04
1.1440000000e-03,5.0812624977e-04,5.8737066865e-04
2.1440000000e-03,5.0939102948e-04,5.8747828007e-04
3.1440000000e-03,5.0847349485e-04,5.8980102040e-04
4.1440000000e-03,5.0802922487e-04,5.8926623751e-04
5.1440000000e-03,5.0978083891e-04,5.9092300944e-04
6.1440000000e-03,5.1010665629e-04,5.9021131165e-04
7.1440000000e-03,5.1015893405e-04,5.8882589656e-04
8.1440000000e-03,5.0893318985e-04,5.9011101257e-04
9.1440000000e-03,5.0892511354e-04,5.9051020799e-04
1.0144000000e-02,5.0833830755e-04,5.8993442508e-04
1.1144000000e-02,5.0826391089e-04,5.8896181145e-04
1.2144000000e-02,5.0980255764e-04,5.8932790125e-04
1.3144000000e-02,5.0734823162e-04,5.8943147451e-04
1.4144000000e-02,5.0804690545e-04,5.8835514210e-04
1.5144000000e-02,5.0753751566e-04,5.8867201005e-04
1.6144000000e-02,5.0898092013e-04,5.8803405409e-04
1.7144000000e-02,5.0889386330e-04,5.9005167714e-04
1.8144000000e-02,5.0887560064e-04,5.8935329434e-04
1.9144000000e-02,5.0852082495e-04,5.8810976043e-04
2.0144000000e-02,5.0784274208e-04,5.8737678046e-04
2.1144000000e-02,5.0835162256e-04,5.8878071286e-04
2.2144000000e-02,5.0791179092e-04,5.8797675592e-04
2.3144000000e-02,5.0881750212e-04,5.8824298321e-04
2.4144000000e-02,5.0845195801e-04,5.8742447436e-04
2.5144000000e-02,5.0969480071e-04,5.9029767726e-04
2.6144000000e-02,5.0970305892e-04,5.8642763179e-04
2.7144000000e-02,5.0827740779e-04,5.8881661971e-04
2.8144000000e-02,5.0801521866e-04,5.8950277889e-04
2.9144000000e-02,5.0732087402e-04,5.8926518250e-04
3.0144000000e-02,5.0966737035e-04,5.8790876210e-04
3.1144000000e-02,5.0870265113e-04,5.9124515246e-04
3.2144000000e-02,5.0931441365e-04,5.8890807850e-04
3.3144000000e-02,5.1038587117e-04,5.8970810642e-04
3.4144000000e-02,5.0953964092e-04,5.8882462326e-04
3.5144000000e-02,5.0971560995e-04,5.8847268519e-04
3.6144000000e-02,5.0973496400e-04,5.8924331825e-04
3.7144000000e-02,5.0778704463e-04,5.8947647631e-04
3.8144000000e-02,5.0841070333e-04,5.8839581470e-04
3.9144000000e-02,5.0853079301e-04,5.8780646214e-04
4.0144000000e-02,5.0863291108e-04,5.8967354562e-04
4.1144000000e-02,5.0880815252e-04,5.8866637119e-04
4.2144000000e-02,5.0841474149e-04,5.8850786445e-04
4.3144000000e-02,5.0795151765e-04,5.8833324147e-04
4.4144000000e-02,5.0853097491e-04,5.8902383898e-04
4.5144000000e-02,5.0768150686e-04,5.8866953623e-04
4.6144000000e-02,5.1000875828e-04,5.8917688875e-04
4.7144000000e-02,5.0938240747e-04,5.8958747104e-04
4.8144000000e-02,5.0933042075e-04,5.8834262745e-04
4.9144000000e-02,5.0881320931e-04,5.8942277974e-04
5.0144000000e-02,5.0994003686e-04,5.8830799389e-04
5.1144000000e-02,5.0891201681e-04,5.8808116592e-04
5.2144000000e-02,5.0850510888e-04,5.8868030465e-04
5.3144000000e-02,5.0769849622e-04,5.9092209995e-04
5.4144000000e-02,5.0929706049e-04,5.8945890487e-04
5.5144000000e-02,5.0750939408e-04,5.9007794334e-04
5.6144000000e-02,5.0810889661e-04,5.9001857153e-04
5.7144000000e-02,5.0983126130e-04,5.9044519730e-04
5.8144000000e-02,5.0890965213e-04,5.8857778640e-04
5.9144000000e-02,5.0963833928e-04,5.8843976149e-04
6.0144000000e-02,5.0888265832e-04,5.8859150158e-04
6.1144000000e-02,5.0882470532e-04,5.8745405113e-04
6.2144000000e-02,5.0780825404e-04,5.8995221480e-04
6.3144000000e-02,5.0873233704e-04,5.8953308326e-04
6.4144000000e-02,5.0854105211e-04,5.8928988437e-04
6.5144000000e-02,5.0909471611e-04,5.9054400481e-04
6.6144000000e-02,5.1002680266e-04,5.8936311689e-04
6.7144000000e-02,5.0890259445e-04,5.8910114603e-04
6.8144000000e-02,5.0910799473e-04,5.8914174588e-04
6.9144000000e-02,5.0864236982e-04,5.8922254539e-04
7.0144000000e-02,5.0903632655e-04,5.9040517954e-04
7.1144000000e-02,5.0804388593e-04,5.9011956182e-04
7.2144000000e-02,5.0772505347e-04,5.9090518334e-04
7.3144000000e-02,5.0897997426e-04,5.8836874814e-04
7.4144000000e-02,5.0958180509e-04,5.8809306211e-04
7.5144000000e-02,5.0928771088e-04,5.8769295720e-04
7.6144000000e-02,5.0911789003e-04,5.8935194829e-04
7.7144000000e-02,5.0910970458e-04,5.8940182498e-04
7.8144000000e-02,5.0914117310e-04,5.8945093770e-04
7.9144000000e-02,5.0816412113e-04,5.8996854932e-04
8.0144000000e-02,5.1035236538e-04,5.9034762671e-04
8.1144000000e-02,5.0975108024e-04,5.9022131609e-04
8.2144000000e-02,5.1019942475e-04,5.8739595261e-04
8.3144000000e-02,5.1063794672e-04,5.8815719967e-04
8.4144000000e-02,5.0891860155e-04,5.8915742557e-04
8.5144000000e-02,5.0986454880e-04,5.8930643718e-04
8.6144000000e-02,5.0845846999e-04,5.9120859078e-04
8.7144000000e-02,5.0932187150e-04,5.8920431911e-04
8.8144000000e-02,5.0869508414e-04,5.8925274061e-04
8.9144000000e-02,5.0930615544e-04,5.8791360061e-04
9.0144000000e-02,5.1069546316e-04,5.8838333644e-04
9.1144000000e-02,5.1020047977e-04,5.8874153183e-04
9.2144000000e-02,5.0930117141e-04,5.8741003159e-04
9.3144000000e-02,5.0799535529e-04,5.9023957874e-04
9.4144000000e-02,5.0707760238e-04,5.9093428717e-04
9.5144000000e-02,5.0791517424e-04,5.9075187892e-04
9.6144000000e-02,5.0843536883e-04,5.8901976445e-04
9.7144000000e-02,5.0699683925e-04,5.8933983382e-04
9.8144000000e-02,5.0877912145e-04,5.8848541812e-04
9.9144000000e-02,5.0929982535e-04,5.8886755141e-04
1.0014400000e-01,5.0804897910e-04,5.8820911363e-04
1.0114400000e-01,5.0854734582e-04,5.8791822084e-04
1.0214400000e-01,5.0852089771e-04,5.8833480580e-04
1.0314400000e-01,5.0779170124e-04,5.8883713791e-04
1.0414400000e-01,5.0867700338e-04,5.8920257288e-04
1.0514400000e-01,5.0911319704e-04,5.8940491726e-04
1.0614400000e-01,5.0940016081e-04,5.8940710005e-04
1.0714400000e-01,5.0894344895e-04,5.9146936110e-04
1.0814400000e-01,5.0923274102e-04,5.9007419623e-04
1.0914400000e-01,5.0989259762e-04,5.9053843870e-04
1.1014400000e-01,5.0918562920e-04,5.9187430452e-04
1.1114400000e-01,5.0904251111e-04,5.9039924963e-04
1.1214400000e-01,5.0888447731e-04,5.9261612478e-04
1.1314400000e-01,5.0927799748e-04,5.9116318880e-04
1.1414400000e-01,5.0933198509e-04,5.9064412198e-04
1.1514400000e-01,5.0966573326e-04,5.9014855651e-04
1.1614400000e-01,5.0943435781e-04,5.8985297073e-04
1.1714400000e-01,5.0879043556e-04,5.9132747992e-04
1.1814400000e-01,5.1027629524e-04,5.9050817072e-04
1.1914400000e-01,5.1060822443e-04,5.9182890254e-04
1.2014400000e-01,5.1091396017e-04,5.9053883888e-04
1.2114400000e-01,5.0866354286e-04,5.9055844758e-04
1.2214400000e-01,5.1045411965e-04,5.9053571022e-04
