# Saved on 2025-07-12T15:32:43.233358
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.0005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,5.0406746595e-04,5.9049350966e-04
1.0001440000e+00,5.0644743169e-04,5.9053938458e-04
2.0001440000e+00,5.0206646847e-04,5.9176218201e-04
3.0001440000e+00,5.0788097724e-04,5.9287169279e-04
4.0001440000e+00,5.0233909860e-04,5.9078058257e-04
5.0001440000e+00,5.0057988119e-04,5.9131536545e-04
6.0001440000e+00,5.0110236771e-04,5.9155707277e-04
7.0001440000e+00,5.0444410590e-04,5.9040739870e-04
8.0001440000e+00,5.0147154980e-04,5.8958899899e-04
9.0001440000e+00,5.0129219744e-04,5.9200665419e-04
1.0000144000e+01,5.0107599236e-04,5.8941808675e-04
1.1000144000e+01,5.0076680054e-04,5.9048452385e-04
1.2000144000e+01,5.0219514378e-04,5.9173624322e-04
1.3000144000e+01,5.0238446420e-04,5.8958288719e-04
1.4000144000e+01,5.0250284403e-04,5.8941619500e-04
1.5000144000e+01,5.0339815061e-04,5.8984573116e-04
1.6000144000e+01,5.0439255574e-04,5.8884961618e-04
1.7000144000e+01,5.0397502491e-04,5.9077770857e-04
1.8000144000e+01,5.0308448408e-04,5.8960704337e-04
1.9000144000e+01,5.0299116992e-04,5.8885398175e-04
2.0000144000e+01,5.0184884458e-04,5.9179790696e-04
2.1000144000e+01,5.0287155318e-04,5.8749985328e-04
2.2000144000e+01,5.0323542382e-04,5.8853915107e-04
2.3000144000e+01,5.0283950259e-04,5.8897298004e-04
2.4000144000e+01,5.0395708968e-04,5.8940549934e-04
2.5000144000e+01,5.0365692005e-04,5.9002704802e-04
2.6000144000e+01,5.0284015742e-04,5.8772922785e-04
2.7000144000e+01,5.0432743592e-04,5.8663477830e-04
2.8000144000e+01,5.0401402405e-04,5.8803128923e-04
2.9000144000e+01,5.0478513003e-04,5.9168207372e-04
3.0000144000e+01,5.0543407269e-04,5.9116006014e-04
3.1000144000e+01,5.0385122449e-04,5.8896745031e-04
3.2000144000e+01,5.0433114666e-04,5.8844536397e-04
3.3000144000e+01,5.0419213949e-04,5.8632031141e-04
3.4000144000e+01,5.0373633712e-04,5.8660305513e-04
3.5000144000e+01,5.0418468163e-04,5.8972174884e-04
3.6000144000e+01,5.0367172662e-04,5.8922425524e-04
3.7000144000e+01,5.0437130994e-04,5.8813209762e-04
3.8000144000e+01,5.0461119827e-04,5.8843357692e-04
3.9000144000e+01,5.0356764405e-04,5.8708887082e-04
4.0000144000e+01,5.0367878430e-04,5.8801724663e-04
4.1000144000e+01,5.0308586651e-04,5.8694200561e-04
4.2000144000e+01,5.0533239119e-04,5.8950146922e-04
4.3000144000e+01,5.0016889872e-04,5.8818586695e-04
4.4000144000e+01,5.0150974857e-04,5.8732104662e-04
4.5000144000e+01,5.0320584705e-04,5.8531135437e-04
4.6000144000e+01,5.0178896345e-04,5.8673722378e-04
4.7000144000e+01,5.0204424042e-04,5.8811194322e-04
4.8000144000e+01,5.0200487749e-04,5.8722780523e-04
