# Saved on 2025-07-12T15:41:00.871679
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.0005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,7.0669048000e-04,7.9720492067e-04
1.1440000000e-03,7.0690090070e-04,7.9887329775e-04
2.1440000000e-03,7.0694804890e-04,7.9798832303e-04
3.1440000000e-03,7.0805428550e-04,7.9796009231e-04
4.1440000000e-03,7.0759968366e-04,7.9652723798e-04
5.1440000000e-03,7.0534777478e-04,7.9781661043e-04
6.1440000000e-03,7.0531998063e-04,7.9801255197e-04
7.1440000000e-03,7.0485468314e-04,7.9814642959e-04
8.1440000000e-03,7.0463909651e-04,7.9797006038e-04
9.1440000000e-03,7.0653870353e-04,7.9735524196e-04
1.0144000000e-02,7.0610294642e-04,7.9876845120e-04
1.1144000000e-02,7.0720641816e-04,7.9699653725e-04
1.2144000000e-02,7.0588335802e-04,7.9643446952e-04
1.3144000000e-02,7.0583315392e-04,7.9705831013e-04
1.4144000000e-02,7.0677575422e-04,7.9737670603e-04
1.5144000000e-02,7.0710077125e-04,7.9721045040e-04
1.6144000000e-02,7.0621863415e-04,7.9700235801e-04
1.7144000000e-02,7.0572074037e-04,7.9867182649e-04
1.8144000000e-02,7.0647845860e-04,7.9811929027e-04
1.9144000000e-02,7.0531241363e-04,7.9854136857e-04
2.0144000000e-02,7.0682399382e-04,7.9706369434e-04
2.1144000000e-02,7.0802445407e-04,7.9784498666e-04
2.2144000000e-02,7.0686692197e-04,7.9684112279e-04
2.3144000000e-02,7.0756876084e-04,7.9650308180e-04
2.4144000000e-02,7.0671900176e-04,7.9674668086e-04
2.5144000000e-02,7.0677633630e-04,7.9743775132e-04
2.6144000000e-02,7.0828165917e-04,7.9697128967e-04
2.7144000000e-02,7.0762544055e-04,7.9636411101e-04
2.8144000000e-02,7.0716523624e-04,7.9651275882e-04
2.9144000000e-02,7.0676556788e-04,7.9673467553e-04
3.0144000000e-02,7.0790978498e-04,7.9687401012e-04
3.1144000000e-02,7.0690774010e-04,7.9621037003e-04
3.2144000000e-02,7.0833375503e-04,7.9720804933e-04
3.3144000000e-02,7.0744201366e-04,7.9839155660e-04
3.4144000000e-02,7.0654285082e-04,7.9769451986e-04
3.5144000000e-02,7.0742942626e-04,7.9696757894e-04
3.6144000000e-02,7.0692796726e-04,7.9642224591e-04
3.7144000000e-02,7.0659982157e-04,7.9668665421e-04
3.8144000000e-02,7.0883979788e-04,7.9713543528e-04
3.9144000000e-02,7.0851274359e-04,7.9591976828e-04
4.0144000000e-02,7.0780151873e-04,7.9708472185e-04
4.1144000000e-02,7.0687565312e-04,7.9563142208e-04
4.2144000000e-02,7.0713940659e-04,7.9712182924e-04
4.3144000000e-02,7.0721696829e-04,7.9715588072e-04
4.4144000000e-02,7.0730086009e-04,7.9645331425e-04
4.5144000000e-02,7.0752059401e-04,7.9647361417e-04
4.6144000000e-02,7.0721565862e-04,7.9540106526e-04
4.7144000000e-02,7.0795198553e-04,7.9717960034e-04
4.8144000000e-02,7.0722708188e-04,7.9769422882e-04
4.9144000000e-02,7.0585978392e-04,7.9651770648e-04
5.0144000000e-02,7.0833462814e-04,7.9602716141e-04
5.1144000000e-02,7.0823050919e-04,7.9744837421e-04
5.2144000000e-02,7.0641617640e-04,7.9811885371e-04
5.3144000000e-02,7.0794427302e-04,7.9855381045e-04
5.4144000000e-02,7.0767120633e-04,7.9540775914e-04
5.5144000000e-02,7.0865949965e-04,7.9808371083e-04
