# Saved on 2025-07-12T15:41:00.898193
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE15
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.0005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,7.0373243943e-04,7.9512232332e-04
1.0001440000e+00,7.0604677603e-04,7.9542529420e-04
2.0001440000e+00,7.0602240157e-04,7.9518933489e-04
3.0001440000e+00,7.0643764047e-04,7.9318560893e-04
4.0001440000e+00,7.0603397035e-04,7.9481564171e-04
5.0001440000e+00,7.0630383561e-04,7.9332530731e-04
6.0001440000e+00,7.0542759204e-04,7.9414086940e-04
7.0001440000e+00,7.0525537012e-04,7.9313591414e-04
8.0001440000e+00,7.0700538345e-04,7.9262114014e-04
9.0001440000e+00,7.0644062362e-04,7.9205783550e-04
1.0000144000e+01,7.0658985351e-04,7.9406592704e-04
1.1000144000e+01,7.0628782851e-04,7.9340228694e-04
1.2000144000e+01,7.0594920544e-04,7.9438927060e-04
1.3000144000e+01,7.0482499723e-04,7.9165009083e-04
1.4000144000e+01,7.0589070674e-04,7.9152188846e-04
1.5000144000e+01,7.0646594395e-04,7.9433273640e-04
1.6000144000e+01,7.0494745160e-04,7.9173732956e-04
1.7000144000e+01,7.0543042966e-04,7.9377918155e-04
1.8000144000e+01,7.0642490755e-04,7.9367047874e-04
1.9000144000e+01,7.0430098276e-04,7.9165067291e-04
2.0000144000e+01,7.0676338510e-04,7.9237790487e-04
2.1000144000e+01,7.0379282988e-04,7.9156605352e-04
2.2000144000e+01,7.0487607445e-04,7.9248653492e-04
2.3000144000e+01,7.0478767157e-04,7.9310004367e-04
2.4000144000e+01,7.0499438152e-04,7.9273260781e-04
2.5000144000e+01,7.0445508754e-04,7.9305908002e-04
2.6000144000e+01,7.0423106081e-04,7.9118319263e-04
2.7000144000e+01,7.0415022492e-04,7.9203498899e-04
2.8000144000e+01,7.0363617851e-04,7.9153141996e-04
2.9000144000e+01,7.0471323852e-04,7.9314158938e-04
3.0000144000e+01,7.0384048740e-04,7.9179844761e-04
3.1000144000e+01,7.0437781687e-04,7.9208803072e-04
3.2000144000e+01,7.0495210821e-04,7.9309873399e-04
3.3000144000e+01,7.0317044447e-04,7.9203891801e-04
3.4000144000e+01,7.0472386142e-04,7.9271994764e-04
3.5000144000e+01,7.0571950346e-04,7.9376361100e-04
3.6000144000e+01,7.0606947702e-04,7.9222205386e-04
3.7000144000e+01,7.0525136834e-04,7.9429148172e-04
3.8000144000e+01,7.0334652264e-04,7.9262339568e-04
3.9000144000e+01,7.0500806032e-04,7.9410456237e-04
4.0000144000e+01,7.0466048783e-04,7.9347300925e-04
4.1000144000e+01,7.0596412115e-04,7.9379911767e-04
4.2000144000e+01,7.0455003879e-04,7.9247103713e-04
4.3000144000e+01,7.0408474130e-04,7.9237332102e-04
4.4000144000e+01,7.0590220275e-04,7.9294506577e-04
4.5000144000e+01,7.0654161391e-04,7.9087265476e-04
4.6000144000e+01,7.0683039667e-04,7.9273340816e-04
4.7000144000e+01,7.0625057560e-04,7.9217134044e-04
4.8000144000e+01,7.0509217039e-04,7.9396209912e-04
4.9000144000e+01,7.0354195486e-04,7.9147575889e-04
5.0000144000e+01,7.0545822382e-04,7.9272715084e-04
5.1000144000e+01,7.0621979830e-04,7.9217403254e-04
5.2000144000e+01,7.0559239248e-04,7.9180179455e-04
5.3000144000e+01,7.0460897405e-04,7.9228680988e-04
5.4000144000e+01,7.0431189670e-04,7.9226039816e-04
5.5000144000e+01,7.0554138802e-04,7.9248129623e-04
5.6000144000e+01,7.0461712312e-04,7.9272824223e-04
5.7000144000e+01,7.0555972343e-04,7.9264711530e-04
5.8000144000e+01,7.0578695158e-04,7.9270423157e-04
5.9000144000e+01,7.0548398071e-04,7.9115154222e-04
6.0000144000e+01,7.0600151957e-04,7.9163488408e-04
6.1000144000e+01,7.0232395956e-04,7.9118493886e-04
6.2000144000e+01,7.0523718023e-04,7.9313562310e-04
6.3000144000e+01,7.0304166002e-04,7.9144127085e-04
6.4000144000e+01,7.0468158810e-04,7.9108081991e-04
6.5000144000e+01,7.0484944445e-04,7.9304940300e-04
6.6000144000e+01,7.0378489909e-04,7.9143792391e-04
6.7000144000e+01,7.0283917012e-04,7.9161771282e-04
6.8000144000e+01,7.0216527092e-04,7.9181001638e-04
6.9000144000e+01,7.0564972702e-04,7.9403653217e-04
7.0000144000e+01,7.0294903708e-04,7.9214180005e-04
7.1000144000e+01,7.0262787631e-04,7.9239835031e-04
7.2000144000e+01,7.0483714808e-04,7.9269470007e-04
7.3000144000e+01,7.0300848165e-04,7.9134915723e-04
7.4000144000e+01,7.0368630986e-04,7.9133547843e-04
7.5000144000e+01,7.0387104643e-04,7.9140161688e-04
7.6000144000e+01,7.0527326898e-04,7.9230318079e-04
7.7000144000e+01,7.0445472375e-04,7.9246412497e-04
7.8000144000e+01,7.0349276939e-04,7.9165722127e-04
7.9000144000e+01,7.0647729444e-04,7.9172074038e-04
8.0000144000e+01,7.0616748417e-04,7.9182027548e-04
8.1000144000e+01,7.0502021117e-04,7.9156197899e-04
8.2000144000e+01,7.0655776653e-04,7.9312136222e-04
8.3000144000e+01,7.0594309364e-04,7.9136341810e-04
8.4000144000e+01,7.0560075983e-04,7.9061872384e-04
8.5000144000e+01,7.0479938586e-04,7.9129466030e-04
8.6000144000e+01,7.0475740358e-04,7.9222118075e-04
8.7000144000e+01,7.0348891313e-04,7.9194323916e-04
8.8000144000e+01,7.0584996138e-04,7.9184137576e-04
8.9000144000e+01,7.0519490691e-04,7.9275196185e-04
9.0000144000e+01,7.0464455348e-04,7.9130055383e-04
9.1000144000e+01,7.0510977821e-04,7.9173922131e-04
9.2000144000e+01,7.0312526077e-04,7.9081335571e-04
9.3000144000e+01,7.0390626206e-04,7.9034361988e-04
9.4000144000e+01,7.0626942033e-04,7.9216340964e-04
9.5000144000e+01,7.0342459367e-04,7.9019715486e-04
9.6000144000e+01,7.0470581704e-04,7.9194818682e-04
9.7000144000e+01,7.0431815402e-04,7.9100180301e-04
9.8000144000e+01,7.0566100476e-04,7.9107187048e-04
9.9000144000e+01,7.0514281106e-04,7.9048615589e-04
1.0000014400e+02,7.0502537710e-04,7.9116587585e-04
1.0100014400e+02,7.0501082519e-04,7.9047335021e-04
1.0200014400e+02,7.0557616709e-04,7.9007215390e-04
1.0300014400e+02,7.0596281148e-04,7.9101599113e-04
1.0400014400e+02,7.0532805694e-04,7.9003133578e-04
1.0500014400e+02,7.0638743637e-04,7.8887816926e-04
1.0600014400e+02,7.0404108556e-04,7.8990276961e-04
1.0700014400e+02,7.0506648626e-04,7.9006502347e-04
1.0800014400e+02,7.0502399467e-04,7.9000659753e-04
1.0900014400e+02,7.0480367867e-04,7.9176075815e-04
1.1000014400e+02,7.0400652476e-04,7.8963166743e-04
1.1100014400e+02,7.0524300099e-04,7.8844343079e-04
1.1200014400e+02,7.0384667197e-04,7.8756704170e-04
