# Saved on 2025-07-12T15:14:20.904107
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE16
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.0005
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,4.9893613323e-04,5.9375764977e-04,6.9789464760e-04,7.9867837485e-04
1.1440000000e-03,4.9827685871e-04,5.9387799411e-04,6.9837791671e-04,7.9768760770e-04
2.1440000000e-03,4.9875085097e-04,5.9397290897e-04,6.9951303885e-04,7.9737052147e-04
3.1440000000e-03,4.9851700169e-04,5.9378096921e-04,6.9863977842e-04,7.9766847193e-04
4.1440000000e-03,4.9855101679e-04,5.9404443164e-04,6.9868030550e-04,7.9903467849e-04
5.1440000000e-03,4.9824848247e-04,5.9370348026e-04,6.9804780651e-04,7.9728750279e-04
6.1440000000e-03,4.9851565564e-04,5.9529200371e-04,6.9844543759e-04,7.9712575825e-04
7.1440000000e-03,4.9858816055e-04,5.9360143496e-04,6.9824476668e-04,7.9741505033e-04
8.1440000000e-03,4.9813184887e-04,5.9386253270e-04,6.9804431405e-04,7.9752076999e-04
9.1440000000e-03,4.9843612942e-04,5.9389345552e-04,6.9917397923e-04,7.9860634287e-04
1.0144000000e-02,4.9874397519e-04,5.9400281316e-04,6.9858077040e-04,7.9758508946e-04
1.1144000000e-02,4.9860514991e-04,5.9337256971e-04,6.9779285695e-04,7.9755132901e-04
1.2144000000e-02,4.9832044169e-04,5.9396825236e-04,6.9840658398e-04,7.9834790085e-04
1.3144000000e-02,4.9804581067e-04,5.9370271629e-04,6.9806243118e-04,7.9796896898e-04
1.4144000000e-02,4.9814956583e-04,5.9380286984e-04,6.9731846452e-04,7.9774028563e-04
1.5144000000e-02,4.9929087254e-04,5.9410249378e-04,6.9843437814e-04,7.9814817582e-04
1.6144000000e-02,4.9889487855e-04,5.9371541283e-04,6.9901099778e-04,7.9811325122e-04
1.7144000000e-02,4.9812981160e-04,5.9356156271e-04,6.9707151852e-04,7.9847173765e-04
1.8144000000e-02,4.9886282795e-04,5.9382553445e-04,6.9867754064e-04,7.9746838310e-04
1.9144000000e-02,4.9875205150e-04,5.9364392655e-04,6.9883826654e-04,7.9749064753e-04
2.0144000000e-02,4.9873167882e-04,5.9428952227e-04,6.9925328717e-04,7.9730409198e-04
2.1144000000e-02,4.9858626880e-04,5.9418733144e-04,6.9853776949e-04,7.9698940681e-04
2.2144000000e-02,4.9839072744e-04,5.9372017859e-04,6.9832269219e-04,7.9822078987e-04
2.3144000000e-02,4.9870162911e-04,5.9389440139e-04,6.9924659329e-04,7.9831428593e-04
2.4144000000e-02,4.9884776672e-04,5.9414731368e-04,6.9884867116e-04,7.9872472270e-04
2.5144000000e-02,4.9815535021e-04,5.9391917603e-04,6.9795001764e-04,7.9838573583e-04
2.6144000000e-02,4.9812646466e-04,5.9364527260e-04,6.9862493547e-04,7.9860918049e-04
2.7144000000e-02,4.9831534852e-04,5.9387992223e-04,6.9814916060e-04,7.9799086961e-04
2.8144000000e-02,4.9811893405e-04,5.9411049733e-04,6.9793743023e-04,7.9733334132e-04
2.9144000000e-02,4.9861308071e-04,5.9377260186e-04,6.9825102401e-04,7.9800578533e-04
3.0144000000e-02,4.9851132644e-04,5.9402911575e-04,6.9771413109e-04,7.9801087850e-04
3.1144000000e-02,4.9887723435e-04,5.9372967371e-04,6.9819041528e-04,7.9740973888e-04
