# Saved on 2025-07-12T20:18:32.294997
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,1.0036000000e-10
7.0000000000e-01,1.0057000000e-10
7.0000000000e-01,1.0184000000e-10
7.0000000000e-01,1.0216000000e-10
7.0000000000e-01,1.0095000000e-10
7.0000000000e-01,1.0141000000e-10
7.0000000000e-01,1.0026000000e-10
7.0000000000e-01,1.0143000000e-10
7.0000000000e-01,1.0149000000e-10
7.0000000000e-01,1.0164000000e-10
7.0000000000e-01,1.0080000000e-10
7.0000000000e-01,1.0213000000e-10
7.0000000000e-01,1.0288000000e-10
7.0000000000e-01,1.0078000000e-10
7.0000000000e-01,1.0255000000e-10
7.0000000000e-01,1.0221000000e-10
7.0000000000e-01,1.0049000000e-10
7.0000000000e-01,1.0065000000e-10
8.0000000000e-01,1.8607000000e-10
8.0000000000e-01,1.8646000000e-10
8.0000000000e-01,1.8707000000e-10
8.0000000000e-01,1.8735000000e-10
8.0000000000e-01,1.8593000000e-10
8.0000000000e-01,1.8775000000e-10
8.0000000000e-01,1.8709000000e-10
8.0000000000e-01,1.8777000000e-10
8.0000000000e-01,1.8734000000e-10
8.0000000000e-01,1.8717000000e-10
8.0000000000e-01,1.8784000000e-10
8.0000000000e-01,1.8733000000e-10
8.0000000000e-01,1.8804000000e-10
8.0000000000e-01,1.8691000000e-10
8.0000000000e-01,1.8791000000e-10
8.0000000000e-01,1.8672000000e-10
8.0000000000e-01,1.8819000000e-10
9.0000000000e-01,3.3059000000e-10
9.0000000000e-01,3.2991000000e-10
9.0000000000e-01,3.2918000000e-10
9.0000000000e-01,3.3204000000e-10
9.0000000000e-01,3.3149000000e-10
9.0000000000e-01,3.3333000000e-10
9.0000000000e-01,3.3314000000e-10
9.0000000000e-01,3.3334000000e-10
9.0000000000e-01,3.3347000000e-10
9.0000000000e-01,3.3393000000e-10
9.0000000000e-01,3.3187000000e-10
9.0000000000e-01,3.3225000000e-10
9.0000000000e-01,3.3236000000e-10
9.0000000000e-01,3.3414000000e-10
9.0000000000e-01,3.3470000000e-10
9.0000000000e-01,3.3209000000e-10
9.0000000000e-01,3.3313000000e-10
9.0000000000e-01,3.3138000000e-10
1.0000000000e+00,5.6788000000e-10
1.0000000000e+00,5.6718000000e-10
1.0000000000e+00,5.6800000000e-10
1.0000000000e+00,5.6753000000e-10
1.0000000000e+00,5.6859000000e-10
1.0000000000e+00,5.6731000000e-10
1.0000000000e+00,5.6835000000e-10
1.0000000000e+00,5.7131000000e-10
1.0000000000e+00,5.7223000000e-10
1.0000000000e+00,5.6881000000e-10
1.0000000000e+00,5.6944000000e-10
1.0000000000e+00,5.7201000000e-10
1.0000000000e+00,5.6901000000e-10
1.0000000000e+00,5.6565000000e-10
1.0000000000e+00,5.6610000000e-10
1.0000000000e+00,5.6868000000e-10
1.0000000000e+00,5.7359000000e-10
1.0000000000e+00,5.6891000000e-10
1.1000000000e+00,9.4526000000e-10
1.1000000000e+00,9.4500000000e-10
