# Saved on 2025-07-12T20:52:20.984279
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00025
#   max_gtarget: 0.00035
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -3.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,2.5039329557e-04,2.9828413972e-04
1.1440000000e-03,2.5112070944e-04,2.9805054510e-04
2.1440000000e-03,2.5103099688e-04,2.9807168175e-04
3.1440000000e-03,2.5052746423e-04,2.9888946301e-04
4.1440000000e-03,2.5131041184e-04,2.9862498195e-04
5.1440000000e-03,2.5078124963e-04,2.9860782888e-04
6.1440000000e-03,2.5066026865e-04,2.9903319955e-04
7.1440000000e-03,2.5055187507e-04,2.9835491659e-04
8.1440000000e-03,2.5096469471e-04,2.9811924833e-04
9.1440000000e-03,2.5088556868e-04,2.9813661968e-04
1.0144000000e-02,2.5169027140e-04,2.9841483411e-04
1.1144000000e-02,2.5118226404e-04,2.9880122383e-04
1.2144000000e-02,2.5097318940e-04,2.9886181437e-04
1.3144000000e-02,2.5073582947e-04,2.9894354157e-04
1.4144000000e-02,2.5046359951e-04,2.9849847124e-04
1.5144000000e-02,2.5041856134e-04,2.9870934668e-04
1.6144000000e-02,2.5039118555e-04,2.9797154639e-04
1.7144000000e-02,2.5101538995e-04,2.9839929994e-04
1.8144000000e-02,2.5080240448e-04,2.9842542062e-04
1.9144000000e-02,2.5088353141e-04,2.9868177080e-04
2.0144000000e-02,2.5052049750e-04,2.9901813832e-04
2.1144000000e-02,2.5182234822e-04,2.9865228498e-04
2.2144000000e-02,2.5108356567e-04,2.9882705348e-04
2.3144000000e-02,2.5115276003e-04,2.9868775528e-04
2.4144000000e-02,2.5130031645e-04,2.9821449061e-04
2.5144000000e-02,2.5159921279e-04,2.9829801861e-04
2.6144000000e-02,2.5047913368e-04,2.9833090593e-04
2.7144000000e-02,2.5055194783e-04,2.9878923669e-04
2.8144000000e-02,2.5072102289e-04,2.9940652894e-04
2.9144000000e-02,2.5056710001e-04,2.9919856388e-04
3.0144000000e-02,2.5103307053e-04,2.9919112421e-04
3.1144000000e-02,2.5098537662e-04,2.9881024602e-04
3.2144000000e-02,2.5031362384e-04,2.9855324101e-04
3.3144000000e-02,2.5041001209e-04,2.9827036997e-04
3.4144000000e-02,2.5115346943e-04,2.9831742722e-04
3.5144000000e-02,2.5121376893e-04,2.9843165976e-04
3.6144000000e-02,2.5128041671e-04,2.9909495424e-04
3.7144000000e-02,2.5125375032e-04,2.9906273994e-04
3.8144000000e-02,2.5074368750e-04,2.9892740713e-04
3.9144000000e-02,2.5066061426e-04,2.9895260013e-04
4.0144000000e-02,2.5080313208e-04,2.9873581298e-04
4.1144000000e-02,2.5034329155e-04,2.9829865525e-04
4.2144000000e-02,2.5065221053e-04,2.9846069083e-04
4.3144000000e-02,2.5096236641e-04,2.9871162042e-04
4.4144000000e-02,2.5047278541e-04,2.9896635169e-04
4.5144000000e-02,2.5048595489e-04,2.9923923648e-04
4.6144000000e-02,2.5060831831e-04,2.9898421417e-04
4.7144000000e-02,2.5098595870e-04,2.9901895687e-04
4.8144000000e-02,2.5044977519e-04,2.9862429074e-04
4.9144000000e-02,2.5041050321e-04,2.9843167795e-04
5.0144000000e-02,2.5070670745e-04,3.0069948480e-04
5.1144000000e-02,2.5036802981e-04,2.9852855732e-04
5.2144000000e-02,2.5057986932e-04,2.9877315683e-04
5.3144000000e-02,2.5076722522e-04,2.9912138416e-04
5.4144000000e-02,2.5061068300e-04,2.9924909541e-04
5.5144000000e-02,2.5033443308e-04,2.9912040191e-04
5.6144000000e-02,2.5022922273e-04,2.9900078516e-04
5.7144000000e-02,2.5107170586e-04,2.9889142752e-04
5.8144000000e-02,2.5097187972e-04,2.9861314033e-04
5.9144000000e-02,2.5091179850e-04,2.9858199923e-04
6.0144000000e-02,2.5091218049e-04,2.9858347261e-04
6.1144000000e-02,2.5073253710e-04,2.9925482522e-04
6.2144000000e-02,2.5107998226e-04,2.9902143069e-04
6.3144000000e-02,2.5122821171e-04,2.9926715797e-04
6.4144000000e-02,2.5107814508e-04,2.9893360988e-04
6.5144000000e-02,2.5037106752e-04,2.9864922908e-04
6.6144000000e-02,2.5039909815e-04,2.9861383155e-04
6.7144000000e-02,2.5042694688e-04,2.9856533729e-04
6.8144000000e-02,2.5097786420e-04,2.9865323086e-04
6.9144000000e-02,2.5058818210e-04,2.9879474823e-04
7.0144000000e-02,2.5078164981e-04,2.9912691389e-04
7.1144000000e-02,2.5074274163e-04,2.9892195016e-04
7.2144000000e-02,2.5057830499e-04,2.9891141821e-04
