# Saved on 2025-07-12T20:52:21.058370
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00025
#   max_gtarget: 0.00035
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -3.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,2.5111234208e-04,2.9801938581e-04
1.0001440000e+00,2.5133944291e-04,2.9804323276e-04
2.0001440000e+00,2.5055951482e-04,2.9767139495e-04
3.0001440000e+00,2.5088211260e-04,2.9768096283e-04
4.0001440000e+00,2.5129611458e-04,2.9738635931e-04
5.0001440000e+00,2.5096969694e-04,2.9730725146e-04
6.0001440000e+00,2.5141249353e-04,2.9734252166e-04
7.0001440000e+00,2.5172121241e-04,2.9766973967e-04
8.0001440000e+00,2.5084355002e-04,2.9782417187e-04
9.0001440000e+00,2.5119852580e-04,2.9747729059e-04
1.0000144000e+01,2.5101233405e-04,2.9803322832e-04
1.1000144000e+01,2.5057301173e-04,2.9837232432e-04
1.2000144000e+01,2.5017283406e-04,2.9737833756e-04
1.3000144000e+01,2.4998087611e-04,2.9828943298e-04
1.4000144000e+01,2.5053221179e-04,2.9796901799e-04
1.5000144000e+01,2.5127510526e-04,2.9739276215e-04
1.6000144000e+01,2.5059211112e-04,2.9729275411e-04
1.7000144000e+01,2.5093811928e-04,2.8999405913e-04
1.8000144000e+01,2.5033757993e-04,2.9043954783e-04
1.9000144000e+01,2.5027111406e-04,2.8951177228e-04
2.0000144000e+01,2.5060364351e-04,2.8949580155e-04
2.1000144000e+01,2.5033259590e-04,2.8966991522e-04
2.2000144000e+01,2.5068467949e-04,2.8962875149e-04
2.3000144000e+01,2.5042128982e-04,2.8987817132e-04
2.4000144000e+01,2.5039187676e-04,2.9023438401e-04
2.5000144000e+01,2.5078345061e-04,2.8950311389e-04
2.6000144000e+01,2.5098284823e-04,2.8982351068e-04
2.7000144000e+01,2.5090716008e-04,2.8997372283e-04
2.8000144000e+01,2.5083443688e-04,2.8981925425e-04
2.9000144000e+01,2.5025141440e-04,2.8992850275e-04
3.0000144000e+01,2.5071483833e-04,2.8951277272e-04
3.1000144000e+01,2.5053210265e-04,2.8989910788e-04
3.2000144000e+01,2.5088378607e-04,2.8965625461e-04
3.3000144000e+01,2.5089791961e-04,2.8933012800e-04
3.4000144000e+01,2.5069388357e-04,2.8935592127e-04
3.5000144000e+01,2.5284180083e-04,2.8906877560e-04
3.6000144000e+01,2.5013148843e-04,2.8920963814e-04
3.7000144000e+01,2.5059522159e-04,2.8907348678e-04
3.8000144000e+01,2.5046820156e-04,2.8895072319e-04
3.9000144000e+01,2.5109886337e-04,2.8951408240e-04
4.0000144000e+01,2.5027493393e-04,2.8895581636e-04
4.1000144000e+01,2.5014645871e-04,2.8905107683e-04
4.2000144000e+01,2.5088787879e-04,2.8921784178e-04
4.3000144000e+01,2.5004779673e-04,2.8941121855e-04
4.4000144000e+01,2.5067954994e-04,2.8927686799e-04
4.5000144000e+01,2.5021954571e-04,2.8889126042e-04
4.6000144000e+01,2.5011931939e-04,2.8891012334e-04
4.7000144000e+01,2.5084615118e-04,2.8928010579e-04
4.8000144000e+01,2.5075094527e-04,2.8895658033e-04
