# Saved on 2025-07-12T20:21:05.766275
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,5.9143000000e-10,5.6743000000e-10
-2.0000000000e-02,5.8591000000e-06,5.8806000000e-06
-4.0000000000e-02,1.1826000000e-05,1.1944000000e-05
-6.0000000000e-02,1.8072000000e-05,1.8220000000e-05
-8.0000000000e-02,2.4750000000e-05,2.4854000000e-05
-1.0000000000e-01,3.1754000000e-05,3.2022000000e-05
-1.2000000000e-01,3.9418000000e-05,3.9626000000e-05
-1.4000000000e-01,4.7680000000e-05,4.7856000000e-05
-1.6000000000e-01,5.6584000000e-05,5.6890000000e-05
-1.8000000000e-01,6.6274000000e-05,6.6898000000e-05
-2.0000000000e-01,7.6862000000e-05,7.7204000000e-05
-2.2000000000e-01,8.8298000000e-05,8.8882000000e-05
-2.4000000000e-01,1.0112000000e-04,1.0152000000e-04
-2.6000000000e-01,1.1478000000e-04,1.1520000000e-04
-2.8000000000e-01,1.2922000000e-04,1.3008000000e-04
-3.0000000000e-01,1.4520000000e-04,1.4640000000e-04
-3.2000000000e-01,1.6272000000e-04,1.6360000000e-04
-3.4000000000e-01,1.8154000000e-04,1.8246000000e-04
-3.6000000000e-01,2.0158000000e-04,2.0304000000e-04
-3.8000000000e-01,2.2386000000e-04,2.2518000000e-04
-4.0000000000e-01,2.4764000000e-04,2.4892000000e-04
-4.2000000000e-01,2.7298000000e-04,2.7420000000e-04
-4.4000000000e-01,3.0054000000e-04,3.0220000000e-04
-4.6000000000e-01,3.3032000000e-04,3.3200000000e-04
-4.8000000000e-01,3.6174000000e-04,3.6366000000e-04
-5.0000000000e-01,3.9568000000e-04,3.9798000000e-04
-5.2000000000e-01,4.3276000000e-04,4.3404000000e-04
-5.4000000000e-01,4.7144000000e-04,4.7306000000e-04
-5.6000000000e-01,5.1316000000e-04,5.1462000000e-04
-5.8000000000e-01,5.5614000000e-04,5.5770000000e-04
-6.0000000000e-01,6.0150000000e-04,6.0288000000e-04
-6.2000000000e-01,6.4938000000e-04,6.5060000000e-04
-6.4000000000e-01,6.9866000000e-04,6.9998000000e-04
-6.6000000000e-01,7.5132000000e-04,7.5056000000e-04
-6.8000000000e-01,8.0416000000e-04,8.0504000000e-04
-7.0000000000e-01,8.5892000000e-04,8.5804000000e-04
-7.2000000000e-01,9.1400000000e-04,9.1670000000e-04
-7.4000000000e-01,9.7290000000e-04,9.7504000000e-04
-7.6000000000e-01,1.0302000000e-03,1.0334000000e-03
-7.8000000000e-01,1.0918000000e-03,1.0932000000e-03
-8.0000000000e-01,1.1532000000e-03,1.1556000000e-03
-8.2000000000e-01,1.2138000000e-03,1.2182000000e-03
-8.4000000000e-01,1.2774000000e-03,1.2818000000e-03
-8.6000000000e-01,1.3406000000e-03,1.3460000000e-03
-8.8000000000e-01,1.4042000000e-03,1.4108000000e-03
-9.0000000000e-01,1.4716000000e-03,1.4760000000e-03
-9.2000000000e-01,1.5344000000e-03,1.5430000000e-03
