# Saved on 2025-07-12T20:21:37.296556
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -2.2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.0398000000e-09,9.7150000000e-10
-2.2000000000e-02,1.1336000000e-06,2.5368000000e-07
-4.4000000000e-02,2.3015000000e-06,5.2106000000e-07
-6.6000000000e-02,3.5009000000e-06,8.0136000000e-07
-8.8000000000e-02,4.7178000000e-06,1.1020000000e-06
-1.1000000000e-01,6.0115000000e-06,1.4250000000e-06
-1.3200000000e-01,7.3342000000e-06,1.8166000000e-06
-1.5400000000e-01,8.7387000000e-06,2.1875000000e-06
-1.7600000000e-01,1.0232000000e-05,2.5819000000e-06
-1.9800000000e-01,1.1746000000e-05,2.9920000000e-06
-2.2000000000e-01,1.3360000000e-05,3.4301000000e-06
-2.4200000000e-01,1.5012000000e-05,3.9013000000e-06
-2.6400000000e-01,1.6764000000e-05,4.3967000000e-06
-2.8600000000e-01,1.8610000000e-05,4.9135000000e-06
-3.0800000000e-01,2.0512000000e-05,5.4494000000e-06
-3.3000000000e-01,2.2528000000e-05,6.4378000000e-06
-3.5200000000e-01,2.4648000000e-05,7.1001000000e-06
-3.7400000000e-01,2.6854000000e-05,7.7663000000e-06
-3.9600000000e-01,2.9176000000e-05,8.4751000000e-06
-4.1800000000e-01,3.1596000000e-05,9.2003000000e-06
-4.4000000000e-01,3.4080000000e-05,9.9461000000e-06
-4.6200000000e-01,3.6812000000e-05,1.0772000000e-05
-4.8400000000e-01,3.9634000000e-05,1.1668000000e-05
-5.0600000000e-01,4.2416000000e-05,1.2460000000e-05
-5.2800000000e-01,4.5398000000e-05,1.3306000000e-05
-5.5000000000e-01,4.8118000000e-05,1.4204000000e-05
-5.7200000000e-01,5.1374000000e-05,1.5228000000e-05
-5.9400000000e-01,5.4750000000e-05,1.6218000000e-05
-6.1600000000e-01,5.8204000000e-05,1.7268000000e-05
-6.3800000000e-01,6.0730000000e-05,1.8338000000e-05
-6.6000000000e-01,6.5054000000e-05,1.9516000000e-05
-6.8200000000e-01,6.9750000000e-05,2.0642000000e-05
-7.0400000000e-01,7.3518000000e-05,2.1924000000e-05
-7.2600000000e-01,7.7042000000e-05,2.3136000000e-05
-7.4800000000e-01,8.1712000000e-05,2.4638000000e-05
-7.7000000000e-01,8.6620000000e-05,2.5966000000e-05
-7.9200000000e-01,9.1444000000e-05,2.7482000000e-05
-8.1400000000e-01,9.6682000000e-05,2.9148000000e-05
-8.3600000000e-01,1.0216000000e-04,3.0594000000e-05
-8.5800000000e-01,1.0738000000e-04,3.2410000000e-05
-8.8000000000e-01,1.1332000000e-04,3.4228000000e-05
-9.0200000000e-01,1.1906000000e-04,3.6246000000e-05
-9.2400000000e-01,1.2562000000e-04,3.8206000000e-05
-9.4600000000e-01,1.3134000000e-04,4.0398000000e-05
-9.6800000000e-01,1.3798000000e-04,4.2574000000e-05
-9.9000000000e-01,1.4484000000e-04,4.4952000000e-05
-1.0120000000e+00,1.5256000000e-04,4.7456000000e-05
