# Saved on 2025-07-12T20:23:16.131263
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.6776000000e-10,2.2172000000e-10
-2.0000000000e-02,1.7985000000e-06,1.7860000000e-06
-4.0000000000e-02,3.6048000000e-06,3.5711000000e-06
-6.0000000000e-02,5.4080000000e-06,5.3871000000e-06
-8.0000000000e-02,7.3143000000e-06,7.2192000000e-06
-1.0000000000e-01,9.2245000000e-06,9.0914000000e-06
-1.2000000000e-01,1.0864000000e-05,1.0852000000e-05
-1.4000000000e-01,1.2364000000e-05,1.2744000000e-05
-1.6000000000e-01,1.4424000000e-05,1.4686000000e-05
-1.8000000000e-01,1.6244000000e-05,1.6588000000e-05
-2.0000000000e-01,1.8256000000e-05,1.8606000000e-05
-2.2000000000e-01,2.0320000000e-05,2.0670000000e-05
-2.4000000000e-01,2.2464000000e-05,2.2740000000e-05
-2.6000000000e-01,2.4618000000e-05,2.4858000000e-05
-2.8000000000e-01,2.6888000000e-05,2.7082000000e-05
-3.0000000000e-01,2.9094000000e-05,2.9266000000e-05
-3.2000000000e-01,3.1460000000e-05,3.1560000000e-05
-3.4000000000e-01,3.3880000000e-05,3.3922000000e-05
-3.6000000000e-01,3.6394000000e-05,3.6382000000e-05
-3.8000000000e-01,3.8976000000e-05,3.8852000000e-05
-4.0000000000e-01,4.1754000000e-05,4.1462000000e-05
-4.2000000000e-01,4.4446000000e-05,4.4100000000e-05
-4.4000000000e-01,4.7372000000e-05,4.6784000000e-05
-4.6000000000e-01,5.0406000000e-05,4.9694000000e-05
-4.8000000000e-01,5.3494000000e-05,5.2676000000e-05
-5.0000000000e-01,5.6914000000e-05,5.5738000000e-05
-5.2000000000e-01,6.0344000000e-05,5.8700000000e-05
-5.4000000000e-01,6.3970000000e-05,6.2020000000e-05
-5.6000000000e-01,6.7658000000e-05,6.5448000000e-05
-5.8000000000e-01,7.1570000000e-05,6.8866000000e-05
-6.0000000000e-01,7.5462000000e-05,7.2504000000e-05
-6.2000000000e-01,7.9602000000e-05,7.6210000000e-05
-6.4000000000e-01,8.3922000000e-05,7.9756000000e-05
-6.6000000000e-01,8.8268000000e-05,8.3704000000e-05
-6.8000000000e-01,9.4174000000e-05,8.7924000000e-05
-7.0000000000e-01,9.9002000000e-05,9.2070000000e-05
-7.2000000000e-01,1.0132000000e-04,9.6760000000e-05
-7.4000000000e-01,1.0730000000e-04,1.0140000000e-04
-7.6000000000e-01,1.1086000000e-04,1.0626000000e-04
-7.8000000000e-01,1.1808000000e-04,1.1112000000e-04
-8.0000000000e-01,1.2272000000e-04,1.1644000000e-04
-8.2000000000e-01,1.2948000000e-04,1.2160000000e-04
-8.4000000000e-01,1.3862000000e-04,1.2740000000e-04
-8.6000000000e-01,1.4554000000e-04,1.3306000000e-04
-8.8000000000e-01,1.4842000000e-04,1.3962000000e-04
-9.0000000000e-01,1.5702000000e-04,1.4550000000e-04
-9.2000000000e-01,1.6776000000e-04,1.5220000000e-04
