# Saved on 2025-07-12T20:24:05.679053
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE43
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,4.1652000000e-10,1.1500300000e-09,1.2720000000e-10,9.3070000000e-11,1.4393000000e-10
-2.0000000000e-02,1.5129000000e-06,1.3873000000e-06,1.1741000000e-06,2.0953000000e-06,2.5265000000e-06
-4.0000000000e-02,3.0376000000e-06,2.8098000000e-06,2.3461000000e-06,4.2218000000e-06,5.1216000000e-06
-6.0000000000e-02,4.5893000000e-06,4.2464000000e-06,3.5027000000e-06,6.3789000000e-06,7.5959000000e-06
-8.0000000000e-02,6.1607000000e-06,5.7245000000e-06,4.7210000000e-06,8.5547000000e-06,1.0188000000e-05
-1.0000000000e-01,7.7729000000e-06,7.2362000000e-06,5.9462000000e-06,1.0740000000e-05,1.2838000000e-05
-1.2000000000e-01,9.4372000000e-06,8.6227000000e-06,7.2109000000e-06,1.3044000000e-05,1.5010000000e-05
-1.4000000000e-01,1.1102000000e-05,9.9250000000e-06,8.4832000000e-06,1.5398000000e-05,1.7588000000e-05
-1.6000000000e-01,1.2848000000e-05,1.0886000000e-05,9.7868000000e-06,1.7780000000e-05,2.0228000000e-05
-1.8000000000e-01,1.4568000000e-05,1.2172000000e-05,1.1000000000e-05,2.0220000000e-05,2.3346000000e-05
-2.0000000000e-01,1.6390000000e-05,1.3634000000e-05,1.2370000000e-05,2.2750000000e-05,2.5628000000e-05
-2.2000000000e-01,1.8242000000e-05,1.5228000000e-05,1.3690000000e-05,2.5392000000e-05,2.8390000000e-05
-2.4000000000e-01,2.0102000000e-05,1.6856000000e-05,1.5100000000e-05,2.8130000000e-05,3.1210000000e-05
-2.6000000000e-01,2.2078000000e-05,1.8458000000e-05,1.6582000000e-05,3.0906000000e-05,3.4194000000e-05
-2.8000000000e-01,2.4122000000e-05,2.0196000000e-05,1.8052000000e-05,3.3914000000e-05,3.7102000000e-05
-3.0000000000e-01,2.6324000000e-05,2.1906000000e-05,1.9652000000e-05,3.6818000000e-05,4.0270000000e-05
-3.2000000000e-01,2.8466000000e-05,2.3720000000e-05,2.1178000000e-05,3.9978000000e-05,4.3312000000e-05
-3.4000000000e-01,3.0588000000e-05,2.5642000000e-05,2.2594000000e-05,4.3148000000e-05,4.6624000000e-05
-3.6000000000e-01,3.2962000000e-05,2.7546000000e-05,2.4054000000e-05,4.6604000000e-05,4.9710000000e-05
-3.8000000000e-01,3.5322000000e-05,2.9496000000e-05,2.5718000000e-05,5.0050000000e-05,5.3460000000e-05
-4.0000000000e-01,3.7808000000e-05,3.1522000000e-05,2.7510000000e-05,5.3604000000e-05,5.7020000000e-05
-4.2000000000e-01,4.0346000000e-05,3.3660000000e-05,2.9284000000e-05,5.7336000000e-05,6.0692000000e-05
-4.4000000000e-01,4.2966000000e-05,3.5836000000e-05,3.1122000000e-05,6.1234000000e-05,6.4582000000e-05
-4.6000000000e-01,4.5648000000e-05,3.8130000000e-05,3.3092000000e-05,6.5286000000e-05,6.8248000000e-05
-4.8000000000e-01,4.8616000000e-05,4.0442000000e-05,3.5070000000e-05,6.9322000000e-05,7.2272000000e-05
-5.0000000000e-01,5.1438000000e-05,4.2770000000e-05,3.7180000000e-05,7.3402000000e-05,7.6288000000e-05
-5.2000000000e-01,5.4512000000e-05,4.5206000000e-05,3.9282000000e-05,7.7540000000e-05,8.0680000000e-05
-5.4000000000e-01,5.7722000000e-05,4.7810000000e-05,4.1528000000e-05,8.2328000000e-05,8.5094000000e-05
-5.6000000000e-01,6.1000000000e-05,5.0552000000e-05,4.4260000000e-05,8.6986000000e-05,8.9816000000e-05
-5.8000000000e-01,6.4328000000e-05,5.3174000000e-05,4.6724000000e-05,9.1518000000e-05,9.4510000000e-05
-6.0000000000e-01,6.7902000000e-05,5.5942000000e-05,4.9238000000e-05,9.6496000000e-05,9.9220000000e-05
-6.2000000000e-01,7.1786000000e-05,5.8954000000e-05,5.1882000000e-05,1.0154000000e-04,1.0448000000e-04
-6.4000000000e-01,7.5374000000e-05,6.1946000000e-05,5.4642000000e-05,1.0672000000e-04,1.0940000000e-04
-6.6000000000e-01,7.9456000000e-05,6.5162000000e-05,5.7596000000e-05,1.1222000000e-04,1.1520000000e-04
-6.8000000000e-01,8.3526000000e-05,6.8526000000e-05,6.0414000000e-05,1.1798000000e-04,1.2008000000e-04
-7.0000000000e-01,8.7820000000e-05,7.2318000000e-05,6.3268000000e-05,1.2334000000e-04,1.2592000000e-04
-7.2000000000e-01,8.9800000000e-05,7.5996000000e-05,6.6694000000e-05,1.2938000000e-04,1.3190000000e-04
-7.4000000000e-01,9.7156000000e-05,7.9880000000e-05,7.0754000000e-05,1.3604000000e-04,1.3910000000e-04
-7.6000000000e-01,1.0208000000e-04,8.3834000000e-05,7.4800000000e-05,1.4190000000e-04,1.4558000000e-04
-7.8000000000e-01,1.0730000000e-04,8.7944000000e-05,7.7938000000e-05,1.4910000000e-04,1.5162000000e-04
-8.0000000000e-01,1.1236000000e-04,9.1956000000e-05,8.1778000000e-05,1.5632000000e-04,1.5950000000e-04
-8.2000000000e-01,1.1792000000e-04,9.6726000000e-05,8.5914000000e-05,1.5964000000e-04,1.6638000000e-04
-8.4000000000e-01,1.2342000000e-04,1.0146000000e-04,9.0176000000e-05,1.6788000000e-04,1.7498000000e-04
-8.6000000000e-01,1.2926000000e-04,1.0634000000e-04,9.4430000000e-05,1.7550000000e-04,1.8208000000e-04
-8.8000000000e-01,1.3532000000e-04,1.1118000000e-04,9.9032000000e-05,1.8570000000e-04,1.9056000000e-04
-9.0000000000e-01,1.4186000000e-04,1.1616000000e-04,1.0384000000e-04,1.9476000000e-04,1.9968000000e-04
-9.2000000000e-01,1.4862000000e-04,1.2150000000e-04,1.0886000000e-04,2.0330000000e-04,2.0814000000e-04
-9.4000000000e-01,1.5556000000e-04,1.2698000000e-04,1.1382000000e-04,2.1276000000e-04,2.1778000000e-04
-9.6000000000e-01,1.6290000000e-04,1.3272000000e-04,1.1918000000e-04,2.2142000000e-04,2.2712000000e-04
-9.8000000000e-01,1.6998000000e-04,1.3868000000e-04,1.2466000000e-04,2.3172000000e-04,2.3732000000e-04
-1.0000000000e+00,1.7486000000e-04,1.4476000000e-04,1.3066000000e-04,2.4238000000e-04,2.4830000000e-04
-1.0200000000e+00,1.8574000000e-04,1.5128000000e-04,1.3672000000e-04,2.5316000000e-04,2.5974000000e-04
-1.0400000000e+00,1.9530000000e-04,1.5804000000e-04,1.4330000000e-04,2.6354000000e-04,2.7072000000e-04
-1.0600000000e+00,2.0434000000e-04,1.6520000000e-04,1.4972000000e-04,2.7650000000e-04,2.8348000000e-04
-1.0800000000e+00,2.1286000000e-04,1.7302000000e-04,1.5658000000e-04,2.8702000000e-04,2.9726000000e-04
-1.1000000000e+00,2.2262000000e-04,1.8080000000e-04,1.6396000000e-04,3.0178000000e-04,3.1080000000e-04
-1.1200000000e+00,2.3254000000e-04,1.8888000000e-04,1.7198000000e-04,3.1534000000e-04,3.2554000000e-04
-1.1400000000e+00,2.4426000000e-04,1.9738000000e-04,1.8066000000e-04,3.3006000000e-04,3.3944000000e-04
-1.1600000000e+00,2.5606000000e-04,2.0664000000e-04,1.8936000000e-04,3.4676000000e-04,3.5976000000e-04
-1.1800000000e+00,2.6706000000e-04,2.1550000000e-04,1.9742000000e-04,3.6172000000e-04,3.7920000000e-04
-1.2000000000e+00,2.7968000000e-04,2.2698000000e-04,2.0574000000e-04,3.8052000000e-04,3.8806000000e-04
-1.2200000000e+00,2.9226000000e-04,2.3626000000e-04,2.1506000000e-04,3.9858000000e-04,4.0932000000e-04
-1.2400000000e+00,3.0964000000e-04,2.4740000000e-04,2.2800000000e-04,4.2402000000e-04,4.3316000000e-04
-1.2600000000e+00,3.2336000000e-04,2.5984000000e-04,2.4014000000e-04,4.4412000000e-04,4.4214000000e-04
-1.2800000000e+00,3.3884000000e-04,2.7226000000e-04,2.5462000000e-04,4.6492000000e-04,4.8618000000e-04
-1.3000000000e+00,3.5122000000e-04,2.8554000000e-04,2.6706000000e-04,4.8916000000e-04,5.0560000000e-04
-1.3200000000e+00,3.7568000000e-04,2.9944000000e-04,2.8610000000e-04,5.2382000000e-04,5.0078000000e-04
-1.3400000000e+00,3.9332000000e-04,3.1582000000e-04,3.0286000000e-04,5.5448000000e-04,5.4716000000e-04
-1.3600000000e+00,4.1420000000e-04,3.3670000000e-04,3.1438000000e-04,5.8938000000e-04,5.5524000000e-04
-1.3800000000e+00,4.4640000000e-04,3.5268000000e-04,3.2798000000e-04,6.3328000000e-04,6.1192000000e-04
