# Saved on 2025-07-12T20:15:51.430389
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE44
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,5.0728391216e-04,6.0769038100e-04,6.9425870606e-04,7.9818397353e-04
1.1440000000e-03,5.0763668696e-04,6.0527465394e-04,6.9393696322e-04,7.9610457760e-04
2.1440000000e-03,5.0814865972e-04,6.0389298596e-04,6.9697533036e-04,7.9593279224e-04
3.1440000000e-03,5.0923805247e-04,6.0408576246e-04,7.0148693339e-04,7.9686695244e-04
4.1440000000e-03,5.0775353884e-04,6.0656082496e-04,6.9675588747e-04,7.9669131082e-04
5.1440000000e-03,5.0793441915e-04,6.0557875258e-04,6.9536305091e-04,7.9819830717e-04
6.1440000000e-03,5.0814422139e-04,6.0585291067e-04,6.9864625402e-04,7.9716170148e-04
7.1440000000e-03,5.0916925829e-04,6.0522739659e-04,6.9712463301e-04,7.9742989328e-04
8.1440000000e-03,5.0791833928e-04,6.0577855038e-04,7.0206915552e-04,7.9634162830e-04
9.1440000000e-03,5.0844908401e-04,6.0503323766e-04,6.9710033131e-04,7.9650497355e-04
1.0144000000e-02,5.0837155868e-04,6.0610185756e-04,6.9531095505e-04,7.9710996943e-04
1.1144000000e-02,5.0869482948e-04,6.0781119828e-04,6.9414119935e-04,7.9689169070e-04
1.2144000000e-02,5.0750935770e-04,6.0482827394e-04,6.9459107181e-04,7.9664896475e-04
1.3144000000e-02,5.0760445447e-04,6.0527559981e-04,6.9666712079e-04,7.9610981629e-04
1.4144000000e-02,5.0771577662e-04,6.0580230638e-04,6.9718211307e-04,7.9662131611e-04
1.5144000000e-02,5.0780694437e-04,6.0524562286e-04,6.9566202001e-04,7.9590878158e-04
1.6144000000e-02,5.0697115512e-04,6.0534232034e-04,6.9444489782e-04,7.9268356785e-04
1.7144000000e-02,5.0669794291e-04,6.0548318288e-04,6.9571258791e-04,7.9262819781e-04
1.8144000000e-02,5.0647046010e-04,6.0540249251e-04,6.9540757977e-04,7.9325945990e-04
1.9144000000e-02,5.0621019909e-04,6.0453432525e-04,6.9466565037e-04,7.9310273577e-04
2.0144000000e-02,5.0671576901e-04,6.0575945099e-04,6.9716537837e-04,7.9520221334e-04
2.1144000000e-02,5.0786977226e-04,6.0515540099e-04,6.9689209340e-04,7.9595578427e-04
2.2144000000e-02,5.0757684221e-04,6.0579252022e-04,6.9709851232e-04,7.9556215496e-04
2.3144000000e-02,5.0799728342e-04,6.0748985561e-04,6.9712747063e-04,7.9554331023e-04
2.4144000000e-02,5.0763876061e-04,6.0725018557e-04,6.9703164627e-04,7.9559555161e-04
2.5144000000e-02,5.0829898100e-04,6.0725869844e-04,6.9532077760e-04,7.9330442532e-04
2.6144000000e-02,5.0769351219e-04,6.0753103753e-04,6.9499408710e-04,7.9480887507e-04
2.7144000000e-02,5.0833459682e-04,6.0773527366e-04,6.9539928518e-04,7.9349963926e-04
2.8144000000e-02,5.0668655604e-04,6.0677451984e-04,6.9635796535e-04,7.9424498836e-04
2.9144000000e-02,5.0738930440e-04,6.0711550759e-04,6.9664289185e-04,7.9734156316e-04
3.0144000000e-02,5.0763086620e-04,6.0859005316e-04,6.9633540988e-04,7.9477678810e-04
3.1144000000e-02,5.0658563850e-04,6.0789094277e-04,6.9567104219e-04,7.9835801444e-04
3.2144000000e-02,5.0770522648e-04,6.0759630287e-04,6.9712761615e-04,7.9790544987e-04
3.3144000000e-02,5.0754977565e-04,6.0783997469e-04,6.9678433647e-04,7.9755664046e-04
3.4144000000e-02,5.0890783314e-04,6.0739985202e-04,6.9615154644e-04,7.9692181316e-04
3.5144000000e-02,5.0914564781e-04,6.0701600887e-04,6.9595662353e-04,7.9780067608e-04
3.6144000000e-02,5.0809161621e-04,6.0665865021e-04,6.9601046562e-04,7.9867437307e-04
3.7144000000e-02,5.0739639846e-04,6.0729478719e-04,6.9477646321e-04,7.9977318819e-04
3.8144000000e-02,5.0689861382e-04,6.0682439653e-04,6.9459041697e-04,7.9986697529e-04
3.9144000000e-02,5.0740673032e-04,6.0647955252e-04,6.9523026468e-04,7.9839075624e-04
4.0144000000e-02,5.0687376643e-04,6.0652178945e-04,6.9535773946e-04,7.9833145719e-04
4.1144000000e-02,5.0728798669e-04,6.0690847022e-04,6.9562105637e-04,7.9992234532e-04
4.2144000000e-02,5.0592927437e-04,6.0721729824e-04,6.9543006248e-04,7.9815195932e-04
4.3144000000e-02,5.0591257605e-04,6.0759193730e-04,6.9506611908e-04,7.9797224316e-04
4.4144000000e-02,5.0722501328e-04,6.0774011217e-04,6.9449306466e-04,7.9832796473e-04
4.5144000000e-02,5.0814167480e-04,6.0676051362e-04,6.9543981226e-04,7.9617566371e-04
4.6144000000e-02,5.0876740715e-04,6.0678186856e-04,6.9476394856e-04,7.9716090113e-04
4.7144000000e-02,5.0791899412e-04,6.0652237153e-04,6.9573645305e-04,7.9542762251e-04
4.8144000000e-02,5.0846974773e-04,6.0698079324e-04,6.9460162194e-04,7.9555597040e-04
