# Saved on 2025-07-12T20:15:51.458391
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE44
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,5.0621565606e-04,6.0362737713e-04,6.9484412961e-04,7.9884841398e-04
1.0001440000e+00,5.0642855058e-04,5.9994152252e-04,6.9962654379e-04,8.0043391790e-04
2.0001440000e+00,5.0593713240e-04,6.0049453168e-04,6.9928719313e-04,8.0041965703e-04
3.0001440000e+00,5.0605071010e-04,5.9663183492e-04,6.9864770921e-04,7.9781915701e-04
4.0001440000e+00,5.0634484069e-04,6.0178066633e-04,6.9626759796e-04,7.9305442341e-04
5.0001440000e+00,5.0318129070e-04,6.0159960412e-04,6.9967034506e-04,7.9331039160e-04
6.0001440000e+00,5.0631868362e-04,6.0144026065e-04,6.9374720624e-04,7.9680881754e-04
7.0001440000e+00,5.0600643590e-04,6.0740130721e-04,6.9879286457e-04,7.9833451309e-04
8.0001440000e+00,5.0570666644e-04,5.9853449784e-04,6.9425470429e-04,7.9783632827e-04
9.0001440000e+00,5.0650280173e-04,5.9864923969e-04,7.0089750807e-04,7.9588091467e-04
1.0000144000e+01,5.0465183449e-04,6.0034461058e-04,7.0010268246e-04,7.9677243775e-04
1.1000144000e+01,5.0489579735e-04,6.0069236497e-04,7.0040034188e-04,7.9712743172e-04
1.2000144000e+01,5.0290240324e-04,5.9834288550e-04,6.9983041612e-04,7.9533674580e-04
1.3000144000e+01,5.0308743084e-04,5.9655711084e-04,6.9664078183e-04,7.9677527538e-04
1.4000144000e+01,5.0261864089e-04,5.9751626395e-04,6.9928457378e-04,7.9410856415e-04
1.5000144000e+01,5.0367601943e-04,5.9822057665e-04,6.9671215897e-04,7.9495701357e-04
1.6000144000e+01,4.9903352192e-04,5.9816033172e-04,6.9564077421e-04,7.9405748693e-04
1.7000144000e+01,5.0510327128e-04,5.9554557083e-04,7.0114954724e-04,7.9563229519e-04
1.8000144000e+01,5.0444050430e-04,5.9553098254e-04,6.9721776526e-04,7.9416531662e-04
1.9000144000e+01,5.0271650252e-04,5.9717680415e-04,6.9907480793e-04,7.9162178736e-04
2.0000144000e+01,4.9888745707e-04,5.9656103986e-04,7.0076712291e-04,7.8912751633e-04
2.1000144000e+01,5.0218684919e-04,5.9775673435e-04,7.0129681262e-04,7.9873520008e-04
2.2000144000e+01,4.9919108278e-04,5.9877565945e-04,7.0160611358e-04,7.9709425336e-04
2.3000144000e+01,4.9831836805e-04,5.9755617258e-04,6.9677582360e-04,7.9460129200e-04
2.4000144000e+01,4.9841608416e-04,5.9558111388e-04,6.9768793765e-04,7.9581994214e-04
2.5000144000e+01,5.0071845180e-04,5.9596091887e-04,6.9758294558e-04,7.9739336798e-04
2.6000144000e+01,4.9892445531e-04,6.0004800616e-04,6.9229252404e-04,7.9812285549e-04
2.7000144000e+01,4.9933598348e-04,5.9622783738e-04,7.0025795139e-04,7.9860801634e-04
2.8000144000e+01,5.0059512432e-04,6.0073864006e-04,6.9986483140e-04,8.0038873421e-04
2.9000144000e+01,5.0351216487e-04,5.9661542764e-04,7.0103938924e-04,7.9577133874e-04
3.0000144000e+01,4.9884543841e-04,5.9502162912e-04,7.0205940574e-04,8.0096710008e-04
3.1000144000e+01,5.0056834880e-04,5.9777357819e-04,7.0223984949e-04,7.9751836893e-04
3.2000144000e+01,5.0334394473e-04,5.9329486248e-04,6.9851608714e-04,7.9952849774e-04
3.3000144000e+01,4.9832775403e-04,5.9702670114e-04,7.0202964707e-04,7.9844176071e-04
3.4000144000e+01,5.0149850722e-04,5.9567493736e-04,7.0190690167e-04,7.9988145444e-04
3.5000144000e+01,5.0437280152e-04,5.9890262492e-04,7.0160793257e-04,7.9863188148e-04
3.6000144000e+01,5.0338891015e-04,5.9883626818e-04,7.0296227932e-04,7.9652025306e-04
3.7000144000e+01,4.9938542361e-04,5.9685502492e-04,7.0430018241e-04,7.9666999227e-04
3.8000144000e+01,5.0256625400e-04,5.9947215050e-04,7.0066787885e-04,7.9922123405e-04
3.9000144000e+01,5.0651367928e-04,6.0043574194e-04,7.0256646723e-04,7.9804303823e-04
4.0000144000e+01,5.0228936743e-04,6.0045702412e-04,7.0093592512e-04,7.9620462202e-04
4.1000144000e+01,5.0178699894e-04,6.0099097027e-04,6.9637688284e-04,7.9344281403e-04
4.2000144000e+01,4.9929556553e-04,5.9672136558e-04,6.9556765084e-04,7.9506949987e-04
4.3000144000e+01,5.0150199968e-04,5.9712339862e-04,7.0010632044e-04,7.9359277152e-04
4.4000144000e+01,5.0297436246e-04,5.9929985582e-04,6.9341360359e-04,7.9744866525e-04
4.5000144000e+01,5.0182745326e-04,5.9946924011e-04,6.9933717896e-04,7.9053847003e-04
4.6000144000e+01,5.0168342568e-04,5.9814086853e-04,7.0129128289e-04,7.9677920439e-04
4.7000144000e+01,5.0490794820e-04,5.9868798417e-04,7.0136906288e-04,7.9740028013e-04
4.8000144000e+01,5.0018647016e-04,5.9955338656e-04,7.0091933594e-04,7.9755751358e-04
4.9000144000e+01,5.0162638217e-04,5.9858848545e-04,7.0153306297e-04,7.9713689047e-04
5.0000144000e+01,5.0304126489e-04,5.9897774918e-04,6.9787914981e-04,7.9237077443e-04
5.1000144000e+01,5.0395599828e-04,5.9907739342e-04,7.0130343374e-04,7.9793913756e-04
5.2000144000e+01,5.0296996051e-04,5.9901041823e-04,6.9505716965e-04,7.9920049757e-04
5.3000144000e+01,5.0185692089e-04,5.9931662690e-04,7.0024005254e-04,7.9769903095e-04
5.4000144000e+01,5.0215818192e-04,5.9746984334e-04,7.0080932346e-04,7.9648532846e-04
5.5000144000e+01,5.0403523346e-04,5.9545072872e-04,7.0147289080e-04,7.9748730059e-04
5.6000144000e+01,4.9842295994e-04,5.9512451116e-04,6.9589055784e-04,7.9746154370e-04
5.7000144000e+01,5.0485901738e-04,5.9564001276e-04,6.9508925662e-04,7.9857891251e-04
5.8000144000e+01,5.0655366067e-04,5.9534504544e-04,6.9480985985e-04,7.9919031123e-04
5.9000144000e+01,5.0377821026e-04,5.9839087044e-04,6.9502842962e-04,7.9708079284e-04
6.0000144000e+01,5.0220078265e-04,5.9440142650e-04,6.9434034231e-04,7.9381221440e-04
6.1000144000e+01,5.0217822718e-04,6.0088605096e-04,6.9590278144e-04,7.9452140199e-04
