# Saved on 2025-07-12T19:56:58.238387
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE44
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.5
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A)
0.0000000000e+00,1.1094000000e-09,1.0149000000e-09,1.3009000000e-10,1.0773000000e-09,1.1022000000e-09
-1.5000000000e-02,5.8706000000e-07,5.5080000000e-07,5.8340000000e-07,5.8260000000e-07,5.6888000000e-07
-3.0000000000e-02,1.1817000000e-06,1.1084000000e-06,1.1747000000e-06,1.1720000000e-06,1.1453000000e-06
-4.5000000000e-02,1.7833000000e-06,1.6781000000e-06,1.7837000000e-06,1.7680000000e-06,1.7240000000e-06
-6.0000000000e-02,2.3979000000e-06,2.2599000000e-06,2.4156000000e-06,2.3879000000e-06,2.3380000000e-06
-7.5000000000e-02,3.0341000000e-06,2.8455000000e-06,3.0552000000e-06,3.0216000000e-06,2.9516000000e-06
-9.0000000000e-02,3.6918000000e-06,3.4674000000e-06,3.7281000000e-06,3.6848000000e-06,3.5749000000e-06
-1.0500000000e-01,4.3689000000e-06,4.1122000000e-06,4.4148000000e-06,4.3651000000e-06,4.2427000000e-06
-1.2000000000e-01,5.1078000000e-06,4.8021000000e-06,5.1502000000e-06,5.0981000000e-06,4.9596000000e-06
-1.3500000000e-01,5.8548000000e-06,5.5327000000e-06,5.9100000000e-06,5.8456000000e-06,5.7287000000e-06
-1.5000000000e-01,6.6623000000e-06,6.2941000000e-06,6.6983000000e-06,6.6673000000e-06,6.5122000000e-06
-1.6500000000e-01,7.4505000000e-06,7.0307000000e-06,7.5061000000e-06,7.5036000000e-06,7.3174000000e-06
-1.8000000000e-01,8.3031000000e-06,7.8691000000e-06,8.3315000000e-06,8.3952000000e-06,8.1746000000e-06
-1.9500000000e-01,9.1823000000e-06,8.7812000000e-06,9.1775000000e-06,9.3109000000e-06,9.0584000000e-06
-2.1000000000e-01,1.0162000000e-05,9.6629000000e-06,1.0120000000e-05,1.0294000000e-05,1.0068000000e-05
-2.2500000000e-01,1.1146000000e-05,1.0584000000e-05,1.1106000000e-05,1.1306000000e-05,1.1124000000e-05
-2.4000000000e-01,1.2254000000e-05,1.1624000000e-05,1.2172000000e-05,1.2446000000e-05,1.2260000000e-05
-2.5500000000e-01,1.3334000000e-05,1.2642000000e-05,1.3234000000e-05,1.3548000000e-05,1.3358000000e-05
-2.7000000000e-01,1.4528000000e-05,1.3748000000e-05,1.4412000000e-05,1.4806000000e-05,1.4566000000e-05
-2.8500000000e-01,1.5780000000e-05,1.4930000000e-05,1.5686000000e-05,1.6172000000e-05,1.5886000000e-05
-3.0000000000e-01,1.7048000000e-05,1.6092000000e-05,1.6946000000e-05,1.7570000000e-05,1.7210000000e-05
-3.1500000000e-01,1.8406000000e-05,1.7320000000e-05,1.8326000000e-05,1.8934000000e-05,1.8708000000e-05
-3.3000000000e-01,1.9836000000e-05,1.8826000000e-05,1.9758000000e-05,2.0442000000e-05,2.0268000000e-05
-3.4500000000e-01,2.1344000000e-05,2.0088000000e-05,2.1132000000e-05,2.1982000000e-05,2.1768000000e-05
-3.6000000000e-01,2.2912000000e-05,2.1478000000e-05,2.2666000000e-05,2.3622000000e-05,2.3508000000e-05
-3.7500000000e-01,2.4614000000e-05,2.3054000000e-05,2.4292000000e-05,2.5374000000e-05,2.5316000000e-05
-3.9000000000e-01,2.6370000000e-05,2.4686000000e-05,2.6010000000e-05,2.7160000000e-05,2.6878000000e-05
-4.0500000000e-01,2.8228000000e-05,2.6352000000e-05,2.7758000000e-05,2.9236000000e-05,2.8818000000e-05
-4.2000000000e-01,3.0002000000e-05,2.8122000000e-05,2.9636000000e-05,3.1284000000e-05,3.0992000000e-05
-4.3500000000e-01,3.2116000000e-05,2.9860000000e-05,3.1594000000e-05,3.3506000000e-05,3.3106000000e-05
-4.5000000000e-01,3.4138000000e-05,3.1778000000e-05,3.3586000000e-05,3.5768000000e-05,3.5466000000e-05
-4.6500000000e-01,3.6464000000e-05,3.3830000000e-05,3.5742000000e-05,3.8000000000e-05,3.7910000000e-05
-4.8000000000e-01,3.8838000000e-05,3.5944000000e-05,3.8016000000e-05,4.0572000000e-05,4.0384000000e-05
-4.9500000000e-01,4.1556000000e-05,3.8204000000e-05,4.0212000000e-05,4.2918000000e-05,4.3096000000e-05
-5.1000000000e-01,4.4104000000e-05,4.0612000000e-05,4.2828000000e-05,4.5922000000e-05,4.5970000000e-05
-5.2500000000e-01,4.7008000000e-05,4.3156000000e-05,4.5408000000e-05,4.8636000000e-05,4.9040000000e-05
-5.4000000000e-01,4.9908000000e-05,4.5702000000e-05,4.8032000000e-05,5.1440000000e-05,5.2062000000e-05
-5.5500000000e-01,5.2930000000e-05,4.8318000000e-05,5.0818000000e-05,5.4580000000e-05,5.5610000000e-05
-5.7000000000e-01,5.6192000000e-05,5.1078000000e-05,5.3742000000e-05,5.8168000000e-05,5.9190000000e-05
-5.8500000000e-01,5.9814000000e-05,5.3714000000e-05,5.6954000000e-05,6.1840000000e-05,6.3196000000e-05
-6.0000000000e-01,6.3618000000e-05,5.7358000000e-05,6.0368000000e-05,6.4936000000e-05,6.7212000000e-05
-6.1500000000e-01,6.7292000000e-05,6.0816000000e-05,6.3828000000e-05,6.8914000000e-05,7.1354000000e-05
-6.3000000000e-01,7.1402000000e-05,6.4190000000e-05,6.7442000000e-05,7.2834000000e-05,7.6008000000e-05
-6.4500000000e-01,7.5778000000e-05,6.7396000000e-05,7.1168000000e-05,7.7002000000e-05,8.1016000000e-05
-6.6000000000e-01,8.0494000000e-05,7.1378000000e-05,7.5072000000e-05,8.1678000000e-05,8.6778000000e-05
-6.7500000000e-01,8.5514000000e-05,7.5414000000e-05,7.9676000000e-05,8.6726000000e-05,9.1596000000e-05
-6.9000000000e-01,9.0122000000e-05,7.9702000000e-05,8.4196000000e-05,9.1752000000e-05,9.7386000000e-05
-7.0500000000e-01,9.5626000000e-05,8.4772000000e-05,8.9184000000e-05,9.7050000000e-05,1.0360000000e-04
-7.2000000000e-01,1.0188000000e-04,8.9084000000e-05,9.3628000000e-05,1.0296000000e-04,1.1158000000e-04
-7.3500000000e-01,1.0792000000e-04,9.4130000000e-05,9.9402000000e-05,1.0840000000e-04,1.1702000000e-04
-7.5000000000e-01,1.1460000000e-04,9.8994000000e-05,1.0490000000e-04,1.1464000000e-04,1.2534000000e-04
-7.6500000000e-01,1.2106000000e-04,1.0476000000e-04,1.1064000000e-04,1.2208000000e-04,1.3366000000e-04
-7.8000000000e-01,1.2962000000e-04,1.1072000000e-04,1.1708000000e-04,1.2866000000e-04,1.4194000000e-04
