# Saved on 2025-07-12T19:42:10.945178
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE45
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S)
1.4400000000e-04,5.0093734899e-04,6.0905553255e-04,7.0702990342e-04
1.1440000000e-03,5.0087917771e-04,6.0845493863e-04,7.0650108682e-04
2.1440000000e-03,5.0111291785e-04,6.0895818024e-04,7.0654445153e-04
3.1440000000e-03,5.0148701121e-04,6.1135731812e-04,7.0558664447e-04
4.1440000000e-03,5.0212467613e-04,6.0989947087e-04,7.0589594543e-04
5.1440000000e-03,5.0179198297e-04,6.0971458879e-04,7.0639034675e-04
6.1440000000e-03,5.0111539167e-04,6.0907776060e-04,7.0540314482e-04
7.1440000000e-03,5.0086324336e-04,6.0827253037e-04,7.0499823778e-04
8.1440000000e-03,5.0041857321e-04,6.1739076045e-04,7.0503134339e-04
9.1440000000e-03,5.0122893299e-04,6.0932161432e-04,7.0575260906e-04
1.0144000000e-02,5.0079339417e-04,6.0925707658e-04,7.0573063567e-04
1.1144000000e-02,5.0121743698e-04,6.0977850808e-04,7.0668931585e-04
1.2144000000e-02,5.0129514420e-04,6.1044222093e-04,7.0590271207e-04
1.3144000000e-02,5.0140330131e-04,6.1907667259e-04,7.0527545176e-04
1.4144000000e-02,5.0105700211e-04,6.0975107772e-04,7.0487025368e-04
1.5144000000e-02,5.0095906772e-04,6.0994025262e-04,7.0572692493e-04
1.6144000000e-02,5.0083071983e-04,6.1096521677e-04,7.0529757068e-04
1.7144000000e-02,5.0043090596e-04,6.1035265389e-04,7.0479174610e-04
1.8144000000e-02,5.0055339671e-04,6.1092767282e-04,7.0605528890e-04
1.9144000000e-02,5.0127651775e-04,6.1099533923e-04,7.0554066042e-04
2.0144000000e-02,5.0261121942e-04,6.1039812863e-04,7.0603760832e-04
2.1144000000e-02,5.0187703891e-04,6.1068705691e-04,7.0609778049e-04
2.2144000000e-02,5.0175643992e-04,6.1161801568e-04,7.0595728175e-04
2.3144000000e-02,5.0351645768e-04,6.1034406826e-04,7.0595808211e-04
2.4144000000e-02,5.0008424296e-04,6.1175182054e-04,7.0576614235e-04
2.5144000000e-02,5.0065627875e-04,6.1794424255e-04,7.0556656283e-04
2.6144000000e-02,5.0151735195e-04,6.0994949308e-04,7.0633781434e-04
2.7144000000e-02,5.0175116485e-04,6.0895315983e-04,7.0769296144e-04
2.8144000000e-02,5.0202725106e-04,6.1945160269e-04,7.0598129241e-04
2.9144000000e-02,5.0209939218e-04,6.1099519371e-04,7.0621623308e-04
3.0144000000e-02,5.0165235734e-04,6.1027269112e-04,7.0602545748e-04
3.1144000000e-02,5.0170492614e-04,6.1827260652e-04,7.0506808697e-04
3.2144000000e-02,5.0183884014e-04,6.0912730987e-04,7.0474685344e-04
3.3144000000e-02,5.0181050028e-04,6.1011378421e-04,7.0490241342e-04
3.4144000000e-02,5.0153248594e-04,6.1931517848e-04,7.0531568781e-04
3.5144000000e-02,5.0192134950e-04,6.0979109548e-04,7.0525988122e-04
3.6144000000e-02,5.0218812248e-04,6.1085796915e-04,7.0611356932e-04
