# Saved on 2025-07-12T19:42:11.069208
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE45
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S)
1.4400000000e-04,5.0178576203e-04,6.0969076003e-04,7.0297704951e-04
1.0001440000e+00,4.9991274864e-04,6.0829170252e-04,7.0396235969e-04
2.0001440000e+00,5.0122056564e-04,6.0655685957e-04,7.0123373007e-04
3.0001440000e+00,5.0076076150e-04,6.1540027673e-04,7.0117646828e-04
4.0001440000e+00,5.0197617384e-04,6.1485865444e-04,7.0100904850e-04
5.0001440000e+00,5.0114689657e-04,6.1455131799e-04,7.0262220106e-04
6.0001440000e+00,5.0202546845e-04,6.1293183535e-04,7.0319991210e-04
7.0001440000e+00,5.0180813560e-04,6.1803671997e-04,7.0069429057e-04
8.0001440000e+00,5.0049442507e-04,6.1316728534e-04,7.0174537541e-04
9.0001440000e+00,5.0129634474e-04,6.1357830418e-04,7.0404035796e-04
1.0000144000e+01,5.0170961913e-04,6.1196202296e-04,7.0111454988e-04
1.1000144000e+01,5.0142574764e-04,6.1275386543e-04,7.0322021202e-04
1.2000144000e+01,5.0128965086e-04,6.1100414314e-04,7.0008150942e-04
1.3000144000e+01,5.0144924899e-04,6.2218998210e-04,7.0533154940e-04
1.4000144000e+01,5.0042905059e-04,6.1169259425e-04,7.0225825766e-04
1.5000144000e+01,5.0016577006e-04,6.1125072534e-04,7.0051632065e-04
1.6000144000e+01,4.9939757446e-04,6.1142462073e-04,7.0143112680e-04
1.7000144000e+01,5.0196686061e-04,6.1234313762e-04,7.0226538810e-04
1.8000144000e+01,5.0140039093e-04,6.1723258113e-04,7.0366149885e-04
1.9000144000e+01,5.0098620704e-04,6.1168291722e-04,7.0176989539e-04
2.0000144000e+01,5.0221857236e-04,6.1194601585e-04,7.0192429121e-04
2.1000144000e+01,5.0189541071e-04,6.1266167904e-04,7.0193724241e-04
2.2000144000e+01,5.0076843763e-04,6.1165475927e-04,7.0058005804e-04
2.3000144000e+01,5.0166196161e-04,6.1203601945e-04,7.0069298090e-04
2.4000144000e+01,4.9904007028e-04,6.1232087319e-04,7.0154710556e-04
2.5000144000e+01,5.0114838814e-04,6.1271552113e-04,7.0112379035e-04
2.6000144000e+01,5.0096012274e-04,6.1398917751e-04,7.0014139055e-04
2.7000144000e+01,5.0526195992e-04,6.1186467065e-04,7.0074136602e-04
2.8000144000e+01,4.9938698794e-04,6.1696642661e-04,7.0132424298e-04
2.9000144000e+01,5.0273243687e-04,6.1899547291e-04,6.9886460551e-04
3.0000144000e+01,5.0047696277e-04,6.1775252107e-04,7.0004432928e-04
3.1000144000e+01,5.0095932238e-04,6.1801532866e-04,6.9926521974e-04
3.2000144000e+01,5.0048791309e-04,6.1759114033e-04,6.9919478847e-04
3.3000144000e+01,5.0133421610e-04,6.1972066760e-04,6.9940375397e-04
3.4000144000e+01,4.9981092161e-04,6.1811857449e-04,7.0125410275e-04
3.5000144000e+01,5.0092694437e-04,6.1599865148e-04,6.9866968261e-04
3.6000144000e+01,5.0030161219e-04,6.1527636717e-04,6.9903057010e-04
