# Saved on 2025-07-12T19:51:51.419886
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE45
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.9902238213e-04
1.1440000000e-03,8.0087949755e-04
2.1440000000e-03,7.9987235949e-04
3.1440000000e-03,8.0050274846e-04
4.1440000000e-03,7.9979283328e-04
5.1440000000e-03,7.9951823864e-04
6.1440000000e-03,8.0008023360e-04
7.1440000000e-03,7.9869059846e-04
8.1440000000e-03,7.9874342191e-04
9.1440000000e-03,7.9928002378e-04
1.0144000000e-02,8.0121877545e-04
1.1144000000e-02,8.0010679085e-04
1.2144000000e-02,8.0046549556e-04
1.3144000000e-02,8.0018246081e-04
1.4144000000e-02,8.0072648416e-04
1.5144000000e-02,7.9823490523e-04
1.6144000000e-02,7.9867182649e-04
1.7144000000e-02,8.0060191976e-04
1.8144000000e-02,7.9778001236e-04
1.9144000000e-02,7.9874647781e-04
2.0144000000e-02,8.0128891568e-04
2.1144000000e-02,7.9953519162e-04
2.2144000000e-02,7.9973149695e-04
2.3144000000e-02,7.9876175732e-04
2.4144000000e-02,7.9760575318e-04
2.5144000000e-02,7.9885656305e-04
2.6144000000e-02,7.9843484855e-04
2.7144000000e-02,7.9832214396e-04
2.8144000000e-02,7.9885583546e-04
2.9144000000e-02,7.9948527855e-04
3.0144000000e-02,7.9849276517e-04
3.1144000000e-02,7.9977646237e-04
3.2144000000e-02,7.9754114267e-04
3.3144000000e-02,7.9863762949e-04
3.4144000000e-02,7.9762539826e-04
3.5144000000e-02,7.9841236584e-04
3.6144000000e-02,7.9846169683e-04
3.7144000000e-02,7.9992365499e-04
3.8144000000e-02,7.9876859672e-04
3.9144000000e-02,7.9751174781e-04
4.0144000000e-02,7.9937286500e-04
4.1144000000e-02,7.9885234300e-04
4.2144000000e-02,7.9853256466e-04
4.3144000000e-02,7.9758312495e-04
4.4144000000e-02,7.9782374087e-04
4.5144000000e-02,8.0085592344e-04
4.6144000000e-02,7.9913377704e-04
4.7144000000e-02,7.9718891357e-04
4.8144000000e-02,7.9835495853e-04
4.9144000000e-02,7.9702869698e-04
5.0144000000e-02,7.9773170000e-04
5.1144000000e-02,7.9848869063e-04
5.2144000000e-02,7.9902427387e-04
5.3144000000e-02,7.9811361502e-04
5.4144000000e-02,7.9860365076e-04
5.5144000000e-02,7.9898847616e-04
5.6144000000e-02,7.9870449554e-04
5.7144000000e-02,7.9924553575e-04
5.8144000000e-02,7.9974095570e-04
5.9144000000e-02,7.9849800386e-04
6.0144000000e-02,7.9747529526e-04
6.1144000000e-02,7.9891498899e-04
6.2144000000e-02,7.9874283983e-04
6.3144000000e-02,7.9780904343e-04
6.4144000000e-02,7.9697681940e-04
6.5144000000e-02,7.9853736679e-04
6.6144000000e-02,7.9900702985e-04
6.7144000000e-02,7.9963996541e-04
6.8144000000e-02,7.9690325947e-04
6.9144000000e-02,7.9783705587e-04
7.0144000000e-02,7.9865087173e-04
7.1144000000e-02,7.9814381024e-04
7.2144000000e-02,7.9779521911e-04
7.3144000000e-02,7.9660021584e-04
7.4144000000e-02,7.9684177763e-04
