# Saved on 2025-07-12T19:51:51.436397
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE45
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.9769437434e-04
1.0001440000e+00,7.9795034253e-04
2.0001440000e+00,7.9570512753e-04
3.0001440000e+00,7.9866120359e-04
4.0001440000e+00,7.9856494267e-04
5.0001440000e+00,7.9379722592e-04
6.0001440000e+00,7.9390316387e-04
7.0001440000e+00,7.9707002442e-04
8.0001440000e+00,7.9495694081e-04
9.0001440000e+00,7.9465673480e-04
1.0000144000e+01,7.9356745118e-04
1.1000144000e+01,7.9341982200e-04
1.2000144000e+01,7.9442601418e-04
1.3000144000e+01,7.9487537732e-04
1.4000144000e+01,7.9503894085e-04
1.5000144000e+01,7.9476732935e-04
1.6000144000e+01,7.9307028500e-04
1.7000144000e+01,7.9294994066e-04
1.8000144000e+01,7.9359466326e-04
1.9000144000e+01,7.9335164628e-04
2.0000144000e+01,7.9282122897e-04
2.1000144000e+01,7.9285055108e-04
2.2000144000e+01,7.9299265053e-04
2.3000144000e+01,7.9235622252e-04
2.4000144000e+01,7.9388279119e-04
2.5000144000e+01,7.9224591900e-04
2.6000144000e+01,7.9359713709e-04
2.7000144000e+01,7.9386452853e-04
2.8000144000e+01,7.9519028077e-04
2.9000144000e+01,7.9320227087e-04
3.0000144000e+01,7.9313125752e-04
3.1000144000e+01,7.9356184870e-04
3.2000144000e+01,7.9180608736e-04
3.3000144000e+01,7.9032579379e-04
3.4000144000e+01,7.9199504398e-04
3.5000144000e+01,7.9190031101e-04
3.6000144000e+01,7.9123390606e-04
3.7000144000e+01,7.9337980424e-04
3.8000144000e+01,7.9002042185e-04
3.9000144000e+01,7.9253957665e-04
4.0000144000e+01,7.9296929471e-04
4.1000144000e+01,7.9315090261e-04
4.2000144000e+01,7.9323763202e-04
4.3000144000e+01,7.9248799011e-04
4.4000144000e+01,7.9233817814e-04
4.5000144000e+01,7.9504876339e-04
4.6000144000e+01,7.9683304648e-04
4.7000144000e+01,7.9660698248e-04
4.8000144000e+01,7.9450641351e-04
4.9000144000e+01,7.9527591879e-04
5.0000144000e+01,7.9499746789e-04
5.1000144000e+01,7.9319550423e-04
5.2000144000e+01,7.9215460573e-04
5.3000144000e+01,7.9214485595e-04
5.4000144000e+01,7.9219920735e-04
5.5000144000e+01,7.9122852185e-04
5.6000144000e+01,7.9422032286e-04
5.7000144000e+01,7.9475474195e-04
5.8000144000e+01,7.8996250522e-04
5.9000144000e+01,7.9309444118e-04
6.0000144000e+01,7.9324949184e-04
6.1000144000e+01,7.9081029980e-04
6.2000144000e+01,7.9130550148e-04
6.3000144000e+01,7.9253302829e-04
6.4000144000e+01,7.9183009802e-04
6.5000144000e+01,7.9208955867e-04
6.6000144000e+01,7.9145982454e-04
6.7000144000e+01,7.9243305663e-04
6.8000144000e+01,7.9214150901e-04
6.9000144000e+01,7.9339290096e-04
7.0000144000e+01,7.9286197433e-04
7.1000144000e+01,7.9259494669e-04
7.2000144000e+01,7.9278310295e-04
7.3000144000e+01,7.9272620496e-04
7.4000144000e+01,7.9284283856e-04
7.5000144000e+01,7.9340032244e-04
7.6000144000e+01,7.9114586697e-04
7.7000144000e+01,7.9276826000e-04
7.8000144000e+01,7.9073943198e-04
7.9000144000e+01,7.9366967839e-04
8.0000144000e+01,7.9340527009e-04
8.1000144000e+01,7.9148470832e-04
8.2000144000e+01,7.9170138633e-04
8.3000144000e+01,7.9340410593e-04
8.4000144000e+01,7.9125340562e-04
8.5000144000e+01,7.9173623817e-04
8.6000144000e+01,7.9275283497e-04
8.7000144000e+01,7.9079509305e-04
8.8000144000e+01,7.9294681200e-04
8.9000144000e+01,7.9168778029e-04
9.0000144000e+01,7.8960256360e-04
9.1000144000e+01,7.9289980931e-04
9.2000144000e+01,7.9003111750e-04
9.3000144000e+01,7.9192919657e-04
9.4000144000e+01,7.9150391684e-04
9.5000144000e+01,7.9235782323e-04
9.6000144000e+01,7.9177421867e-04
9.7000144000e+01,7.9190453107e-04
9.8000144000e+01,8.0116500612e-04
9.9000144000e+01,7.9729295976e-04
1.0000014400e+02,7.9186487710e-04
1.0100014400e+02,7.9210498370e-04
1.0200014400e+02,7.9056793766e-04
1.0300014400e+02,7.8792574641e-04
1.0400014400e+02,7.9006524174e-04
1.0500014400e+02,7.8971279436e-04
1.0600014400e+02,7.9059762356e-04
1.0700014400e+02,7.8947545262e-04
1.0800014400e+02,7.8984943684e-04
1.0900014400e+02,7.9214230936e-04
1.1000014400e+02,7.9104378528e-04
1.1100014400e+02,7.9282021034e-04
1.1200014400e+02,7.9447818280e-04
1.1300014400e+02,7.9364654084e-04
1.1400014400e+02,7.9236830061e-04
1.1500014400e+02,7.9330478911e-04
1.1600014400e+02,7.9273842857e-04
1.1700014400e+02,7.9044468293e-04
1.1800014400e+02,7.9139266745e-04
1.1900014400e+02,7.9359924712e-04
1.2000014400e+02,7.9568555520e-04
1.2100014400e+02,7.9179597378e-04
1.2200014400e+02,7.9179786553e-04
1.2300014400e+02,7.9376695794e-04
1.2400014400e+02,7.9410630860e-04
1.2500014400e+02,7.9287739936e-04
1.2600014400e+02,7.9125995398e-04
1.2700014400e+02,7.9313249444e-04
1.2800014400e+02,7.9020137491e-04
1.2900014400e+02,7.9036348325e-04
1.3000014400e+02,7.9107958300e-04
1.3100014400e+02,7.8928067524e-04
1.3200014400e+02,7.9040109995e-04
1.3300014400e+02,7.9042234574e-04
1.3400014400e+02,7.8973396739e-04
1.3500014400e+02,7.8994155047e-04
1.3600014400e+02,7.8908102296e-04
1.3700014400e+02,7.8875746112e-04
1.3800014400e+02,7.9242912761e-04
1.3900014400e+02,7.8948767623e-04
1.4000014400e+02,7.9019388068e-04
1.4100014400e+02,7.8981902334e-04
1.4200014400e+02,7.9026423919e-04
1.4300014400e+02,7.9061748693e-04
1.4400014400e+02,7.8767996456e-04
1.4500014400e+02,7.8882272646e-04
1.4600014400e+02,7.8973214841e-04
1.4700014400e+02,7.8745637438e-04
1.4800014400e+02,7.8992343333e-04
1.4900014400e+02,7.8738426964e-04
1.5000014400e+02,7.9042154539e-04
1.5100014400e+02,7.9080200521e-04
1.5200014400e+02,7.9135788837e-04
1.5300014400e+02,7.8859746282e-04
1.5400014400e+02,7.8963334090e-04
1.5500014400e+02,7.9022058344e-04
1.5600014400e+02,7.8954049968e-04
1.5700014400e+02,7.8806726378e-04
1.5800014400e+02,7.8857257904e-04
1.5900014400e+02,7.9254197772e-04
1.6000014400e+02,7.8899087384e-04
1.6100014400e+02,7.9209574324e-04
1.6200014400e+02,7.8982593550e-04
1.6300014400e+02,7.8819706687e-04
1.6400014400e+02,7.8920849774e-04
1.6500014400e+02,7.8818629845e-04
1.6600014400e+02,7.9600678873e-04
1.6700014400e+02,7.9127021309e-04
1.6800014400e+02,7.9084253230e-04
1.6900014400e+02,7.9129327787e-04
1.7000014400e+02,7.8923701949e-04
1.7100014400e+02,7.8936849604e-04
1.7200014400e+02,7.8876044427e-04
1.7300014400e+02,7.9066929175e-04
1.7400014400e+02,7.9049808846e-04
1.7500014400e+02,7.8945224232e-04
1.7600014400e+02,7.8872384620e-04
1.7700014400e+02,7.9135294072e-04
1.7800014400e+02,7.8981734987e-04
