# Saved on 2025-07-12T19:25:26.293681
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.8190000000e-09,1.1399000000e-09
-2.0000000000e-02,5.2137000000e-06,4.2372000000e-06
-4.0000000000e-02,1.0470000000e-05,8.4986000000e-06
-6.0000000000e-02,1.5848000000e-05,1.2860000000e-05
-8.0000000000e-02,2.1412000000e-05,1.7370000000e-05
-1.0000000000e-01,2.7146000000e-05,2.1930000000e-05
-1.2000000000e-01,3.3086000000e-05,2.6808000000e-05
-1.4000000000e-01,3.9442000000e-05,3.1984000000e-05
-1.6000000000e-01,4.5914000000e-05,3.7226000000e-05
-1.8000000000e-01,5.2760000000e-05,4.2920000000e-05
-2.0000000000e-01,5.9976000000e-05,4.8800000000e-05
-2.2000000000e-01,6.7542000000e-05,5.5106000000e-05
-2.4000000000e-01,7.5358000000e-05,6.1808000000e-05
-2.6000000000e-01,8.3718000000e-05,6.8854000000e-05
-2.8000000000e-01,9.2460000000e-05,7.6268000000e-05
-3.0000000000e-01,1.0162000000e-04,8.3924000000e-05
-3.2000000000e-01,1.1124000000e-04,9.2436000000e-05
-3.4000000000e-01,1.2120000000e-04,1.0108000000e-04
-3.6000000000e-01,1.3146000000e-04,1.1064000000e-04
-3.8000000000e-01,1.4238000000e-04,1.2016000000e-04
-4.0000000000e-01,1.5372000000e-04,1.3046000000e-04
-4.2000000000e-01,1.6500000000e-04,1.4086000000e-04
-4.4000000000e-01,1.7782000000e-04,1.5172000000e-04
-4.6000000000e-01,1.9014000000e-04,1.6446000000e-04
-4.8000000000e-01,2.0374000000e-04,1.7662000000e-04
-5.0000000000e-01,2.1814000000e-04,1.9000000000e-04
-5.2000000000e-01,2.3190000000e-04,2.0382000000e-04
-5.4000000000e-01,2.4718000000e-04,2.2136000000e-04
-5.6000000000e-01,2.6294000000e-04,2.3400000000e-04
-5.8000000000e-01,2.7796000000e-04,2.5148000000e-04
-6.0000000000e-01,2.9486000000e-04,2.6806000000e-04
-6.2000000000e-01,3.1218000000e-04,2.8482000000e-04
-6.4000000000e-01,3.3056000000e-04,3.0252000000e-04
-6.6000000000e-01,3.4980000000e-04,3.2054000000e-04
-6.8000000000e-01,3.6972000000e-04,3.4082000000e-04
-7.0000000000e-01,3.8938000000e-04,3.6066000000e-04
-7.2000000000e-01,4.1080000000e-04,3.8978000000e-04
-7.4000000000e-01,4.3184000000e-04,4.1208000000e-04
-7.6000000000e-01,4.5488000000e-04,4.2884000000e-04
-7.8000000000e-01,4.7836000000e-04,4.5450000000e-04
-8.0000000000e-01,5.0162000000e-04,4.7992000000e-04
-8.2000000000e-01,5.2666000000e-04,5.0440000000e-04
-8.4000000000e-01,5.5290000000e-04,5.2996000000e-04
-8.6000000000e-01,5.7934000000e-04,5.5508000000e-04
-8.8000000000e-01,6.0766000000e-04,5.8188000000e-04
-9.0000000000e-01,6.3476000000e-04,6.0972000000e-04
-9.2000000000e-01,6.6524000000e-04,6.3792000000e-04
