# Saved on 2025-07-12T19:01:34.085695
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -1.75
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,8.1310000000e-07
7.0000000000e-01,5.1578000000e-07
7.0000000000e-01,5.0546000000e-07
7.0000000000e-01,6.2250000000e-07
7.0000000000e-01,5.9402000000e-07
7.0000000000e-01,3.3368000000e-07
7.0000000000e-01,5.3248000000e-07
7.0000000000e-01,5.3714000000e-07
7.0000000000e-01,2.2930000000e-07
7.0000000000e-01,3.5994000000e-07
7.0000000000e-01,3.7274000000e-07
7.0000000000e-01,4.8940000000e-07
7.0000000000e-01,2.4842000000e-07
7.0000000000e-01,3.9240000000e-07
7.0000000000e-01,4.9302000000e-07
7.0000000000e-01,3.2976000000e-07
7.0000000000e-01,4.3634000000e-07
7.0000000000e-01,2.7930000000e-07
7.0000000000e-01,4.1200000000e-07
7.0000000000e-01,3.4524000000e-07
7.0000000000e-01,3.8724000000e-07
7.0000000000e-01,4.3862000000e-07
7.0000000000e-01,5.0542000000e-07
7.0000000000e-01,4.9902000000e-07
7.0000000000e-01,5.6136000000e-07
7.0000000000e-01,5.4872000000e-07
7.0000000000e-01,5.0820000000e-07
7.0000000000e-01,3.6476000000e-07
7.0000000000e-01,3.4290000000e-07
7.0000000000e-01,5.7058000000e-07
7.0000000000e-01,4.6746000000e-07
8.0000000000e-01,4.8482000000e-07
8.0000000000e-01,4.6764000000e-07
8.0000000000e-01,5.8764000000e-07
8.0000000000e-01,8.1450000000e-07
8.0000000000e-01,1.0573000000e-06
8.0000000000e-01,9.6746000000e-07
8.0000000000e-01,7.4748000000e-07
8.0000000000e-01,9.0268000000e-07
8.0000000000e-01,5.4176000000e-07
8.0000000000e-01,5.9608000000e-07
8.0000000000e-01,5.7744000000e-07
8.0000000000e-01,4.6186000000e-07
8.0000000000e-01,4.3102000000e-07
8.0000000000e-01,3.9336000000e-07
8.0000000000e-01,6.9364000000e-07
8.0000000000e-01,5.2042000000e-07
8.0000000000e-01,4.6908000000e-07
8.0000000000e-01,6.6174000000e-07
8.0000000000e-01,6.8522000000e-07
8.0000000000e-01,5.6704000000e-07
8.0000000000e-01,5.7700000000e-07
8.0000000000e-01,6.0076000000e-07
8.0000000000e-01,5.4320000000e-07
8.0000000000e-01,5.4150000000e-07
8.0000000000e-01,5.2344000000e-07
8.0000000000e-01,4.5764000000e-07
8.0000000000e-01,5.5030000000e-07
8.0000000000e-01,4.8002000000e-07
8.0000000000e-01,4.3894000000e-07
8.0000000000e-01,5.1768000000e-07
8.0000000000e-01,3.9296000000e-07
8.0000000000e-01,3.2660000000e-07
9.0000000000e-01,3.4448000000e-07
9.0000000000e-01,8.0214000000e-07
9.0000000000e-01,8.0370000000e-07
9.0000000000e-01,7.1422000000e-07
9.0000000000e-01,7.4326000000e-07
9.0000000000e-01,8.5590000000e-07
9.0000000000e-01,7.7902000000e-07
9.0000000000e-01,7.0818000000e-07
9.0000000000e-01,5.1266000000e-07
9.0000000000e-01,7.8216000000e-07
9.0000000000e-01,8.1134000000e-07
9.0000000000e-01,7.0840000000e-07
9.0000000000e-01,6.8380000000e-07
9.0000000000e-01,7.4438000000e-07
9.0000000000e-01,5.1190000000e-07
9.0000000000e-01,5.7532000000e-07
9.0000000000e-01,6.7130000000e-07
9.0000000000e-01,3.8544000000e-07
9.0000000000e-01,7.0484000000e-07
9.0000000000e-01,6.1526000000e-07
9.0000000000e-01,6.5676000000e-07
9.0000000000e-01,8.5876000000e-07
9.0000000000e-01,7.1156000000e-07
9.0000000000e-01,8.2814000000e-07
9.0000000000e-01,7.2576000000e-07
9.0000000000e-01,7.2492000000e-07
9.0000000000e-01,8.6394000000e-07
9.0000000000e-01,7.8124000000e-07
9.0000000000e-01,5.8844000000e-07
9.0000000000e-01,4.7138000000e-07
9.0000000000e-01,4.6490000000e-07
9.0000000000e-01,6.2040000000e-07
1.0000000000e+00,7.7812000000e-07
1.0000000000e+00,7.4144000000e-07
1.0000000000e+00,5.7466000000e-07
1.0000000000e+00,5.3962000000e-07
1.0000000000e+00,4.9520000000e-07
1.0000000000e+00,5.3330000000e-07
1.0000000000e+00,4.9876000000e-07
1.0000000000e+00,5.0492000000e-07
1.0000000000e+00,4.8416000000e-07
1.0000000000e+00,5.1724000000e-07
1.0000000000e+00,4.7394000000e-07
1.0000000000e+00,5.0952000000e-07
1.0000000000e+00,6.7618000000e-07
1.0000000000e+00,5.4398000000e-07
1.0000000000e+00,6.3658000000e-07
1.0000000000e+00,5.2096000000e-07
1.0000000000e+00,4.8672000000e-07
1.0000000000e+00,4.9544000000e-07
1.0000000000e+00,6.9428000000e-07
1.0000000000e+00,7.1316000000e-07
1.0000000000e+00,6.4006000000e-07
1.0000000000e+00,5.9292000000e-07
1.0000000000e+00,4.5546000000e-07
1.0000000000e+00,5.6104000000e-07
1.0000000000e+00,5.6356000000e-07
1.0000000000e+00,6.3288000000e-07
1.0000000000e+00,5.3838000000e-07
1.0000000000e+00,4.1514000000e-07
1.0000000000e+00,5.0434000000e-07
1.0000000000e+00,4.2154000000e-07
1.0000000000e+00,5.3124000000e-07
1.1000000000e+00,5.8744000000e-07
1.1000000000e+00,4.9212000000e-07
1.1000000000e+00,4.9552000000e-07
1.1000000000e+00,1.4407000000e-06
1.1000000000e+00,6.2800000000e-07
1.1000000000e+00,7.8890000000e-07
1.1000000000e+00,1.7122000000e-06
1.1000000000e+00,1.3910000000e-06
1.1000000000e+00,1.4750000000e-06
1.1000000000e+00,1.2447000000e-06
1.1000000000e+00,1.1586000000e-06
1.1000000000e+00,1.3540000000e-06
1.1000000000e+00,9.8362000000e-07
1.1000000000e+00,1.1465000000e-06
1.1000000000e+00,1.1241000000e-06
1.1000000000e+00,9.5030000000e-07
1.1000000000e+00,9.1300000000e-07
1.1000000000e+00,8.7748000000e-07
1.1000000000e+00,8.8832000000e-07
1.1000000000e+00,1.0155400000e-06
1.1000000000e+00,5.4520000000e-07
1.1000000000e+00,7.6654000000e-07
1.1000000000e+00,6.2600000000e-07
1.1000000000e+00,5.8214000000e-07
1.1000000000e+00,5.5464000000e-07
