# Saved on 2025-07-12T19:00:27.184144
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -1.75
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,2.9822000000e-11
7.0000000000e-01,3.2476000000e-11
7.0000000000e-01,3.4460000000e-11
7.0000000000e-01,2.6782000000e-11
7.0000000000e-01,3.3672000000e-11
7.0000000000e-01,3.3443000000e-11
7.0000000000e-01,2.9747000000e-11
7.0000000000e-01,3.3716000000e-11
7.0000000000e-01,3.0395000000e-11
7.0000000000e-01,3.0825000000e-11
8.0000000000e-01,4.4318000000e-11
8.0000000000e-01,4.3748000000e-11
8.0000000000e-01,4.1471000000e-11
8.0000000000e-01,4.4959000000e-11
8.0000000000e-01,4.1888000000e-11
8.0000000000e-01,4.0849000000e-11
8.0000000000e-01,4.6178000000e-11
8.0000000000e-01,5.0504000000e-11
9.0000000000e-01,5.4176000000e-11
9.0000000000e-01,5.3625000000e-11
9.0000000000e-01,5.5631000000e-11
9.0000000000e-01,4.8006000000e-11
9.0000000000e-01,4.9305000000e-11
9.0000000000e-01,4.2795000000e-11
9.0000000000e-01,4.2715000000e-11
9.0000000000e-01,4.2270000000e-11
9.0000000000e-01,4.7884000000e-11
1.0000000000e+00,5.0134000000e-11
1.0000000000e+00,5.9307000000e-11
1.0000000000e+00,5.5758000000e-11
1.0000000000e+00,5.5707000000e-11
1.0000000000e+00,6.3495000000e-11
1.0000000000e+00,6.2151000000e-11
1.0000000000e+00,4.9890000000e-11
1.0000000000e+00,5.2230000000e-11
1.0000000000e+00,4.8724000000e-11
1.0000000000e+00,4.9593000000e-11
1.1000000000e+00,6.1660000000e-11
1.1000000000e+00,6.6017000000e-11
1.1000000000e+00,6.0053000000e-11
1.1000000000e+00,5.9758000000e-11
1.1000000000e+00,5.7670000000e-11
1.1000000000e+00,1.9500000000e-08
1.1000000000e+00,2.0000000000e-09
1.1000000000e+00,6.6820000000e-05
1.1000000000e+00,9.9986000000e-04
