# Saved on 2025-07-12T19:21:06.904614
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS,Conductance_Target_700.00 uS,Conductance_Target_600.00 uS,Conductance_Target_500.00 uS
1.4400000000e-04,7.9693520092e-04,6.9979796535e-04,5.9456702729e-04,5.0257207477e-04
1.1440000000e-03,7.9739045759e-04,7.0086825872e-04,5.9424379288e-04,5.0290578656e-04
2.1440000000e-03,7.9711120634e-04,7.0067304478e-04,5.9409507230e-04,5.0242324505e-04
3.1440000000e-03,7.9663157521e-04,7.0033311204e-04,5.9418282035e-04,5.0229089538e-04
4.1440000000e-03,7.9710276623e-04,7.0030204370e-04,5.9444202634e-04,5.0246588216e-04
5.1440000000e-03,7.9686353274e-04,6.9985813752e-04,5.9372490796e-04,5.0276645197e-04
6.1440000000e-03,7.9642843048e-04,7.0036294346e-04,5.9408299421e-04,5.0183760322e-04
7.1440000000e-03,7.9686367826e-04,6.9961955887e-04,5.9440160840e-04,5.0331356761e-04
8.1440000000e-03,7.9631514382e-04,6.9901361712e-04,5.9436006268e-04,5.0243943406e-04
9.1440000000e-03,7.9691890278e-04,7.0038091508e-04,5.9395788412e-04,5.0324422773e-04
1.0144000000e-02,7.9747696873e-04,7.0077490818e-04,5.9463669459e-04,5.0266990002e-04
1.1144000000e-02,7.9649260442e-04,7.0077345299e-04,5.9436675656e-04,5.0283571909e-04
1.2144000000e-02,7.9746911069e-04,7.0116664574e-04,5.9412737755e-04,5.0136095524e-04
1.3144000000e-02,7.9689561971e-04,7.0100839366e-04,5.9375994169e-04,5.0236823881e-04
1.4144000000e-02,7.9725337855e-04,7.0066467742e-04,5.9418769524e-04,5.0291295338e-04
1.5144000000e-02,7.9716359323e-04,7.0125570346e-04,5.9433343267e-04,5.0492530136e-04
1.6144000000e-02,7.9714118328e-04,7.0086862252e-04,5.9435660660e-04,5.0852027925e-04
1.7144000000e-02,7.9747005657e-04,7.0030640927e-04,5.9425961808e-04,5.0715061661e-04
1.8144000000e-02,7.9802644905e-04,7.0046175097e-04,5.9453082940e-04,5.0963568356e-04
1.9144000000e-02,7.9771882156e-04,6.9988986070e-04,5.9433048591e-04,5.0895239838e-04
2.0144000000e-02,7.9725243268e-04,7.0041540312e-04,5.9491496359e-04,5.0747003115e-04
2.1144000000e-02,7.9773511970e-04,7.0028407208e-04,5.9467016399e-04,5.0786544307e-04
2.2144000000e-02,7.9738965724e-04,7.0013302320e-04,5.9448011598e-04,5.0888214901e-04
2.3144000000e-02,7.9722580267e-04,6.9996953243e-04,5.9511003201e-04,5.0772552640e-04
2.4144000000e-02,7.9691708379e-04,6.9976602390e-04,5.9517078626e-04,5.0877166359e-04
2.5144000000e-02,7.9740260844e-04,6.9995694503e-04,5.9409438109e-04,5.0588951126e-04
2.6144000000e-02,7.9714605818e-04,6.9990383054e-04,5.9469635744e-04,5.0345926866e-04
2.7144000000e-02,7.9725949035e-04,7.0033915108e-04,5.9471534769e-04,5.0450464187e-04
2.8144000000e-02,7.9669502156e-04,6.9997971877e-04,5.9427100496e-04,5.0820748584e-04
2.9144000000e-02,7.9693389125e-04,7.0017049438e-04,5.9466296079e-04,5.0800386816e-04
