# Saved on 2025-07-12T19:21:06.921127
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS,Conductance_Target_700.00 uS,Conductance_Target_600.00 uS,Conductance_Target_500.00 uS
1.4400000000e-04,7.9227378592e-04,7.0005211455e-04,5.9363625041e-04,5.0148646551e-04
1.0001440000e+00,7.9194243881e-04,6.9936191721e-04,5.9368219809e-04,4.9680649681e-04
2.0001440000e+00,7.9334975453e-04,6.9891626481e-04,5.9347705246e-04,5.0202175771e-04
3.0001440000e+00,7.9232915596e-04,6.9919762609e-04,5.9342506574e-04,5.0182392442e-04
4.0001440000e+00,7.9240424384e-04,6.9844580139e-04,5.9405170759e-04,4.9940150348e-04
5.0001440000e+00,7.9163728515e-04,6.9932277256e-04,5.9282207076e-04,4.9458580179e-04
6.0001440000e+00,7.9226716480e-04,6.9941517722e-04,5.9364454501e-04,5.0358710723e-04
7.0001440000e+00,7.9296245531e-04,6.9846573751e-04,5.9415335272e-04,4.9841444707e-04
8.0001440000e+00,7.9204684880e-04,6.9915979111e-04,5.9548689023e-04,4.9515718274e-04
9.0001440000e+00,7.9175013525e-04,6.9885354606e-04,5.9475110902e-04,5.0238024414e-04
1.0000144000e+01,7.9244338849e-04,6.9800807978e-04,5.9518824855e-04,4.9922022299e-04
1.1000144000e+01,7.9341618402e-04,6.9771653216e-04,5.9542602685e-04,4.9387297622e-04
1.2000144000e+01,7.9250101408e-04,6.9803936640e-04,5.9450096160e-04,5.0009413826e-04
1.3000144000e+01,7.9190394899e-04,6.9721463660e-04,5.9388414229e-04,4.9279275117e-04
1.4000144000e+01,7.9060439020e-04,6.9687848736e-04,5.9435606090e-04,5.0194405048e-04
1.5000144000e+01,7.9182471382e-04,6.9775378506e-04,5.9712874645e-04,4.9563597713e-04
1.6000144000e+01,7.9257188190e-04,6.9766058004e-04,5.9516249166e-04,4.9967300583e-04
1.7000144000e+01,7.9264536907e-04,6.9771231210e-04,5.9479069023e-04,5.0007362006e-04
1.8000144000e+01,7.9184355855e-04,6.9754503784e-04,5.9542049712e-04,4.9925358326e-04
1.9000144000e+01,7.9122342868e-04,6.9835630711e-04,5.9490801505e-04,4.9843518354e-04
2.0000144000e+01,7.9042940342e-04,6.9722955232e-04,5.9655849327e-04,4.9606969696e-04
2.1000144000e+01,7.9079749412e-04,6.9887893915e-04,5.9686466557e-04,4.9523667258e-04
2.2000144000e+01,7.8930082964e-04,6.9879570219e-04,5.9832938859e-04,4.9371552450e-04
2.3000144000e+01,7.9080331489e-04,6.9714646088e-04,5.9620742832e-04,4.9823331210e-04
2.4000144000e+01,7.8954675701e-04,6.9775844167e-04,5.9816647990e-04,5.0000038755e-04
2.5000144000e+01,7.9068682680e-04,6.9762543717e-04,5.9945279645e-04,5.0086775445e-04
2.6000144000e+01,7.8965233115e-04,6.9783418439e-04,5.9711961512e-04,5.0293117965e-04
2.7000144000e+01,7.8994846263e-04,6.9852685556e-04,5.9782560129e-04,5.0124817790e-04
2.8000144000e+01,7.9189943790e-04,6.9851252192e-04,5.9520403738e-04,5.0000453484e-04
2.9000144000e+01,7.9089208157e-04,7.0071866503e-04,5.9815152781e-04,5.0102105888e-04
3.0000144000e+01,7.9144301708e-04,6.9926616561e-04,5.9691072238e-04,4.9700047384e-04
3.1000144000e+01,7.9095923866e-04,6.9948822784e-04,5.9766731283e-04,5.0154307246e-04
3.2000144000e+01,7.9060220742e-04,7.0056841651e-04,5.9578811488e-04,5.0357921282e-04
3.3000144000e+01,7.9057812400e-04,6.9856811024e-04,5.9687758039e-04,4.9864724133e-04
3.4000144000e+01,7.9086334154e-04,6.9872956374e-04,5.9584184783e-04,5.0175018259e-04
3.5000144000e+01,7.9097037087e-04,6.9892092142e-04,5.9508794948e-04,4.9961028708e-04
3.6000144000e+01,7.9147517681e-04,6.9784269726e-04,5.9603735281e-04,4.9945407227e-04
3.7000144000e+01,7.8912817116e-04,6.9835834438e-04,5.9541009250e-04,5.0326649216e-04
3.8000144000e+01,7.9044657468e-04,6.9758221798e-04,5.9717916884e-04,5.0042031944e-04
3.9000144000e+01,7.8841163486e-04,6.9764617365e-04,5.9843358031e-04,4.9615344324e-04
4.0000144000e+01,7.9095509136e-04,6.9778499892e-04,5.9908772528e-04,4.9996906455e-04
4.1000144000e+01,7.9090932559e-04,7.0005189627e-04,6.0133344959e-04,4.9611764553e-04
4.2000144000e+01,7.8902550740e-04,6.9859554060e-04,5.9792531829e-04,5.0062200899e-04
4.3000144000e+01,7.8872792074e-04,6.9872294262e-04,5.9951904404e-04,5.0308459322e-04
4.4000144000e+01,7.9046512838e-04,6.9852045272e-04,5.9806701756e-04,5.0088401622e-04
4.5000144000e+01,7.8885328548e-04,6.9816131145e-04,5.9791582316e-04,4.9567861424e-04
4.6000144000e+01,7.8974378994e-04,6.9944209827e-04,5.9896792663e-04,4.9430636864e-04
4.7000144000e+01,7.8991783084e-04,7.0007379691e-04,5.9783098550e-04,4.9870355724e-04
4.8000144000e+01,7.8980425315e-04,7.0045665780e-04,5.9819059970e-04,5.0109261792e-04
4.9000144000e+01,7.9014615039e-04,6.9866517151e-04,5.9707941546e-04,4.9314588978e-04
5.0000144000e+01,7.9132776591e-04,6.9900015660e-04,5.9659807448e-04,4.9605543609e-04
5.1000144000e+01,7.8990116890e-04,6.9949921453e-04,5.9792593675e-04,4.9971917178e-04
5.2000144000e+01,7.9061697761e-04,6.9928275479e-04,5.9875172155e-04,4.9414175010e-04
5.3000144000e+01,7.9170022218e-04,6.9842542871e-04,5.9811332903e-04,4.9526159273e-04
5.4000144000e+01,7.9022625869e-04,6.9978596002e-04,5.9849171521e-04,4.9925482017e-04
5.5000144000e+01,7.8979472164e-04,6.9899477239e-04,5.9768568462e-04,-1.2164154128e-07
5.6000144000e+01,7.9069410276e-04,6.9935398642e-04,5.9860354668e-04,-1.3856951142e-07
5.7000144000e+01,7.9080062278e-04,6.9995818194e-04,5.9842917835e-04,-8.2129130163e-08
5.8000144000e+01,7.8948745795e-04,6.9938389061e-04,5.9732061345e-04,-1.0406551176e-08
5.9000144000e+01,7.9168908997e-04,6.9950241596e-04,5.9845940996e-04,-1.3722799785e-07
6.0000144000e+01,7.9115547123e-04,6.9908324804e-04,5.9841269831e-04,-6.6929914944e-08
6.1000144000e+01,7.8966906585e-04,6.9849309511e-04,5.9828591475e-04,-9.7729406789e-08
6.2000144000e+01,7.9114433902e-04,6.9887762947e-04,5.9744284954e-04,-1.1599889049e-07
6.3000144000e+01,7.8969249444e-04,6.9723872002e-04,5.9672096540e-04,-7.8325870234e-08
6.4000144000e+01,7.8930475865e-04,6.9763504143e-04,5.9632111515e-04,-1.0373164550e-07
6.5000144000e+01,7.8978955571e-04,6.9894369517e-04,5.9835412685e-04,-7.8256716662e-08
6.6000144000e+01,7.9071600339e-04,6.9789246481e-04,5.9911548306e-04,-5.6723346020e-08
6.7000144000e+01,7.8952121839e-04,6.9875801273e-04,5.9888352553e-04,-7.1452337380e-08
6.8000144000e+01,7.8961769759e-04,7.0021400461e-04,6.0214038967e-04,-2.0336519135e-08
6.9000144000e+01,7.8820790804e-04,6.9761124905e-04,6.0023390688e-04,-1.2400648508e-07
7.0000144000e+01,7.8809483966e-04,6.9798516051e-04,5.9555015469e-04,-1.3381197483e-07
7.1000144000e+01,7.8890814621e-04,6.9724141213e-04,5.9628186136e-04,-4.1524135241e-08
7.2000144000e+01,7.8683282482e-04,6.9855850597e-04,5.9761754528e-04,-5.8230820166e-08
7.3000144000e+01,7.7394317486e-04,6.9832989539e-04,5.9783073084e-04,-7.4577926057e-08
