# Saved on 2025-07-12T19:02:22.787192
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE46
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.5
#   v_rst: -1.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,7.3250000000e-10,0.0000000000e+00
-2.0000000000e-02,2.5726000000e-07,0.0000000000e+00
-4.0000000000e-02,5.2146000000e-07,0.0000000000e+00
-6.0000000000e-02,8.0462000000e-07,0.0000000000e+00
-8.0000000000e-02,1.1190000000e-06,0.0000000000e+00
-1.0000000000e-01,1.4551000000e-06,0.0000000000e+00
-1.2000000000e-01,1.8167000000e-06,0.0000000000e+00
-1.4000000000e-01,2.2164000000e-06,0.0000000000e+00
-1.6000000000e-01,2.6654000000e-06,0.0000000000e+00
-1.8000000000e-01,3.1598000000e-06,0.0000000000e+00
-2.0000000000e-01,3.6978000000e-06,0.0000000000e+00
-2.2000000000e-01,4.2777000000e-06,0.0000000000e+00
-2.4000000000e-01,4.9036000000e-06,0.0000000000e+00
-2.6000000000e-01,5.6081000000e-06,0.0000000000e+00
-2.8000000000e-01,6.3955000000e-06,0.0000000000e+00
-3.0000000000e-01,7.2607000000e-06,0.0000000000e+00
-3.2000000000e-01,8.2744000000e-06,0.0000000000e+00
-3.4000000000e-01,9.2955000000e-06,0.0000000000e+00
-3.6000000000e-01,1.0374000000e-05,0.0000000000e+00
-3.8000000000e-01,1.1584000000e-05,0.0000000000e+00
-4.0000000000e-01,1.2970000000e-05,0.0000000000e+00
-4.2000000000e-01,1.4584000000e-05,0.0000000000e+00
-4.4000000000e-01,1.6194000000e-05,0.0000000000e+00
-4.6000000000e-01,1.7952000000e-05,0.0000000000e+00
-4.8000000000e-01,1.9842000000e-05,0.0000000000e+00
-5.0000000000e-01,2.2046000000e-05,0.0000000000e+00
-5.2000000000e-01,2.4250000000e-05,0.0000000000e+00
-5.4000000000e-01,2.6700000000e-05,0.0000000000e+00
-5.6000000000e-01,2.9420000000e-05,0.0000000000e+00
-5.8000000000e-01,3.2384000000e-05,0.0000000000e+00
-6.0000000000e-01,3.5486000000e-05,0.0000000000e+00
-6.2000000000e-01,3.9024000000e-05,0.0000000000e+00
-6.4000000000e-01,4.2750000000e-05,0.0000000000e+00
-6.6000000000e-01,4.7006000000e-05,0.0000000000e+00
-6.8000000000e-01,5.2374000000e-05,0.0000000000e+00
-7.0000000000e-01,5.7282000000e-05,0.0000000000e+00
-7.2000000000e-01,6.1876000000e-05,0.0000000000e+00
-7.4000000000e-01,6.7910000000e-05,0.0000000000e+00
-7.6000000000e-01,7.4654000000e-05,0.0000000000e+00
-7.8000000000e-01,8.1708000000e-05,0.0000000000e+00
-8.0000000000e-01,8.9786000000e-05,0.0000000000e+00
-8.2000000000e-01,9.9700000000e-05,0.0000000000e+00
-8.4000000000e-01,1.1046000000e-04,0.0000000000e+00
-8.6000000000e-01,1.2350000000e-04,0.0000000000e+00
-8.8000000000e-01,1.3760000000e-04,0.0000000000e+00
-9.0000000000e-01,1.5378000000e-04,0.0000000000e+00
-9.2000000000e-01,1.7342000000e-04,0.0000000000e+00
-9.4000000000e-01,1.9596000000e-04,0.0000000000e+00
-9.6000000000e-01,2.1786000000e-04,0.0000000000e+00
-9.8000000000e-01,2.4222000000e-04,0.0000000000e+00
-1.0000000000e+00,2.6672000000e-04,0.0000000000e+00
-1.0200000000e+00,2.9026000000e-04,0.0000000000e+00
-1.0400000000e+00,3.1946000000e-04,0.0000000000e+00
-1.0600000000e+00,3.4708000000e-04,0.0000000000e+00
-1.0800000000e+00,3.7690000000e-04,0.0000000000e+00
-1.1000000000e+00,4.0604000000e-04,0.0000000000e+00
-1.1200000000e+00,4.4112000000e-04,0.0000000000e+00
-1.1400000000e+00,4.7290000000e-04,0.0000000000e+00
-1.1600000000e+00,5.0322000000e-04,0.0000000000e+00
-1.1800000000e+00,5.3782000000e-04,0.0000000000e+00
-1.2000000000e+00,5.7324000000e-04,0.0000000000e+00
-1.2200000000e+00,6.0854000000e-04,0.0000000000e+00
-1.2400000000e+00,6.4974000000e-04,0.0000000000e+00
-1.2600000000e+00,6.8194000000e-04,0.0000000000e+00
-1.2800000000e+00,7.2176000000e-04,0.0000000000e+00
-1.3000000000e+00,7.5946000000e-04,0.0000000000e+00
-1.3200000000e+00,8.0098000000e-04,0.0000000000e+00
-1.3400000000e+00,8.3344000000e-04,0.0000000000e+00
-1.3600000000e+00,8.7960000000e-04,0.0000000000e+00
-1.3800000000e+00,9.1972000000e-04,0.0000000000e+00
-1.4000000000e+00,9.5932000000e-04,0.0000000000e+00
-1.4200000000e+00,1.0086000000e-03,0.0000000000e+00
-1.4400000000e+00,1.0510000000e-03,0.0000000000e+00
-1.4600000000e+00,1.0954000000e-03,0.0000000000e+00
-1.4800000000e+00,1.1402000000e-03,0.0000000000e+00
-1.5000000000e+00,1.1834000000e-03,0.0000000000e+00
-1.5200000000e+00,1.2294000000e-03,0.0000000000e+00
-1.5400000000e+00,1.2714000000e-03,0.0000000000e+00
-1.5600000000e+00,1.3172000000e-03,0.0000000000e+00
-1.5800000000e+00,1.3598000000e-03,0.0000000000e+00
-1.6000000000e+00,1.4106000000e-03,0.0000000000e+00
-1.6200000000e+00,1.4504000000e-03,0.0000000000e+00
-1.6400000000e+00,1.4942000000e-03,0.0000000000e+00
-1.6600000000e+00,1.5480000000e-03,0.0000000000e+00
-1.6800000000e+00,1.5836000000e-03,0.0000000000e+00
-1.7000000000e+00,1.6460000000e-03,0.0000000000e+00
-1.7200000000e+00,1.7004000000e-03,0.0000000000e+00
-1.7400000000e+00,1.7352000000e-03,0.0000000000e+00
-1.7600000000e+00,1.7840000000e-03,0.0000000000e+00
-1.7800000000e+00,1.8402000000e-03,0.0000000000e+00
-1.8000000000e+00,1.8832000000e-03,0.0000000000e+00
-1.8200000000e+00,1.9400000000e-03,0.0000000000e+00
-1.8400000000e+00,1.9862000000e-03,0.0000000000e+00
-1.8600000000e+00,2.0350000000e-03,0.0000000000e+00
-1.8800000000e+00,2.0946000000e-03,0.0000000000e+00
-1.9000000000e+00,2.1448000000e-03,0.0000000000e+00
-1.9200000000e+00,2.1978000000e-03,0.0000000000e+00
-1.9400000000e+00,2.2618000000e-03,0.0000000000e+00
-1.9600000000e+00,2.3010000000e-03,0.0000000000e+00
-1.9800000000e+00,2.3814000000e-03,0.0000000000e+00
-2.0000000000e+00,2.5320000000e-03,0.0000000000e+00
-2.0000000000e+00,2.7266000000e-03,0.0000000000e+00
-1.9800000000e+00,3.1384000000e-03,0.0000000000e+00
-1.9600000000e+00,3.2826000000e-03,0.0000000000e+00
-1.9400000000e+00,3.2950000000e-03,0.0000000000e+00
-1.9200000000e+00,3.2538000000e-03,0.0000000000e+00
-1.9000000000e+00,3.2354000000e-03,0.0000000000e+00
-1.8800000000e+00,3.2052000000e-03,0.0000000000e+00
-1.8600000000e+00,3.1518000000e-03,0.0000000000e+00
-1.8400000000e+00,3.1150000000e-03,0.0000000000e+00
-1.8200000000e+00,3.0796000000e-03,0.0000000000e+00
-1.8000000000e+00,2.9824000000e-03,0.0000000000e+00
-1.7800000000e+00,2.9344000000e-03,0.0000000000e+00
-1.7600000000e+00,2.9006000000e-03,0.0000000000e+00
-1.7400000000e+00,2.8546000000e-03,0.0000000000e+00
-1.7200000000e+00,2.8198000000e-03,0.0000000000e+00
-1.7000000000e+00,2.7834000000e-03,0.0000000000e+00
-1.6800000000e+00,2.7414000000e-03,0.0000000000e+00
-1.6600000000e+00,2.6956000000e-03,0.0000000000e+00
-1.6400000000e+00,2.6476000000e-03,0.0000000000e+00
-1.6200000000e+00,2.6078000000e-03,0.0000000000e+00
-1.6000000000e+00,2.5678000000e-03,0.0000000000e+00
-1.5800000000e+00,2.5212000000e-03,0.0000000000e+00
-1.5600000000e+00,2.4824000000e-03,0.0000000000e+00
-1.5400000000e+00,2.4356000000e-03,0.0000000000e+00
-1.5200000000e+00,2.3930000000e-03,0.0000000000e+00
-1.5000000000e+00,2.3470000000e-03,0.0000000000e+00
