# Saved on 2025-07-12T18:50:49.434861
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE47
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1.2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,4.9198628403e-04,5.9207839513e-04,6.8928238761e-04,7.9191420809e-04
1.0001440000e+00,4.9185498938e-04,5.9214238718e-04,6.8982772063e-04,7.9768055002e-04
2.0001440000e+00,4.9105135986e-04,5.9237630921e-04,6.9009947765e-04,7.9076475231e-04
3.0001440000e+00,4.9054469855e-04,5.9248290199e-04,6.9023590186e-04,7.9386583820e-04
4.0001440000e+00,4.9100337492e-04,5.9239300754e-04,6.8358916906e-04,7.9211044067e-04
5.0001440000e+00,4.9068556109e-04,5.9221067204e-04,6.8915265729e-04,7.9163532064e-04
6.0001440000e+00,4.9187394325e-04,5.9096168116e-04,6.8826295319e-04,7.9161167378e-04
7.0001440000e+00,4.9164340453e-04,5.9238023823e-04,6.8037734309e-04,7.9279860074e-04
8.0001440000e+00,4.9180278438e-04,5.9223733842e-04,6.8530520366e-04,7.9313394963e-04
9.0001440000e+00,4.9079586461e-04,5.9038600739e-04,6.8452056439e-04,7.9231489508e-04
1.0000144000e+01,4.9173988373e-04,5.9181722463e-04,6.8606968853e-04,7.9291399743e-04
1.1000144000e+01,4.9117847084e-04,5.9169648011e-04,6.8930974521e-04,7.9178600572e-04
1.2000144000e+01,4.9133661378e-04,5.9234214859e-04,6.8038207246e-04,7.9290970461e-04
1.3000144000e+01,4.8993828386e-04,5.9209356550e-04,6.7771790782e-04,7.9034827650e-04
1.4000144000e+01,4.9093250709e-04,5.9132264141e-04,6.8282352004e-04,7.9152516264e-04
1.5000144000e+01,4.9065140047e-04,5.9147474531e-04,6.8086483225e-04,7.9266166722e-04
1.6000144000e+01,4.9056805437e-04,5.9204150602e-04,6.8678382377e-04,7.9115612607e-04
1.7000144000e+01,4.9082900659e-04,5.9189060266e-04,6.8212160841e-04,7.9005745647e-04
1.8000144000e+01,4.9038168072e-04,5.9175217757e-04,6.8126602855e-04,7.9153040133e-04
1.9000144000e+01,4.9053171097e-04,5.9177422372e-04,6.8418434239e-04,7.9072386143e-04
2.0000144000e+01,4.9050348025e-04,5.9216607042e-04,6.8405133788e-04,7.9204968642e-04
2.1000144000e+01,4.9115355068e-04,5.9231821069e-04,6.9607798650e-04,7.9194185673e-04
2.2000144000e+01,4.9132122513e-04,5.9157362557e-04,6.8776513217e-04,7.9380850366e-04
2.3000144000e+01,4.9094305723e-04,5.9062149376e-04,6.9032823376e-04,7.9214973084e-04
2.4000144000e+01,4.9127269449e-04,5.9160804085e-04,6.8709465268e-04,7.9357560026e-04
2.5000144000e+01,4.9052017857e-04,5.9244837757e-04,6.8183595431e-04,7.9324636317e-04
2.6000144000e+01,4.9165242672e-04,5.9209422034e-04,6.8998517236e-04,7.9307385022e-04
2.7000144000e+01,4.9124704674e-04,5.9193778725e-04,6.8386449129e-04,7.9287965491e-04
2.8000144000e+01,4.9043668696e-04,5.9010068071e-04,6.8439643655e-04,7.9295190517e-04
2.9000144000e+01,4.9086753279e-04,5.9286096075e-04,6.8911038397e-04,7.9128483776e-04
3.0000144000e+01,4.9117166782e-04,5.9334390244e-04,6.9214307587e-04,7.9163233750e-04
3.1000144000e+01,4.9125781516e-04,5.9273752413e-04,6.9235771662e-04,7.9292585724e-04
3.2000144000e+01,4.9150592531e-04,5.9326110204e-04,6.8846202339e-04,7.9414181528e-04
3.3000144000e+01,4.9008540373e-04,5.9243415308e-04,6.8565044785e-04,7.9221754277e-04
3.4000144000e+01,4.9051337555e-04,5.8989800891e-04,6.8302455475e-04,7.9041674326e-04
3.5000144000e+01,4.9044461775e-04,5.9193662310e-04,6.8748420745e-04,7.9026511230e-04
3.6000144000e+01,4.9038859288e-04,5.9040085034e-04,6.9240915764e-04,7.9065095633e-04
3.7000144000e+01,4.9158716138e-04,5.9185043938e-04,6.9197667472e-04,7.9171964899e-04
3.8000144000e+01,4.9107737141e-04,5.9162619436e-04,6.8950845161e-04,7.9107565398e-04
3.9000144000e+01,4.9039019359e-04,5.9031077399e-04,6.9271402026e-04,7.9058299889e-04
4.0000144000e+01,4.8999812861e-04,5.8971429098e-04,6.8541950895e-04,7.9237594036e-04
4.1000144000e+01,4.9119207688e-04,5.9136396885e-04,6.8365829065e-04,7.9155302956e-04
4.2000144000e+01,4.9019006838e-04,5.8957695728e-04,6.8761168222e-04,7.9180965258e-04
4.3000144000e+01,4.9019581638e-04,5.9042245994e-04,6.9439505751e-04,7.9181787441e-04
4.4000144000e+01,4.9038768339e-04,5.8982590417e-04,6.8701905548e-04,7.9141987953e-04
4.5000144000e+01,4.8996313126e-04,5.9120084188e-04,6.8992616434e-04,7.9169934907e-04
4.6000144000e+01,4.9050879170e-04,5.9066194808e-04,6.9025300036e-04,7.9036130046e-04
4.7000144000e+01,4.8986734328e-04,5.9122841776e-04,6.8936940806e-04,7.8998062236e-04
4.8000144000e+01,4.9100533943e-04,5.9108300775e-04,6.9060188252e-04,7.8993543866e-04
4.9000144000e+01,4.9049249355e-04,5.9101123043e-04,6.8796136475e-04,7.9071309301e-04
5.0000144000e+01,4.9003912864e-04,5.9149380832e-04,6.9005451223e-04,7.9103388998e-04
5.1000144000e+01,4.9026235502e-04,5.9070811403e-04,6.9620051363e-04,7.8996767115e-04
5.2000144000e+01,4.9042875617e-04,5.9163616243e-04,6.9010224252e-04,7.9132958490e-04
5.3000144000e+01,4.9131580454e-04,5.9165296989e-04,6.8540080974e-04,7.9317134805e-04
5.4000144000e+01,4.9031390517e-04,5.8921403252e-04,6.8309280323e-04,7.9331606685e-04
5.5000144000e+01,4.9098580348e-04,5.8990757680e-04,6.8415734859e-04,7.9218109022e-04
5.6000144000e+01,4.9017675337e-04,5.9104819229e-04,6.8349647336e-04,7.9454330262e-04
5.7000144000e+01,4.9045531341e-04,5.8995530708e-04,6.8360699515e-04,7.9236640886e-04
