# Saved on 2025-07-12T18:18:59.152771
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE47
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -1.2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,7.3595000000e-10,6.2483000000e-10
-1.5000000000e-02,3.9671000000e-06,4.2910000000e-06
-3.0000000000e-02,7.9654000000e-06,8.6026000000e-06
-4.5000000000e-02,1.1966000000e-05,1.2972000000e-05
-6.0000000000e-02,1.6090000000e-05,1.7360000000e-05
-7.5000000000e-02,2.0178000000e-05,2.1776000000e-05
-9.0000000000e-02,2.4288000000e-05,2.6346000000e-05
-1.0500000000e-01,2.8620000000e-05,3.0912000000e-05
-1.2000000000e-01,3.2926000000e-05,3.5618000000e-05
-1.3500000000e-01,3.7342000000e-05,4.0342000000e-05
-1.5000000000e-01,4.1864000000e-05,4.5248000000e-05
-1.6500000000e-01,4.6526000000e-05,5.0158000000e-05
-1.8000000000e-01,5.1208000000e-05,5.5220000000e-05
-1.9500000000e-01,5.6104000000e-05,6.0414000000e-05
-2.1000000000e-01,6.1070000000e-05,6.5604000000e-05
-2.2500000000e-01,6.6120000000e-05,7.1130000000e-05
-2.4000000000e-01,7.1442000000e-05,7.6800000000e-05
-2.5500000000e-01,7.6868000000e-05,8.2580000000e-05
-2.7000000000e-01,8.2288000000e-05,8.8310000000e-05
-2.8500000000e-01,8.8052000000e-05,9.4358000000e-05
-3.0000000000e-01,9.3846000000e-05,1.0080000000e-04
-3.1500000000e-01,1.0016000000e-04,1.0718000000e-04
-3.3000000000e-01,1.0644000000e-04,1.1358000000e-04
-3.4500000000e-01,1.1264000000e-04,1.2030000000e-04
-3.6000000000e-01,1.1920000000e-04,1.2728000000e-04
-3.7500000000e-01,1.2618000000e-04,1.3438000000e-04
-3.9000000000e-01,1.3266000000e-04,1.4148000000e-04
-4.0500000000e-01,1.3992000000e-04,1.4866000000e-04
-4.2000000000e-01,1.4714000000e-04,1.5652000000e-04
-4.3500000000e-01,1.5478000000e-04,1.6410000000e-04
-4.5000000000e-01,1.6252000000e-04,1.7204000000e-04
-4.6500000000e-01,1.7048000000e-04,1.8012000000e-04
-4.8000000000e-01,1.7854000000e-04,1.8816000000e-04
-4.9500000000e-01,1.8708000000e-04,1.9678000000e-04
-5.1000000000e-01,1.9568000000e-04,2.0524000000e-04
-5.2500000000e-01,2.0454000000e-04,2.1498000000e-04
-5.4000000000e-01,2.1376000000e-04,2.2352000000e-04
-5.5500000000e-01,2.2284000000e-04,2.3264000000e-04
-5.7000000000e-01,2.3262000000e-04,2.4262000000e-04
-5.8500000000e-01,2.4258000000e-04,2.5238000000e-04
-6.0000000000e-01,2.5176000000e-04,2.6210000000e-04
-6.1500000000e-01,2.6180000000e-04,2.7200000000e-04
-6.3000000000e-01,2.7268000000e-04,2.8288000000e-04
-6.4500000000e-01,2.8330000000e-04,2.9322000000e-04
-6.6000000000e-01,2.9402000000e-04,3.0400000000e-04
-6.7500000000e-01,3.0586000000e-04,3.1496000000e-04
-6.9000000000e-01,3.1726000000e-04,3.2588000000e-04
-7.0500000000e-01,3.2856000000e-04,3.3758000000e-04
-7.2000000000e-01,3.4054000000e-04,3.4856000000e-04
-7.3500000000e-01,3.5212000000e-04,3.5992000000e-04
-7.5000000000e-01,3.6398000000e-04,3.7278000000e-04
-7.6500000000e-01,3.7674000000e-04,3.8482000000e-04
-7.8000000000e-01,3.8812000000e-04,3.9654000000e-04
-7.9500000000e-01,4.0182000000e-04,4.0950000000e-04
-8.1000000000e-01,4.1426000000e-04,4.2306000000e-04
-8.2500000000e-01,4.2804000000e-04,4.3488000000e-04
-8.4000000000e-01,4.4200000000e-04,4.4856000000e-04
-8.5500000000e-01,4.5532000000e-04,4.6090000000e-04
-8.7000000000e-01,4.6900000000e-04,4.7506000000e-04
-8.8500000000e-01,4.8226000000e-04,4.8942000000e-04
-9.0000000000e-01,4.9486000000e-04,5.0282000000e-04
-9.1500000000e-01,5.0904000000e-04,5.1856000000e-04
-9.3000000000e-01,5.2470000000e-04,5.3166000000e-04
-9.4500000000e-01,5.4076000000e-04,5.4706000000e-04
-9.6000000000e-01,5.5344000000e-04,5.6214000000e-04
-9.7500000000e-01,5.6900000000e-04,5.7700000000e-04
-9.9000000000e-01,5.8482000000e-04,5.9156000000e-04
-1.0050000000e+00,5.9770000000e-04,6.0810000000e-04
-1.0200000000e+00,6.1420000000e-04,6.2338000000e-04
-1.0350000000e+00,6.3074000000e-04,6.3752000000e-04
-1.0500000000e+00,6.4698000000e-04,6.5200000000e-04
-1.0650000000e+00,6.6366000000e-04,6.6998000000e-04
-1.0800000000e+00,6.7730000000e-04,6.8686000000e-04
-1.0950000000e+00,6.9708000000e-04,7.0636000000e-04
-1.1100000000e+00,7.0988000000e-04,7.2230000000e-04
-1.1250000000e+00,7.3070000000e-04,7.3926000000e-04
-1.1400000000e+00,7.4988000000e-04,7.5720000000e-04
-1.1550000000e+00,7.6494000000e-04,7.7670000000e-04
-1.1700000000e+00,7.8700000000e-04,7.9266000000e-04
-1.1850000000e+00,8.0416000000e-04,8.1168000000e-04
-1.2000000000e+00,8.1980000000e-04,8.2890000000e-04
-1.2150000000e+00,8.3496000000e-04,8.4414000000e-04
-1.2300000000e+00,8.5630000000e-04,8.6574000000e-04
-1.2450000000e+00,8.6826000000e-04,8.8050000000e-04
-1.2600000000e+00,8.9134000000e-04,9.0076000000e-04
-1.2750000000e+00,8.9966000000e-04,9.1920000000e-04
-1.2900000000e+00,9.1686000000e-04,9.4010000000e-04
-1.3050000000e+00,9.4840000000e-04,9.6324000000e-04
-1.3200000000e+00,9.6574000000e-04,9.8640000000e-04
-1.3350000000e+00,9.7392000000e-04,9.9654000000e-04
-1.3500000000e+00,1.0048000000e-03,1.0104000000e-03
-1.3650000000e+00,1.0266000000e-03,1.0424000000e-03
-1.3800000000e+00,1.0520000000e-03,1.0590000000e-03
-1.3950000000e+00,1.0784000000e-03,1.0896000000e-03
-1.4100000000e+00,1.1018000000e-03,1.1134000000e-03
-1.4250000000e+00,1.1244000000e-03,1.1286000000e-03
-1.4400000000e+00,1.1626000000e-03,1.1466000000e-03
-1.4550000000e+00,1.1956000000e-03,1.1718000000e-03
-1.4700000000e+00,1.2220000000e-03,1.2024000000e-03
-1.4850000000e+00,1.2570000000e-03,1.2328000000e-03
-1.5000000000e+00,1.3048000000e-03,1.2570000000e-03
-1.5000000000e+00,1.3066000000e-03,1.2710000000e-03
-1.4850000000e+00,1.3214000000e-03,1.2622000000e-03
-1.4700000000e+00,1.3210000000e-03,1.2520000000e-03
-1.4550000000e+00,1.3068000000e-03,1.2314000000e-03
-1.4400000000e+00,1.2998000000e-03,1.2230000000e-03
-1.4250000000e+00,1.2960000000e-03,1.2054000000e-03
-1.4100000000e+00,1.2870000000e-03,1.2000000000e-03
-1.3950000000e+00,1.3064000000e-03,1.1826000000e-03
-1.3800000000e+00,1.3158000000e-03,1.1740000000e-03
-1.3650000000e+00,1.3106000000e-03,1.1586000000e-03
-1.3500000000e+00,1.3038000000e-03,1.1552000000e-03
-1.3350000000e+00,1.2876000000e-03,1.1492000000e-03
-1.3200000000e+00,1.2698000000e-03,1.1352000000e-03
-1.3050000000e+00,1.2498000000e-03,1.1218000000e-03
-1.2900000000e+00,1.2284000000e-03,1.1368000000e-03
-1.2750000000e+00,1.2024000000e-03,1.1256200000e-03
-1.2600000000e+00,1.1818000000e-03,1.1082000000e-03
-1.2450000000e+00,1.1580000000e-03,1.0924400000e-03
-1.2300000000e+00,1.1242200000e-03,1.0807000000e-03
-1.2150000000e+00,1.0907000000e-03,1.0576200000e-03
-1.2000000000e+00,1.0637000000e-03,1.0362600000e-03
-1.1850000000e+00,1.0336400000e-03,1.0097800000e-03
-1.1700000000e+00,1.0000200000e-03,9.9574000000e-04
-1.1550000000e+00,9.6764000000e-04,9.7732000000e-04
-1.1400000000e+00,9.3140000000e-04,9.5562000000e-04
-1.1250000000e+00,8.9790000000e-04,9.3392000000e-04
-1.1100000000e+00,8.7694000000e-04,9.1544000000e-04
-1.0950000000e+00,8.5502000000e-04,9.0108000000e-04
-1.0800000000e+00,8.2916000000e-04,8.7968000000e-04
-1.0650000000e+00,8.0760000000e-04,8.5824000000e-04
-1.0500000000e+00,7.7416000000e-04,8.4154000000e-04
-1.0350000000e+00,7.5546000000e-04,8.2372000000e-04
-1.0200000000e+00,7.3098000000e-04,8.0878000000e-04
-1.0050000000e+00,7.1190000000e-04,7.9036000000e-04
-9.9000000000e-01,6.8582000000e-04,7.7508000000e-04
-9.7500000000e-01,6.6986000000e-04,7.5994000000e-04
-9.6000000000e-01,6.5022000000e-04,7.4178000000e-04
-9.4500000000e-01,6.2336000000e-04,7.2658000000e-04
-9.3000000000e-01,6.0916000000e-04,7.1044000000e-04
-9.1500000000e-01,5.8934000000e-04,6.9554000000e-04
