# Saved on 2025-07-12T18:53:04.619371
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE47
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1.2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,1.3468000000e-09,8.7080000000e-09
-1.5000000000e-02,5.8838000000e-07,4.8521000000e-06
-3.0000000000e-02,1.2055000000e-06,9.4099000000e-06
-4.5000000000e-02,1.8382000000e-06,1.4176000000e-05
-6.0000000000e-02,2.4957000000e-06,1.9006000000e-05
-7.5000000000e-02,3.2079000000e-06,2.3742000000e-05
-9.0000000000e-02,3.9793000000e-06,2.7954000000e-05
-1.0500000000e-01,4.8176000000e-06,3.3620000000e-05
-1.2000000000e-01,5.6897000000e-06,3.8468000000e-05
-1.3500000000e-01,6.6107000000e-06,4.2952000000e-05
-1.5000000000e-01,7.6577000000e-06,4.7854000000e-05
-1.6500000000e-01,8.7377000000e-06,5.2982000000e-05
-1.8000000000e-01,9.9109000000e-06,5.7992000000e-05
-1.9500000000e-01,1.1112000000e-05,6.3076000000e-05
-2.1000000000e-01,1.2516000000e-05,6.8410000000e-05
-2.2500000000e-01,1.3926000000e-05,7.3726000000e-05
-2.4000000000e-01,1.5500000000e-05,7.8230000000e-05
-2.5500000000e-01,1.7126000000e-05,8.2952000000e-05
-2.7000000000e-01,1.8832000000e-05,8.9976000000e-05
-2.8500000000e-01,2.0584000000e-05,9.4290000000e-05
-3.0000000000e-01,2.2594000000e-05,1.0018400000e-04
-3.1500000000e-01,2.4632000000e-05,1.0468000000e-04
-3.3000000000e-01,2.6742000000e-05,1.1062000000e-04
-3.4500000000e-01,2.9216000000e-05,1.1696000000e-04
-3.6000000000e-01,3.1652000000e-05,1.2164000000e-04
-3.7500000000e-01,3.4692000000e-05,1.2702000000e-04
-3.9000000000e-01,3.7476000000e-05,1.3252000000e-04
-4.0500000000e-01,4.0352000000e-05,1.3742000000e-04
-4.2000000000e-01,4.2922000000e-05,1.4504000000e-04
-4.3500000000e-01,4.6070000000e-05,1.5234000000e-04
-4.5000000000e-01,4.9270000000e-05,1.5664000000e-04
-4.6500000000e-01,5.2788000000e-05,1.6216000000e-04
-4.8000000000e-01,5.6398000000e-05,1.7140000000e-04
-4.9500000000e-01,6.0366000000e-05,1.7508000000e-04
-5.1000000000e-01,6.4582000000e-05,1.8114000000e-04
-5.2500000000e-01,6.8968000000e-05,1.8944000000e-04
-5.4000000000e-01,7.2846000000e-05,1.9332000000e-04
-5.5500000000e-01,7.7752000000e-05,2.0082000000e-04
-5.7000000000e-01,8.3092000000e-05,2.0774000000e-04
-5.8500000000e-01,8.7652000000e-05,2.0850000000e-04
-6.0000000000e-01,9.3682000000e-05,2.2024000000e-04
-6.1500000000e-01,9.9096000000e-05,2.2586000000e-04
-6.3000000000e-01,1.0526000000e-04,2.2964000000e-04
-6.4500000000e-01,1.1126000000e-04,2.3986000000e-04
-6.6000000000e-01,1.1770000000e-04,2.4696000000e-04
-6.7500000000e-01,1.2476000000e-04,2.4662000000e-04
-6.9000000000e-01,1.3166000000e-04,2.5920000000e-04
