# Saved on 2025-07-12T17:41:30.809549
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e-01,1.7702000000e-07
1.0000000000e-01,1.7572000000e-07
1.0000000000e-01,1.8988000000e-07
1.0000000000e-01,1.8508000000e-07
1.0000000000e-01,1.7060000000e-07
1.0000000000e-01,1.7186000000e-07
1.0000000000e-01,1.8370000000e-07
1.0000000000e-01,1.8552000000e-07
1.0000000000e-01,1.8920000000e-07
1.0000000000e-01,1.8956000000e-07
1.0000000000e-01,1.8870000000e-07
1.0000000000e-01,1.8320000000e-07
1.0000000000e-01,1.8430000000e-07
1.0000000000e-01,1.7820000000e-07
1.0000000000e-01,1.7488000000e-07
1.0000000000e-01,1.8342000000e-07
1.0000000000e-01,1.8008000000e-07
1.0000000000e-01,1.8412000000e-07
2.0000000000e-01,3.9262000000e-07
2.0000000000e-01,3.6412000000e-07
2.0000000000e-01,3.8114000000e-07
2.0000000000e-01,3.7060000000e-07
2.0000000000e-01,3.7462000000e-07
2.0000000000e-01,3.6352000000e-07
2.0000000000e-01,3.6774000000e-07
2.0000000000e-01,3.8600000000e-07
2.0000000000e-01,3.7608000000e-07
2.0000000000e-01,3.8616000000e-07
2.0000000000e-01,3.7614000000e-07
2.0000000000e-01,3.7160000000e-07
2.0000000000e-01,3.6426000000e-07
2.0000000000e-01,3.8876000000e-07
2.0000000000e-01,3.8046000000e-07
2.0000000000e-01,3.7466000000e-07
2.0000000000e-01,3.9208000000e-07
2.0000000000e-01,4.0270000000e-07
2.0000000000e-01,3.5424000000e-07
2.0000000000e-01,3.6754000000e-07
2.0000000000e-01,3.7854000000e-07
2.0000000000e-01,3.7794000000e-07
2.0000000000e-01,3.6232000000e-07
2.0000000000e-01,3.6528000000e-07
2.0000000000e-01,4.0654000000e-07
2.0000000000e-01,3.8764000000e-07
2.0000000000e-01,3.7280000000e-07
2.0000000000e-01,3.7340000000e-07
2.0000000000e-01,3.7584000000e-07
2.0000000000e-01,3.5640000000e-07
2.0000000000e-01,3.6194000000e-07
2.0000000000e-01,3.8640000000e-07
3.0000000000e-01,6.3012000000e-07
3.0000000000e-01,6.0508000000e-07
3.0000000000e-01,5.5722000000e-07
3.0000000000e-01,6.1508000000e-07
3.0000000000e-01,6.0696000000e-07
3.0000000000e-01,5.5122000000e-07
3.0000000000e-01,6.0106000000e-07
3.0000000000e-01,6.1768000000e-07
3.0000000000e-01,6.1810000000e-07
3.0000000000e-01,6.0728000000e-07
3.0000000000e-01,6.1822000000e-07
3.0000000000e-01,5.8906000000e-07
3.0000000000e-01,6.0256000000e-07
3.0000000000e-01,5.6930000000e-07
3.0000000000e-01,6.1814000000e-07
3.0000000000e-01,6.1776000000e-07
3.0000000000e-01,6.1772000000e-07
3.0000000000e-01,6.4592000000e-07
3.0000000000e-01,6.3622000000e-07
3.0000000000e-01,6.5348000000e-07
3.0000000000e-01,6.5880000000e-07
3.0000000000e-01,6.4380000000e-07
3.0000000000e-01,6.4524000000e-07
3.0000000000e-01,6.5624000000e-07
3.0000000000e-01,6.6134000000e-07
3.0000000000e-01,6.4986000000e-07
3.0000000000e-01,6.3662000000e-07
3.0000000000e-01,6.3004000000e-07
3.0000000000e-01,6.2832000000e-07
3.0000000000e-01,6.1576000000e-07
3.0000000000e-01,6.0926000000e-07
4.0000000000e-01,8.2848000000e-07
4.0000000000e-01,8.6966000000e-07
4.0000000000e-01,8.4284000000e-07
4.0000000000e-01,8.4072000000e-07
4.0000000000e-01,8.5872000000e-07
4.0000000000e-01,8.3232000000e-07
4.0000000000e-01,8.1958000000e-07
4.0000000000e-01,8.5178000000e-07
4.0000000000e-01,8.7428000000e-07
4.0000000000e-01,8.6432000000e-07
4.0000000000e-01,8.5112000000e-07
4.0000000000e-01,8.4606000000e-07
4.0000000000e-01,8.6288000000e-07
4.0000000000e-01,8.9606000000e-07
4.0000000000e-01,8.8170000000e-07
4.0000000000e-01,8.4734000000e-07
4.0000000000e-01,9.0312000000e-07
4.0000000000e-01,9.0428000000e-07
4.0000000000e-01,8.5098000000e-07
4.0000000000e-01,8.1584000000e-07
4.0000000000e-01,8.4716000000e-07
4.0000000000e-01,8.7802000000e-07
4.0000000000e-01,8.5564000000e-07
4.0000000000e-01,8.7708000000e-07
4.0000000000e-01,8.8186000000e-07
4.0000000000e-01,8.6872000000e-07
4.0000000000e-01,8.5936000000e-07
4.0000000000e-01,8.5928000000e-07
4.0000000000e-01,8.7122000000e-07
