# Saved on 2025-07-12T17:31:00.819128
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 3
#   Reset_Compliance: 0.001
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
1.0000000000e-01,4.6026000000e-06
1.0000000000e-01,4.9568000000e-06
1.0000000000e-01,4.5911000000e-06
1.0000000000e-01,4.8914000000e-06
1.0000000000e-01,4.9107000000e-06
1.0000000000e-01,4.8362000000e-06
1.0000000000e-01,4.8614000000e-06
1.0000000000e-01,4.7980000000e-06
1.0000000000e-01,4.7832000000e-06
1.0000000000e-01,4.8492000000e-06
1.0000000000e-01,4.7816000000e-06
1.0000000000e-01,4.8764000000e-06
1.0000000000e-01,4.8993000000e-06
1.0000000000e-01,4.9134000000e-06
1.0000000000e-01,4.8433000000e-06
1.0000000000e-01,4.8589000000e-06
1.0000000000e-01,4.5456000000e-06
1.0000000000e-01,4.5526000000e-06
1.0000000000e-01,4.8722000000e-06
1.0000000000e-01,4.9112000000e-06
1.0000000000e-01,4.9186000000e-06
1.0000000000e-01,4.5782000000e-06
1.0000000000e-01,4.8449000000e-06
1.0000000000e-01,4.8673000000e-06
1.0000000000e-01,4.8744000000e-06
1.0000000000e-01,4.5866000000e-06
1.0000000000e-01,4.8191000000e-06
1.0000000000e-01,4.8760000000e-06
1.0000000000e-01,4.8514000000e-06
1.0000000000e-01,4.8700000000e-06
1.0000000000e-01,4.6519000000e-06
1.0000000000e-01,4.8435000000e-06
1.0000000000e-01,4.8492000000e-06
1.0000000000e-01,4.6382000000e-06
1.0000000000e-01,4.8557000000e-06
1.0000000000e-01,4.8960000000e-06
1.0000000000e-01,4.6536000000e-06
1.0000000000e-01,4.8235000000e-06
1.0000000000e-01,4.8414000000e-06
1.0000000000e-01,4.8623000000e-06
1.0000000000e-01,4.8032000000e-06
1.0000000000e-01,4.8354000000e-06
2.0000000000e-01,1.1502000000e-05
2.0000000000e-01,1.2026000000e-05
2.0000000000e-01,1.1414000000e-05
2.0000000000e-01,1.1880000000e-05
2.0000000000e-01,1.1568000000e-05
2.0000000000e-01,1.2362000000e-05
2.0000000000e-01,1.1996000000e-05
2.0000000000e-01,1.2162000000e-05
2.0000000000e-01,1.2242000000e-05
2.0000000000e-01,1.2384000000e-05
2.0000000000e-01,1.1630000000e-05
2.0000000000e-01,1.2186000000e-05
2.0000000000e-01,1.1740000000e-05
2.0000000000e-01,1.2248000000e-05
2.0000000000e-01,1.2208000000e-05
2.0000000000e-01,1.1546000000e-05
2.0000000000e-01,1.2542000000e-05
2.0000000000e-01,1.2382000000e-05
2.0000000000e-01,1.2528000000e-05
2.0000000000e-01,1.2346000000e-05
2.0000000000e-01,1.2300000000e-05
2.0000000000e-01,1.1946000000e-05
2.0000000000e-01,1.1698000000e-05
2.0000000000e-01,1.1584000000e-05
2.0000000000e-01,1.1902000000e-05
2.0000000000e-01,1.2246000000e-05
2.0000000000e-01,1.2338000000e-05
2.0000000000e-01,1.2436000000e-05
2.0000000000e-01,1.2346000000e-05
2.0000000000e-01,1.2462000000e-05
