# Saved on 2025-07-12T17:42:00.799730
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
7.0000000000e-01,1.5651000000e-06
7.0000000000e-01,2.0817000000e-06
7.0000000000e-01,2.0626000000e-06
7.0000000000e-01,2.0635000000e-06
7.0000000000e-01,2.0944000000e-06
7.0000000000e-01,2.0906000000e-06
7.0000000000e-01,2.0294000000e-06
7.0000000000e-01,2.1603000000e-06
7.0000000000e-01,2.1711000000e-06
7.0000000000e-01,2.1828000000e-06
7.0000000000e-01,2.1369000000e-06
7.0000000000e-01,2.1850000000e-06
7.0000000000e-01,2.1742000000e-06
7.0000000000e-01,2.1623000000e-06
7.0000000000e-01,2.1967000000e-06
7.0000000000e-01,2.0241000000e-06
7.0000000000e-01,2.0392000000e-06
7.0000000000e-01,2.2911000000e-06
7.0000000000e-01,2.2796000000e-06
7.0000000000e-01,2.3164000000e-06
7.0000000000e-01,2.3411000000e-06
7.0000000000e-01,2.3029000000e-06
7.0000000000e-01,2.3145000000e-06
7.0000000000e-01,2.2973000000e-06
7.0000000000e-01,2.2915000000e-06
7.0000000000e-01,2.2648000000e-06
7.0000000000e-01,2.2734000000e-06
7.0000000000e-01,2.2857000000e-06
7.0000000000e-01,2.2936000000e-06
7.0000000000e-01,2.3180000000e-06
7.0000000000e-01,2.2727000000e-06
7.0000000000e-01,2.2440000000e-06
7.0000000000e-01,2.2631000000e-06
7.0000000000e-01,2.2982000000e-06
7.0000000000e-01,2.2671000000e-06
7.0000000000e-01,2.3147000000e-06
7.0000000000e-01,2.2591000000e-06
7.0000000000e-01,2.1835000000e-06
7.0000000000e-01,2.2349000000e-06
7.0000000000e-01,2.2316000000e-06
7.0000000000e-01,2.2621000000e-06
7.0000000000e-01,2.2516000000e-06
8.0000000000e-01,2.6567000000e-06
8.0000000000e-01,2.6623000000e-06
8.0000000000e-01,2.6317000000e-06
8.0000000000e-01,2.5925000000e-06
8.0000000000e-01,2.6081000000e-06
8.0000000000e-01,2.6094000000e-06
8.0000000000e-01,2.5628000000e-06
8.0000000000e-01,2.6309000000e-06
8.0000000000e-01,2.5360000000e-06
8.0000000000e-01,2.5919000000e-06
8.0000000000e-01,2.6478000000e-06
8.0000000000e-01,2.5989000000e-06
8.0000000000e-01,2.5928000000e-06
8.0000000000e-01,2.6550000000e-06
8.0000000000e-01,2.6097000000e-06
8.0000000000e-01,2.5922000000e-06
8.0000000000e-01,2.6245000000e-06
8.0000000000e-01,2.5775000000e-06
8.0000000000e-01,2.6109000000e-06
8.0000000000e-01,2.4770000000e-06
8.0000000000e-01,2.4799000000e-06
8.0000000000e-01,2.3749000000e-06
8.0000000000e-01,2.3854000000e-06
8.0000000000e-01,2.4028000000e-06
8.0000000000e-01,2.3769000000e-06
8.0000000000e-01,2.3661000000e-06
8.0000000000e-01,2.3994000000e-06
8.0000000000e-01,2.5577000000e-06
8.0000000000e-01,2.5643000000e-06
8.0000000000e-01,2.4990000000e-06
8.0000000000e-01,2.4343000000e-06
