# Saved on 2025-07-12T17:53:20.559736
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.2
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,5.0353988627e-04
1.1440000000e-03,5.0447622925e-04
2.1440000000e-03,5.0295853725e-04
3.1440000000e-03,5.0564191042e-04
4.1440000000e-03,5.0579597882e-04
5.1440000000e-03,5.0518086937e-04
6.1440000000e-03,5.0620008551e-04
7.1440000000e-03,5.0595172070e-04
8.1440000000e-03,5.0469796406e-04
9.1440000000e-03,5.0545560953e-04
1.0144000000e-02,5.0572441978e-04
1.1144000000e-02,5.0587255828e-04
1.2144000000e-02,5.0564711273e-04
1.3144000000e-02,5.0612394261e-04
1.4144000000e-02,5.0527240091e-04
1.5144000000e-02,5.0237031246e-04
1.6144000000e-02,5.0396807637e-04
1.7144000000e-02,5.0430251576e-04
1.8144000000e-02,5.0260172429e-04
1.9144000000e-02,5.0211208872e-04
2.0144000000e-02,5.0345926866e-04
2.1144000000e-02,5.0557693612e-04
2.2144000000e-02,4.9422920711e-04
2.3144000000e-02,4.9493482948e-04
2.4144000000e-02,4.9485886848e-04
2.5144000000e-02,4.9102171033e-04
2.6144000000e-02,4.9049460358e-04
2.7144000000e-02,4.9062742619e-04
2.8144000000e-02,5.0101192755e-04
2.9144000000e-02,5.0145343266e-04
3.0144000000e-02,5.0158301747e-04
3.1144000000e-02,5.0125094276e-04
3.2144000000e-02,5.0202586863e-04
3.3144000000e-02,5.0206948799e-04
3.4144000000e-02,5.0188948080e-04
3.5144000000e-02,5.0132475735e-04
3.6144000000e-02,5.0130172895e-04
3.7144000000e-02,5.0050406571e-04
3.8144000000e-02,5.0196278607e-04
3.9144000000e-02,5.0195671065e-04
4.0144000000e-02,4.9085640057e-04
4.1144000000e-02,4.8949677875e-04
4.2144000000e-02,5.0161797844e-04
4.3144000000e-02,5.0117061619e-04
4.4144000000e-02,5.0053542509e-04
4.5144000000e-02,5.0013986765e-04
4.6144000000e-02,4.9081903853e-04
4.7144000000e-02,4.8722424253e-04
4.8144000000e-02,4.8712590797e-04
4.9144000000e-02,4.9782433052e-04
5.0144000000e-02,4.9799480621e-04
5.1144000000e-02,4.9675847549e-04
5.2144000000e-02,4.9751470215e-04
5.3144000000e-02,4.9689122534e-04
5.4144000000e-02,4.9773800129e-04
5.5144000000e-02,4.9780592235e-04
5.6144000000e-02,4.9804781156e-04
5.7144000000e-02,4.9648268032e-04
5.8144000000e-02,4.9827005569e-04
5.9144000000e-02,4.9788512115e-04
6.0144000000e-02,4.9783167924e-04
6.1144000000e-02,4.9779508117e-04
6.2144000000e-02,4.9795158702e-04
6.3144000000e-02,4.9699166993e-04
6.4144000000e-02,4.9805090384e-04
6.5144000000e-02,4.9856836995e-04
6.6144000000e-02,4.9665075494e-04
6.7144000000e-02,4.9584938097e-04
6.8144000000e-02,4.9732385378e-04
6.9144000000e-02,5.0650909543e-04
7.0144000000e-02,4.9619819038e-04
7.1144000000e-02,4.9778791436e-04
7.2144000000e-02,4.9826136092e-04
