# Saved on 2025-07-12T18:02:39.230801
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0006
#   max_gtarget: 0.0008
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,5.6867131207e-04,6.9265850470e-04
1.1440000000e-03,5.6902932556e-04,6.9259484007e-04
2.1440000000e-03,5.6871103880e-04,6.9336259912e-04
3.1440000000e-03,5.6903783843e-04,6.9258530857e-04
4.1440000000e-03,5.6883542129e-04,6.9258836447e-04
5.1440000000e-03,5.6865912484e-04,6.9318361057e-04
6.1440000000e-03,5.6873665017e-04,6.9248235377e-04
7.1440000000e-03,5.6874538132e-04,6.9286281359e-04
8.1440000000e-03,5.6911801948e-04,6.9303263444e-04
9.1440000000e-03,5.6904191297e-04,6.9310168328e-04
1.0144000000e-02,5.6949320424e-04,6.9329391408e-04
1.1144000000e-02,5.6921562646e-04,6.9324909418e-04
1.2144000000e-02,5.6866068917e-04,6.9372341386e-04
1.3144000000e-02,5.6837092416e-04,6.9270157837e-04
1.4144000000e-02,5.6849632529e-04,6.9325935328e-04
1.5144000000e-02,5.6828164816e-04,6.9325091317e-04
1.6144000000e-02,5.6794378906e-04,6.9263347541e-04
1.7144000000e-02,5.6861728808e-04,6.9377892942e-04
1.8144000000e-02,5.6855100411e-04,6.9329682447e-04
1.9144000000e-02,5.6852706621e-04,6.9327710662e-04
2.0144000000e-02,5.6905202655e-04,6.9301015174e-04
2.1144000000e-02,5.6838507589e-04,6.9306479418e-04
2.2144000000e-02,5.6858887547e-04,6.9333771535e-04
2.3144000000e-02,5.6860404584e-04,6.9308531238e-04
2.4144000000e-02,5.6842211052e-04,6.9264315243e-04
2.5144000000e-02,5.6842978665e-04,6.9300658652e-04
2.6144000000e-02,5.6891880376e-04,6.9306799560e-04
2.7144000000e-02,5.6887492974e-04,6.9297449954e-04
2.8144000000e-02,5.7173332607e-04,6.9266614446e-04
2.9144000000e-02,5.7119301346e-04,6.9268520747e-04
3.0144000000e-02,5.6866520026e-04,6.9217981945e-04
3.1144000000e-02,5.6824443163e-04,6.9247216743e-04
3.2144000000e-02,5.6876473536e-04,6.9226887717e-04
3.3144000000e-02,5.6849050452e-04,6.9254427217e-04
3.4144000000e-02,5.6853372371e-04,6.9285786594e-04
3.5144000000e-02,5.7173860114e-04,6.9272457040e-04
3.6144000000e-02,5.7994664530e-04,6.9325542427e-04
3.7144000000e-02,5.8014196838e-04,6.9280824391e-04
3.8144000000e-02,5.7941546402e-04,6.9249836088e-04
3.9144000000e-02,5.7924055000e-04,6.8783454481e-04
4.0144000000e-02,5.7957553508e-04,6.8768516940e-04
4.1144000000e-02,5.7183671743e-04,6.8771623774e-04
4.2144000000e-02,5.7950837800e-04,6.8773362727e-04
4.3144000000e-02,5.7970970374e-04,6.8806773925e-04
4.4144000000e-02,5.7942288549e-04,6.8808796641e-04
4.5144000000e-02,5.8024037571e-04,6.8820598244e-04
4.6144000000e-02,5.7972385548e-04,6.8788838689e-04
4.7144000000e-02,5.8030513173e-04,6.8796740379e-04
4.8144000000e-02,5.7925222791e-04,6.8834917329e-04
