# Saved on 2025-07-12T17:53:20.588256
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.2
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,4.8881807743e-04
1.0001440000e+00,4.9885558838e-04
2.0001440000e+00,4.9714391935e-04
3.0001440000e+00,4.9552709243e-04
4.0001440000e+00,4.9237296480e-04
5.0001440000e+00,4.8014127970e-04
6.0001440000e+00,5.0428636314e-04
7.0001440000e+00,4.6564775403e-04
8.0001440000e+00,4.5820474043e-04
9.0001440000e+00,4.5739474444e-04
1.0000144000e+01,4.5785676775e-04
1.1000144000e+01,4.5649823733e-04
1.2000144000e+01,4.5698536269e-04
1.3000144000e+01,4.5556633268e-04
1.4000144000e+01,4.5612618123e-04
1.5000144000e+01,4.5066310122e-04
1.6000144000e+01,4.4978412916e-04
1.7000144000e+01,4.5796270570e-04
1.8000144000e+01,4.5825305278e-04
1.9000144000e+01,4.4903474191e-04
2.0000144000e+01,4.6699431550e-04
2.1000144000e+01,4.7268647904e-04
2.2000144000e+01,4.8463465646e-04
2.3000144000e+01,4.7315785196e-04
2.4000144000e+01,4.7396726586e-04
2.5000144000e+01,4.7338588047e-04
2.6000144000e+01,4.7720939619e-04
2.7000144000e+01,4.7529465519e-04
2.8000144000e+01,4.7359786549e-04
2.9000144000e+01,4.7703153541e-04
3.0000144000e+01,4.8023703130e-04
3.1000144000e+01,4.8121430154e-04
3.2000144000e+01,4.7192730563e-04
3.3000144000e+01,4.6899651352e-04
3.4000144000e+01,4.7359280870e-04
3.5000144000e+01,4.5439188398e-04
3.6000144000e+01,4.5987002522e-04
3.7000144000e+01,4.5411681640e-04
3.8000144000e+01,4.5297303586e-04
3.9000144000e+01,4.5146567572e-04
4.0000144000e+01,4.4791053369e-04
4.1000144000e+01,4.5151402446e-04
4.2000144000e+01,4.5632645197e-04
4.3000144000e+01,4.6069701057e-04
4.4000144000e+01,4.5519183914e-04
4.5000144000e+01,4.5083317673e-04
4.6000144000e+01,4.5307104301e-04
4.7000144000e+01,4.5530825446e-04
4.8000144000e+01,4.6111312258e-04
4.9000144000e+01,4.5474607759e-04
5.0000144000e+01,4.5660373871e-04
5.1000144000e+01,4.5488348405e-04
5.2000144000e+01,4.5960790885e-04
5.3000144000e+01,4.5695920562e-04
5.4000144000e+01,4.6070723329e-04
5.5000144000e+01,4.5801079978e-04
5.6000144000e+01,4.5911860070e-04
5.7000144000e+01,4.6137607569e-04
5.8000144000e+01,4.6118399041e-04
5.9000144000e+01,4.6008437494e-04
6.0000144000e+01,4.6004610340e-04
6.1000144000e+01,4.6214387112e-04
6.2000144000e+01,4.5904984290e-04
6.3000144000e+01,4.6068962547e-04
6.4000144000e+01,4.5887816668e-04
6.5000144000e+01,4.5765762479e-04
6.6000144000e+01,4.5979104470e-04
6.7000144000e+01,4.5546708861e-04
6.8000144000e+01,4.5812132157e-04
6.9000144000e+01,4.6003711759e-04
7.0000144000e+01,4.6107987146e-04
7.1000144000e+01,4.6258955990e-04
7.2000144000e+01,4.6392458898e-04
7.3000144000e+01,4.6780241973e-04
7.4000144000e+01,4.6906563512e-04
7.5000144000e+01,4.6760833357e-04
7.6000144000e+01,4.6802742872e-04
7.7000144000e+01,4.6839533752e-04
7.8000144000e+01,4.7044952225e-04
7.9000144000e+01,4.6745382861e-04
8.0000144000e+01,4.6864723117e-04
8.1000144000e+01,4.6924586059e-04
8.2000144000e+01,4.6966611990e-04
8.3000144000e+01,4.7018445912e-04
8.4000144000e+01,4.7098321375e-04
8.5000144000e+01,4.7164550779e-04
8.6000144000e+01,4.7228975745e-04
8.7000144000e+01,4.7304234613e-04
8.8000144000e+01,4.7046723921e-04
8.9000144000e+01,4.6844808821e-04
9.0000144000e+01,4.6787910833e-04
9.1000144000e+01,4.6736258810e-04
9.2000144000e+01,4.6937017032e-04
9.3000144000e+01,4.5979664719e-04
9.4000144000e+01,4.5685639634e-04
9.5000144000e+01,4.5888988097e-04
9.6000144000e+01,4.5972705266e-04
9.7000144000e+01,4.5949378546e-04
9.8000144000e+01,4.6054243285e-04
9.9000144000e+01,4.6255099733e-04
1.0000014400e+02,4.6029206715e-04
1.0100014400e+02,4.5791064622e-04
1.0200014400e+02,4.5991087973e-04
1.0300014400e+02,4.6457811550e-04
1.0400014400e+02,4.6421831939e-04
1.0500014400e+02,4.6215856855e-04
1.0600014400e+02,4.6307064622e-04
1.0700014400e+02,4.3045762141e-04
1.0800014400e+02,4.2862495320e-04
1.0900014400e+02,4.2846182623e-04
1.1000014400e+02,4.2792944441e-04
1.1100014400e+02,4.3152424041e-04
1.1200014400e+02,4.3294687202e-04
1.1300014400e+02,4.3420241127e-04
1.1400014400e+02,4.3049472879e-04
1.1500014400e+02,4.2975723773e-04
1.1600014400e+02,4.3049025408e-04
1.1700014400e+02,4.3169595301e-04
1.1800014400e+02,4.2884512368e-04
1.1900014400e+02,4.2924253648e-04
1.2000014400e+02,4.2945568566e-04
1.2100014400e+02,4.3041269237e-04
1.2200014400e+02,4.2791332817e-04
1.2300014400e+02,4.2685413064e-04
1.2400014400e+02,4.3006581109e-04
1.2500014400e+02,4.2845098505e-04
1.2600014400e+02,4.2947671318e-04
1.2700014400e+02,4.3147621909e-04
1.2800014400e+02,4.3436652049e-04
1.2900014400e+02,4.3141251808e-04
1.3000014400e+02,4.3389041821e-04
1.3100014400e+02,4.3025800551e-04
1.3200014400e+02,4.3317908421e-04
1.3300014400e+02,4.3460007873e-04
1.3400014400e+02,4.3250802264e-04
1.3500014400e+02,4.3623200327e-04
1.3600014400e+02,4.3421041482e-04
1.3700014400e+02,4.3557756726e-04
1.3800014400e+02,4.3249285227e-04
1.3900014400e+02,4.3354877562e-04
1.4000014400e+02,4.3372245273e-04
1.4100014400e+02,4.3557625759e-04
1.4200014400e+02,4.3504773203e-04
1.4300014400e+02,4.3838757847e-04
1.4400014400e+02,4.3693889893e-04
1.4500014400e+02,4.3655334593e-04
1.4600014400e+02,4.3658001232e-04
1.4700014400e+02,4.3815987738e-04
1.4800014400e+02,4.3694566557e-04
1.4900014400e+02,4.3750733312e-04
1.5000014400e+02,4.3483029003e-04
1.5100014400e+02,4.3647727580e-04
1.5200014400e+02,4.3777592509e-04
1.5300014400e+02,4.3700209062e-04
1.5400014400e+02,4.3568648834e-04
1.5500014400e+02,4.3671527237e-04
1.5600014400e+02,4.3835967517e-04
1.5700014400e+02,4.3669235311e-04
1.5800014400e+02,4.3686210120e-04
1.5900014400e+02,4.3915752030e-04
1.6000014400e+02,4.3690186430e-04
1.6100014400e+02,4.3677799113e-04
1.6200014400e+02,4.3660897063e-04
1.6300014400e+02,4.4666183385e-04
1.6400014400e+02,4.3982785428e-04
1.6500014400e+02,4.4258460548e-04
1.6600014400e+02,4.3993775762e-04
1.6700014400e+02,4.3948009989e-04
1.6800014400e+02,4.4067659474e-04
1.6900014400e+02,4.4166434236e-04
1.7000014400e+02,4.4219843403e-04
1.7100014400e+02,4.4079453801e-04
1.7200014400e+02,4.4009855628e-04
1.7300014400e+02,4.4508949941e-04
1.7400014400e+02,4.3994194129e-04
1.7500014400e+02,4.3252246542e-04
1.7600014400e+02,4.3194133468e-04
1.7700014400e+02,4.3289546738e-04
1.7800014400e+02,4.3541793275e-04
