# Saved on 2025-07-12T18:02:39.267316
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0006
#   max_gtarget: 0.0008
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,5.8548554080e-04,6.8910056143e-04
1.0001440000e+00,5.7883109548e-04,6.8263929279e-04
2.0001440000e+00,5.8864789025e-04,6.8407338404e-04
3.0001440000e+00,5.9300313296e-04,6.7992223194e-04
4.0001440000e+00,6.0664930061e-04,6.7640670750e-04
5.0001440000e+00,6.1371501943e-04,6.7641754868e-04
6.0001440000e+00,6.0641108576e-04,6.7670975113e-04
7.0001440000e+00,6.0571859649e-04,6.7502325692e-04
8.0001440000e+00,5.9661084379e-04,6.7366978328e-04
9.0001440000e+00,5.9392277763e-04,6.7390705226e-04
1.0000144000e+01,5.8665875258e-04,6.7521243182e-04
1.1000144000e+01,5.9124100517e-04,6.8030363764e-04
1.2000144000e+01,5.8764399000e-04,6.7555767600e-04
1.3000144000e+01,5.9041860368e-04,6.7764878622e-04
1.4000144000e+01,5.8324869315e-04,6.7674634920e-04
1.5000144000e+01,5.9672634961e-04,6.7672895966e-04
1.6000144000e+01,5.9438592871e-04,6.7641267378e-04
1.7000144000e+01,5.9645961301e-04,6.7763321567e-04
1.8000144000e+01,5.9733691160e-04,6.7741108069e-04
1.9000144000e+01,5.9787606006e-04,6.7589884566e-04
2.0000144000e+01,5.9334717662e-04,6.7575529101e-04
2.1000144000e+01,5.9462952777e-04,6.7812281486e-04
2.2000144000e+01,5.9431895352e-04,6.7621716880e-04
2.3000144000e+01,5.9222809796e-04,6.7642547947e-04
2.4000144000e+01,5.9146230342e-04,6.7532608227e-04
2.5000144000e+01,5.9226691519e-04,6.7603665229e-04
2.6000144000e+01,5.9183483245e-04,6.7537301220e-04
2.7000144000e+01,5.9203404817e-04,6.7603141360e-04
2.8000144000e+01,5.8768582676e-04,6.7252221925e-04
2.9000144000e+01,5.9088706621e-04,6.7285189289e-04
3.0000144000e+01,5.9470567066e-04,6.7508590291e-04
3.1000144000e+01,5.8888843341e-04,6.7275912443e-04
3.2000144000e+01,5.8085279306e-04,6.7463573941e-04
3.3000144000e+01,5.8270539739e-04,6.7623186624e-04
3.4000144000e+01,5.8457215346e-04,6.6836342739e-04
3.5000144000e+01,5.8699632064e-04,6.6950902692e-04
3.6000144000e+01,5.8200468629e-04,6.6789791163e-04
3.7000144000e+01,5.8165245719e-04,6.6721899202e-04
3.8000144000e+01,5.8255904150e-04,6.6584965680e-04
3.9000144000e+01,5.8612538851e-04,6.6629967478e-04
4.0000144000e+01,5.8425979660e-04,6.6891800088e-04
4.1000144000e+01,5.8679797803e-04,6.6848231654e-04
4.2000144000e+01,5.8594629081e-04,6.6844295361e-04
4.3000144000e+01,5.8370831539e-04,6.6775799496e-04
4.4000144000e+01,5.8767331211e-04,6.7406646849e-04
4.5000144000e+01,5.9352514654e-04,6.7343891715e-04
4.6000144000e+01,5.9696212702e-04,6.7696717451e-04
4.7000144000e+01,5.9882182541e-04,6.8004817876e-04
4.8000144000e+01,5.9552170569e-04,6.5915715822e-04
