# Saved on 2025-07-12T18:15:44.585333
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -1.2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,6.8787630880e-04,8.0106052337e-04
1.1440000000e-03,6.8836445280e-04,8.0057368905e-04
2.1440000000e-03,6.8749577622e-04,8.0218196672e-04
3.1440000000e-03,6.8781351729e-04,8.0120124039e-04
4.1440000000e-03,6.8451307015e-04,8.0160505604e-04
5.1440000000e-03,6.8679604738e-04,8.0116398749e-04
6.1440000000e-03,6.8651010224e-04,8.0067547970e-04
7.1440000000e-03,6.8787892815e-04,8.0095145677e-04
8.1440000000e-03,6.8585730332e-04,8.0116493336e-04
9.1440000000e-03,6.8747402111e-04,8.0057448940e-04
1.0144000000e-02,6.8784123869e-04,8.0097124737e-04
1.1144000000e-02,6.9256697316e-04,8.0169666035e-04
1.2144000000e-02,6.8068729888e-04,8.0113728472e-04
1.3144000000e-02,6.8256304075e-04,8.0170029833e-04
1.4144000000e-02,6.8223809649e-04,8.0224883277e-04
1.5144000000e-02,6.8093460868e-04,8.0278601672e-04
1.6144000000e-02,6.8143934186e-04,8.0311991042e-04
1.7144000000e-02,6.8094966991e-04,8.0435740529e-04
1.8144000000e-02,6.8215493229e-04,8.0303827417e-04
1.9144000000e-02,6.8208137236e-04,8.0426550994e-04
2.0144000000e-02,6.8259301770e-04,8.0383098975e-04
2.1144000000e-02,6.8263929279e-04,8.0402482126e-04
2.2144000000e-02,6.8364628532e-04,8.0431476817e-04
2.3144000000e-02,6.8323177402e-04,8.0435311247e-04
2.4144000000e-02,6.8238048698e-04,8.0454250565e-04
2.5144000000e-02,6.8228968303e-04,8.0341567809e-04
2.6144000000e-02,6.9137066021e-04,8.0381483713e-04
2.7144000000e-02,6.9119647378e-04,8.0357916886e-04
2.8144000000e-02,6.9232744863e-04,8.0347359471e-04
2.9144000000e-02,6.8290544732e-04,8.0378631537e-04
3.0144000000e-02,6.8283574365e-04,8.0310521298e-04
3.1144000000e-02,6.8271925556e-04,8.0356854596e-04
3.2144000000e-02,6.9149835326e-04,8.0482757767e-04
3.3144000000e-02,6.8123488745e-04,8.0521851487e-04
3.4144000000e-02,6.8155277404e-04,8.0445111962e-04
3.5144000000e-02,6.8232024205e-04,8.0472847912e-04
3.6144000000e-02,6.8189183366e-04,8.0449171946e-04
3.7144000000e-02,6.8266264861e-04,8.0383710156e-04
3.8144000000e-02,6.8243956775e-04,8.0445010099e-04
3.9144000000e-02,6.8155466579e-04,8.0382276792e-04
4.0144000000e-02,6.8114015448e-04,8.0366102338e-04
4.1144000000e-02,6.7997192673e-04,8.0294325016e-04
4.2144000000e-02,6.8204746640e-04,8.0294143117e-04
4.3144000000e-02,6.8310226197e-04,8.0276877270e-04
4.4144000000e-02,6.8260647822e-04,8.0324607552e-04
4.5144000000e-02,6.8369336077e-04,8.0271776824e-04
4.6144000000e-02,6.8250083132e-04,8.0271587649e-04
4.7144000000e-02,6.8388129876e-04,8.0226134742e-04
4.8144000000e-02,6.8295201345e-04,8.0285957665e-04
