# Saved on 2025-07-12T18:15:44.599335
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.9
#   v_rst: -1.2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,6.9371038990e-04,7.8664270404e-04
1.0001440000e+00,6.9464796979e-04,7.9435834778e-04
2.0001440000e+00,6.8494446168e-04,7.9095254478e-04
3.0001440000e+00,6.8210931204e-04,7.9733516031e-04
4.0001440000e+00,6.8551242293e-04,7.8928162111e-04
5.0001440000e+00,6.7442953878e-04,7.7147211414e-04
6.0001440000e+00,6.8538683990e-04,7.7497861639e-04
7.0001440000e+00,6.7395827500e-04,7.7723329014e-04
8.0001440000e+00,6.8022949563e-04,7.7748285548e-04
9.0001440000e+00,6.7509579821e-04,7.8201519500e-04
1.0000144000e+01,6.8016161094e-04,7.7284705185e-04
1.1000144000e+01,6.8108231062e-04,7.7854630945e-04
1.2000144000e+01,6.8497960456e-04,7.7572032751e-04
1.3000144000e+01,6.8350404035e-04,7.7156473708e-04
1.4000144000e+01,6.7885266617e-04,7.7077544120e-04
1.5000144000e+01,6.7743138061e-04,7.6975979027e-04
1.6000144000e+01,6.7639884946e-04,7.6976146374e-04
1.7000144000e+01,6.7594832217e-04,7.7074779256e-04
1.8000144000e+01,6.8776556873e-04,7.7035554568e-04
1.9000144000e+01,6.8113746238e-04,7.7356315160e-04
2.0000144000e+01,6.7676344770e-04,7.4824536568e-04
2.1000144000e+01,6.7633896833e-04,7.6632706623e-04
2.2000144000e+01,6.7559019953e-04,7.6809817983e-04
2.3000144000e+01,6.7792716436e-04,7.6855525549e-04
2.4000144000e+01,6.6653039539e-04,7.6664677181e-04
2.5000144000e+01,6.6962667916e-04,7.6661111962e-04
2.6000144000e+01,6.6877175414e-04,7.6646283560e-04
2.7000144000e+01,6.7915214458e-04,7.6965530752e-04
2.8000144000e+01,6.7592773121e-04,7.6980977610e-04
2.9000144000e+01,6.7397435487e-04,7.6618161984e-04
3.0000144000e+01,6.8106674007e-04,7.6877251558e-04
3.1000144000e+01,6.7794520874e-04,7.7419390436e-04
3.2000144000e+01,6.8297289545e-04,7.7517222962e-04
3.3000144000e+01,6.8688750616e-04,7.7601369412e-04
3.4000144000e+01,6.8023138738e-04,7.7556207543e-04
3.5000144000e+01,6.8134053436e-04,7.7362143202e-04
3.6000144000e+01,6.8148401624e-04,7.7289209003e-04
3.7000144000e+01,6.8076995376e-04,7.7411081293e-04
3.8000144000e+01,6.8079149059e-04,7.7578624769e-04
3.9000144000e+01,6.8178647780e-04,7.7545621025e-04
4.0000144000e+01,6.8008295784e-04,7.7532837167e-04
4.1000144000e+01,6.7956068960e-04,7.7259901445e-04
4.2000144000e+01,6.7951965320e-04,7.7449796663e-04
4.3000144000e+01,6.8203276896e-04,7.7110635175e-04
4.4000144000e+01,6.8091823778e-04,7.6451440691e-04
4.5000144000e+01,6.8219800596e-04,7.6401971455e-04
4.6000144000e+01,6.7912849772e-04,7.6381933468e-04
4.7000144000e+01,6.8950954301e-04,7.5879135693e-04
4.8000144000e+01,6.8383807957e-04,7.5712530816e-04
4.9000144000e+01,6.8133565946e-04,7.5526790170e-04
5.0000144000e+01,6.8189598096e-04,7.6003088907e-04
5.1000144000e+01,6.8157489295e-04,7.5697287684e-04
5.2000144000e+01,6.8146931881e-04,7.5842006481e-04
5.3000144000e+01,6.8426947109e-04,7.5810945418e-04
5.4000144000e+01,6.8168192229e-04,7.5647061749e-04
5.5000144000e+01,6.8215602369e-04,7.5809257396e-04
5.6000144000e+01,6.8643392297e-04,7.5261807069e-04
5.7000144000e+01,6.8387700594e-04,7.5174837548e-04
