# Saved on 2025-07-12T17:48:10.909541
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 2
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,6.2458000000e-10,0.0000000000e+00
-2.0000000000e-02,4.2276000000e-06,0.0000000000e+00
-4.0000000000e-02,8.4998000000e-06,0.0000000000e+00
-6.0000000000e-02,1.2822000000e-05,0.0000000000e+00
-8.0000000000e-02,1.7302000000e-05,0.0000000000e+00
-1.0000000000e-01,2.1694000000e-05,0.0000000000e+00
-1.2000000000e-01,2.6496000000e-05,0.0000000000e+00
-1.4000000000e-01,3.1314000000e-05,0.0000000000e+00
-1.6000000000e-01,3.6344000000e-05,0.0000000000e+00
-1.8000000000e-01,4.1672000000e-05,0.0000000000e+00
-2.0000000000e-01,4.7058000000e-05,0.0000000000e+00
-2.2000000000e-01,5.2698000000e-05,0.0000000000e+00
-2.4000000000e-01,5.8568000000e-05,0.0000000000e+00
-2.6000000000e-01,6.4686000000e-05,0.0000000000e+00
-2.8000000000e-01,7.1252000000e-05,0.0000000000e+00
-3.0000000000e-01,7.8032000000e-05,0.0000000000e+00
-3.2000000000e-01,8.4790000000e-05,0.0000000000e+00
-3.4000000000e-01,9.2558000000e-05,0.0000000000e+00
-3.6000000000e-01,1.0158000000e-04,0.0000000000e+00
-3.8000000000e-01,1.0972000000e-04,0.0000000000e+00
-4.0000000000e-01,1.1816000000e-04,0.0000000000e+00
-4.2000000000e-01,1.2672000000e-04,0.0000000000e+00
-4.4000000000e-01,1.3544000000e-04,0.0000000000e+00
-4.6000000000e-01,1.4536000000e-04,0.0000000000e+00
-4.8000000000e-01,1.5182000000e-04,0.0000000000e+00
-5.0000000000e-01,1.6774000000e-04,0.0000000000e+00
-5.2000000000e-01,1.7746000000e-04,0.0000000000e+00
-5.4000000000e-01,1.9200000000e-04,0.0000000000e+00
-5.6000000000e-01,2.0062000000e-04,0.0000000000e+00
-5.8000000000e-01,2.0910000000e-04,0.0000000000e+00
-6.0000000000e-01,2.2600000000e-04,0.0000000000e+00
-6.2000000000e-01,2.3548000000e-04,0.0000000000e+00
-6.4000000000e-01,2.5040000000e-04,0.0000000000e+00
-6.6000000000e-01,2.6282000000e-04,0.0000000000e+00
-6.8000000000e-01,2.7882000000e-04,0.0000000000e+00
-7.0000000000e-01,2.9298000000e-04,0.0000000000e+00
-7.2000000000e-01,3.0642000000e-04,0.0000000000e+00
-7.4000000000e-01,3.2234000000e-04,0.0000000000e+00
-7.6000000000e-01,3.3656000000e-04,0.0000000000e+00
-7.8000000000e-01,3.5248000000e-04,0.0000000000e+00
-8.0000000000e-01,3.7174000000e-04,0.0000000000e+00
-8.2000000000e-01,3.8932000000e-04,0.0000000000e+00
-8.4000000000e-01,4.0442000000e-04,0.0000000000e+00
-8.6000000000e-01,4.2308000000e-04,0.0000000000e+00
-8.8000000000e-01,4.4204000000e-04,0.0000000000e+00
-9.0000000000e-01,4.6334000000e-04,0.0000000000e+00
-9.2000000000e-01,5.1334000000e-04,0.0000000000e+00
