# Saved on 2025-07-12T17:43:45.659681
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,2.0709000000e-08,1.1920000000e-08
-2.0000000000e-02,2.0692000000e-05,1.8992000000e-05
-4.0000000000e-02,4.1412000000e-05,3.8094000000e-05
-6.0000000000e-02,6.2286000000e-05,5.7284000000e-05
-8.0000000000e-02,8.3452000000e-05,7.6600000000e-05
-1.0000000000e-01,1.0486000000e-04,9.6190000000e-05
-1.2000000000e-01,1.2654000000e-04,1.1620000000e-04
-1.4000000000e-01,1.4850000000e-04,1.3628000000e-04
-1.6000000000e-01,1.7088000000e-04,1.5676000000e-04
-1.8000000000e-01,1.9366000000e-04,1.7746000000e-04
-2.0000000000e-01,2.1688000000e-04,1.9854000000e-04
-2.2000000000e-01,2.4054000000e-04,2.2004000000e-04
-2.4000000000e-01,2.6460000000e-04,2.4172000000e-04
-2.6000000000e-01,2.8916000000e-04,2.6404000000e-04
-2.8000000000e-01,3.1428000000e-04,2.8698000000e-04
-3.0000000000e-01,3.3964000000e-04,3.0996000000e-04
-3.2000000000e-01,3.6586000000e-04,3.3350000000e-04
-3.4000000000e-01,3.9222000000e-04,3.5726000000e-04
-3.6000000000e-01,4.1894000000e-04,3.8144000000e-04
-3.8000000000e-01,4.4646000000e-04,4.0614000000e-04
-4.0000000000e-01,4.7412000000e-04,4.3134000000e-04
-4.2000000000e-01,5.0212000000e-04,4.5688000000e-04
-4.4000000000e-01,5.3090000000e-04,4.8278000000e-04
-4.6000000000e-01,5.5988000000e-04,5.0914000000e-04
-4.8000000000e-01,5.8910000000e-04,5.3588000000e-04
-5.0000000000e-01,6.1924000000e-04,5.6274000000e-04
-5.2000000000e-01,6.4924000000e-04,5.9022000000e-04
-5.4000000000e-01,6.7928000000e-04,6.1796000000e-04
-5.6000000000e-01,7.1018000000e-04,6.4616000000e-04
-5.8000000000e-01,7.4150000000e-04,6.7508000000e-04
-6.0000000000e-01,7.7270000000e-04,7.0364000000e-04
-6.2000000000e-01,8.0456000000e-04,7.3254000000e-04
-6.4000000000e-01,8.3644000000e-04,7.6188000000e-04
-6.6000000000e-01,8.6892000000e-04,7.9146000000e-04
-6.8000000000e-01,9.0098000000e-04,8.2112000000e-04
-7.0000000000e-01,9.3334000000e-04,8.5146000000e-04
-7.2000000000e-01,9.6712000000e-04,8.8242000000e-04
-7.4000000000e-01,1.0002600000e-03,9.1350000000e-04
-7.6000000000e-01,1.0336000000e-03,9.4426000000e-04
-7.8000000000e-01,1.0670000000e-03,9.7556000000e-04
-8.0000000000e-01,1.1016000000e-03,1.0070000000e-03
-8.2000000000e-01,1.1356000000e-03,1.0390000000e-03
-8.4000000000e-01,1.1702000000e-03,1.0714000000e-03
-8.6000000000e-01,1.2048000000e-03,1.1040000000e-03
-8.8000000000e-01,1.2400000000e-03,1.1362000000e-03
-9.0000000000e-01,1.2746000000e-03,1.1688000000e-03
-9.2000000000e-01,1.3106000000e-03,1.2018000000e-03
-9.4000000000e-01,1.3452000000e-03,1.2348000000e-03
-9.6000000000e-01,1.3808000000e-03,1.2678000000e-03
-9.8000000000e-01,1.4166000000e-03,1.3016000000e-03
-1.0000000000e+00,1.4534000000e-03,1.3358000000e-03
-1.0200000000e+00,1.4896000000e-03,1.3696000000e-03
-1.0400000000e+00,1.5270000000e-03,1.4044000000e-03
-1.0600000000e+00,1.5624000000e-03,1.4384000000e-03
-1.0800000000e+00,1.5988000000e-03,1.4734000000e-03
-1.1000000000e+00,1.6368000000e-03,1.5092000000e-03
-1.1200000000e+00,1.6730000000e-03,1.5438000000e-03
-1.1400000000e+00,1.7106000000e-03,1.5806000000e-03
-1.1600000000e+00,1.7482000000e-03,1.6174000000e-03
-1.1800000000e+00,1.7860000000e-03,1.6546000000e-03
-1.2000000000e+00,1.8238000000e-03,1.6904000000e-03
-1.2200000000e+00,1.8618000000e-03,1.7260000000e-03
-1.2400000000e+00,1.8996000000e-03,1.7654000000e-03
-1.2600000000e+00,1.9380000000e-03,1.7990000000e-03
-1.2800000000e+00,1.9768000000e-03,1.8370000000e-03
-1.3000000000e+00,2.0146000000e-03,1.8764000000e-03
-1.3200000000e+00,2.0550000000e-03,1.9162000000e-03
-1.3400000000e+00,2.0936000000e-03,1.9524000000e-03
-1.3600000000e+00,2.1314000000e-03,1.9906000000e-03
-1.3800000000e+00,2.1708000000e-03,2.0276000000e-03
-1.4000000000e+00,2.2120000000e-03,2.0696000000e-03
-1.4200000000e+00,2.2506000000e-03,2.1094000000e-03
-1.4400000000e+00,2.2892000000e-03,2.1484000000e-03
-1.4600000000e+00,2.3304000000e-03,2.1894000000e-03
-1.4800000000e+00,2.3718000000e-03,2.2326000000e-03
-1.5000000000e+00,2.4130000000e-03,2.2702000000e-03
-1.5200000000e+00,2.4542000000e-03,2.3134000000e-03
-1.5400000000e+00,2.4958000000e-03,2.3522000000e-03
-1.5600000000e+00,2.5362000000e-03,2.3966000000e-03
-1.5800000000e+00,2.5782000000e-03,2.4342000000e-03
-1.6000000000e+00,2.6186000000e-03,2.4798000000e-03
-1.6200000000e+00,2.6600000000e-03,2.5208000000e-03
-1.6400000000e+00,2.7028000000e-03,2.5624000000e-03
-1.6600000000e+00,2.7434000000e-03,2.6104000000e-03
-1.6800000000e+00,2.7866000000e-03,2.6498000000e-03
-1.7000000000e+00,2.8310000000e-03,2.6912000000e-03
-1.7200000000e+00,2.8756000000e-03,2.7358000000e-03
-1.7400000000e+00,2.9188000000e-03,2.7778000000e-03
-1.7600000000e+00,2.9626000000e-03,2.8232000000e-03
-1.7800000000e+00,3.0056000000e-03,2.8708000000e-03
-1.8000000000e+00,3.0496000000e-03,2.9146000000e-03
-1.8200000000e+00,3.0906000000e-03,2.9618000000e-03
-1.8400000000e+00,3.1384000000e-03,3.0134000000e-03
-1.8600000000e+00,3.1842000000e-03,3.0642000000e-03
-1.8800000000e+00,3.2364000000e-03,3.1068000000e-03
-1.9000000000e+00,3.2792000000e-03,3.1624000000e-03
-1.9200000000e+00,3.3340000000e-03,3.2172000000e-03
-1.9400000000e+00,3.3856000000e-03,3.2712000000e-03
-1.9600000000e+00,3.4374000000e-03,3.3352000000e-03
-1.9800000000e+00,3.4958000000e-03,3.3862000000e-03
-2.0000000000e+00,3.5512000000e-03,3.4586000000e-03
-2.0000000000e+00,3.5572000000e-03,3.4840000000e-03
-1.9800000000e+00,3.5220000000e-03,3.4572000000e-03
-1.9600000000e+00,3.4842000000e-03,3.4328000000e-03
-1.9400000000e+00,3.4494000000e-03,3.3980000000e-03
-1.9200000000e+00,3.4050000000e-03,3.3628000000e-03
-1.9000000000e+00,3.3586000000e-03,3.3220000000e-03
-1.8800000000e+00,3.3098000000e-03,3.2814000000e-03
-1.8600000000e+00,3.2602000000e-03,3.2374000000e-03
-1.8400000000e+00,3.2042000000e-03,3.1890000000e-03
-1.8200000000e+00,3.1588000000e-03,3.1440000000e-03
-1.8000000000e+00,3.1142000000e-03,3.0966000000e-03
-1.7800000000e+00,3.0570000000e-03,3.0478000000e-03
-1.7600000000e+00,3.0084000000e-03,2.9982000000e-03
-1.7400000000e+00,2.9502000000e-03,2.9454000000e-03
-1.7200000000e+00,2.8988000000e-03,2.8886000000e-03
-1.7000000000e+00,2.8470000000e-03,2.8392000000e-03
-1.6800000000e+00,2.7976000000e-03,2.7878000000e-03
-1.6600000000e+00,2.7482000000e-03,2.7390000000e-03
-1.6400000000e+00,2.6926000000e-03,2.6886000000e-03
-1.6200000000e+00,2.6526000000e-03,2.6444000000e-03
-1.6000000000e+00,2.5990000000e-03,2.5958000000e-03
-1.5800000000e+00,2.5484000000e-03,2.5450000000e-03
-1.5600000000e+00,2.4992000000e-03,2.4948000000e-03
-1.5400000000e+00,2.4562000000e-03,2.4434000000e-03
-1.5200000000e+00,2.4072000000e-03,2.3956000000e-03
-1.5000000000e+00,2.3610000000e-03,2.3504000000e-03
-1.4800000000e+00,2.3144000000e-03,2.3024000000e-03
-1.4600000000e+00,2.2626000000e-03,2.2536000000e-03
-1.4400000000e+00,2.2158000000e-03,2.2018000000e-03
-1.4200000000e+00,2.1712000000e-03,2.1530000000e-03
-1.4000000000e+00,2.1228000000e-03,2.1046000000e-03
-1.3800000000e+00,2.0710000000e-03,2.0680000000e-03
-1.3600000000e+00,2.0204000000e-03,2.0236000000e-03
-1.3400000000e+00,1.9734000000e-03,1.9744000000e-03
-1.3200000000e+00,1.9310000000e-03,1.9272000000e-03
-1.3000000000e+00,1.8780000000e-03,1.8804000000e-03
-1.2800000000e+00,1.8306000000e-03,1.8332000000e-03
-1.2600000000e+00,1.7868000000e-03,1.7824000000e-03
-1.2400000000e+00,1.7442000000e-03,1.7492000000e-03
-1.2200000000e+00,1.6908000000e-03,1.7014000000e-03
-1.2000000000e+00,1.6520000000e-03,1.6584000000e-03
-1.1800000000e+00,1.6070000000e-03,1.6150000000e-03
-1.1600000000e+00,1.5632000000e-03,1.5754000000e-03
-1.1400000000e+00,1.5232000000e-03,1.5352000000e-03
-1.1200000000e+00,1.4770000000e-03,1.4918000000e-03
-1.1000000000e+00,1.4278000000e-03,1.4508000000e-03
-1.0800000000e+00,1.3884000000e-03,1.4182000000e-03
-1.0600000000e+00,1.3588000000e-03,1.3792000000e-03
-1.0400000000e+00,1.3160000000e-03,1.3416000000e-03
-1.0200000000e+00,1.2776000000e-03,1.3066000000e-03
-1.0000000000e+00,1.2426000000e-03,1.2668000000e-03
-9.8000000000e-01,1.2076000000e-03,1.2302000000e-03
-9.6000000000e-01,1.1706000000e-03,1.1956000000e-03
-9.4000000000e-01,1.1360000000e-03,1.1606000000e-03
-9.2000000000e-01,1.1023000000e-03,1.1302600000e-03
-9.0000000000e-01,1.0663200000e-03,1.0888400000e-03
-8.8000000000e-01,1.0339400000e-03,1.0601400000e-03
-8.6000000000e-01,9.9792000000e-04,1.0237000000e-03
-8.4000000000e-01,9.6400000000e-04,9.9208000000e-04
-8.2000000000e-01,9.3538000000e-04,9.6020000000e-04
-8.0000000000e-01,9.0584000000e-04,9.2836000000e-04
-7.8000000000e-01,8.7822000000e-04,8.9916000000e-04
-7.6000000000e-01,8.4604000000e-04,8.7206000000e-04
-7.4000000000e-01,8.1364000000e-04,8.3956000000e-04
-7.2000000000e-01,7.8854000000e-04,8.1144000000e-04
-7.0000000000e-01,7.5962000000e-04,7.8132000000e-04
-6.8000000000e-01,7.2932000000e-04,7.5196000000e-04
-6.6000000000e-01,7.0398000000e-04,7.2418000000e-04
-6.4000000000e-01,6.7416000000e-04,6.9704000000e-04
-6.2000000000e-01,6.4380000000e-04,6.6996000000e-04
-6.0000000000e-01,6.1912000000e-04,6.4124000000e-04
-5.8000000000e-01,5.8986000000e-04,6.1464000000e-04
-5.6000000000e-01,5.6418000000e-04,5.8680000000e-04
-5.4000000000e-01,5.3792000000e-04,5.5990000000e-04
-5.2000000000e-01,5.1266000000e-04,5.3494000000e-04
-5.0000000000e-01,4.8796000000e-04,5.0946000000e-04
-4.8000000000e-01,4.6564000000e-04,4.8438000000e-04
-4.6000000000e-01,4.4162000000e-04,4.5902000000e-04
-4.4000000000e-01,4.1588000000e-04,4.3540000000e-04
-4.2000000000e-01,3.9376000000e-04,4.1154000000e-04
-4.0000000000e-01,3.7004000000e-04,3.8712000000e-04
-3.8000000000e-01,3.4702000000e-04,3.6556000000e-04
-3.6000000000e-01,3.2518000000e-04,3.4310000000e-04
-3.4000000000e-01,3.0464000000e-04,3.2072000000e-04
-3.2000000000e-01,2.8374000000e-04,2.9792000000e-04
-3.0000000000e-01,2.6322000000e-04,2.7734000000e-04
-2.8000000000e-01,2.4310000000e-04,2.5648000000e-04
-2.6000000000e-01,2.2360000000e-04,2.3600000000e-04
-2.4000000000e-01,2.0426000000e-04,2.1588000000e-04
-2.2000000000e-01,1.8546000000e-04,1.9620000000e-04
-2.0000000000e-01,1.6708000000e-04,1.7696000000e-04
