# Saved on 2025-07-12T17:44:32.270367
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TE48
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1
#   v_rst: -1
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A)
0.0000000000e+00,3.2775000000e-08,3.1444000000e-08
-2.5000000000e-02,9.1246000000e-06,2.1870000000e-05
-5.0000000000e-02,1.8448000000e-05,4.3826000000e-05
-7.5000000000e-02,2.7826000000e-05,6.5942000000e-05
-1.0000000000e-01,3.8028000000e-05,8.8764000000e-05
-1.2500000000e-01,4.8424000000e-05,1.1210000000e-04
-1.5000000000e-01,5.9292000000e-05,1.3658000000e-04
-1.7500000000e-01,7.0728000000e-05,1.6038000000e-04
-2.0000000000e-01,8.2622000000e-05,1.8540000000e-04
-2.2500000000e-01,9.5166000000e-05,2.1054000000e-04
-2.5000000000e-01,1.0836000000e-04,2.3716000000e-04
-2.7500000000e-01,1.2290000000e-04,2.6448000000e-04
-3.0000000000e-01,1.3848000000e-04,2.9224000000e-04
-3.2500000000e-01,1.5358000000e-04,3.2138000000e-04
-3.5000000000e-01,1.6954000000e-04,3.5082000000e-04
-3.7500000000e-01,1.8674000000e-04,3.8162000000e-04
-4.0000000000e-01,2.0414000000e-04,4.1190000000e-04
-4.2500000000e-01,2.2266000000e-04,4.4350000000e-04
-4.5000000000e-01,2.4850000000e-04,4.7634000000e-04
-4.7500000000e-01,2.7332000000e-04,5.1498000000e-04
-5.0000000000e-01,2.9522000000e-04,5.5222000000e-04
-5.2500000000e-01,3.1996000000e-04,5.8890000000e-04
-5.5000000000e-01,3.4460000000e-04,6.2700000000e-04
-5.7500000000e-01,3.7018000000e-04,6.6378000000e-04
-6.0000000000e-01,3.9690000000e-04,7.0178000000e-04
-6.2500000000e-01,4.2796000000e-04,7.4116000000e-04
-6.5000000000e-01,4.5496000000e-04,7.8030000000e-04
-6.7500000000e-01,4.8480000000e-04,8.2224000000e-04
-7.0000000000e-01,5.1688000000e-04,8.6254000000e-04
-7.2500000000e-01,5.4890000000e-04,9.0386000000e-04
-7.5000000000e-01,5.8078000000e-04,9.4630000000e-04
-7.7500000000e-01,6.1802000000e-04,9.9016000000e-04
-8.0000000000e-01,6.5912000000e-04,1.0364000000e-03
-8.2500000000e-01,6.9658000000e-04,1.0868000000e-03
-8.5000000000e-01,7.3276000000e-04,1.1308000000e-03
-8.7500000000e-01,7.7856000000e-04,1.1778000000e-03
-9.0000000000e-01,8.1826000000e-04,1.2250000000e-03
-9.2500000000e-01,8.6626000000e-04,1.2734000000e-03
-9.5000000000e-01,9.1128000000e-04,1.3194000000e-03
-9.7500000000e-01,9.5536000000e-04,1.3754000000e-03
-1.0000000000e+00,1.0036000000e-03,1.4202000000e-03
-1.0250000000e+00,1.0552000000e-03,1.4794000000e-03
-1.0500000000e+00,1.1090000000e-03,1.5250000000e-03
-1.0750000000e+00,1.1630000000e-03,1.5824000000e-03
-1.1000000000e+00,1.2250000000e-03,1.6324000000e-03
-1.1250000000e+00,1.2728000000e-03,1.6874000000e-03
-1.1500000000e+00,1.3300000000e-03,1.7390000000e-03
