# Saved on 2025-07-12T14:12:38.520925
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPT41
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,5.0027018005e-04,5.9331152443e-04,7.0610076364e-04,8.0349651398e-04
1.1440000000e-03,4.9822538131e-04,5.9294357925e-04,7.0623427746e-04,8.0088349932e-04
2.1440000000e-03,4.9806363677e-04,5.9296689869e-04,7.0627887908e-04,8.0337908003e-04
3.1440000000e-03,4.9826900067e-04,5.9236888774e-04,7.0608795795e-04,8.0390032963e-04
4.1440000000e-03,4.9702295655e-04,5.9228164901e-04,7.0530812081e-04,8.0345722381e-04
5.1440000000e-03,4.9732741900e-04,5.9388945374e-04,7.0642541687e-04,8.0395504483e-04
6.1440000000e-03,4.9889800721e-04,5.9305893956e-04,7.0596062869e-04,8.0083773355e-04
7.1440000000e-03,4.9866346671e-04,5.9317309933e-04,7.0664551458e-04,8.0083977082e-04
8.1440000000e-03,4.9809579650e-04,5.9341280576e-04,7.0598820457e-04,8.0056990555e-04
9.1440000000e-03,4.9988884712e-04,5.9286499891e-04,7.0667869295e-04,8.0359248386e-04
1.0144000000e-02,4.9915015552e-04,5.9287340264e-04,7.0766443969e-04,8.0330384662e-04
1.1144000000e-02,4.9915288400e-04,5.9257683461e-04,7.0630179835e-04,8.0335179518e-04
1.2144000000e-02,4.9995367590e-04,5.9240599512e-04,7.0571346441e-04,8.0064790382e-04
1.3144000000e-02,4.9803180445e-04,5.9205023717e-04,7.0552661782e-04,8.0052770500e-04
1.4144000000e-02,4.9905036576e-04,5.9303900343e-04,7.0527654316e-04,8.0056910519e-04
1.5144000000e-02,4.9832644436e-04,5.9320056607e-04,7.0608351962e-04,8.0135207099e-04
1.6144000000e-02,4.9793790822e-04,5.9342470195e-04,7.0568632509e-04,8.0333331425e-04
1.7144000000e-02,4.9899179430e-04,5.9205300204e-04,7.0609828981e-04,8.0367048213e-04
1.8144000000e-02,4.9865229812e-04,5.9193989728e-04,7.0638860052e-04,7.9989993537e-04
1.9144000000e-02,5.0079957873e-04,5.9182941186e-04,7.0599300670e-04,7.9997575085e-04
2.0144000000e-02,4.9987302191e-04,5.9270165366e-04,7.0608490205e-04,8.0367040937e-04
2.1144000000e-02,4.9898702855e-04,5.9282891016e-04,7.0697889896e-04,8.0069949036e-04
2.2144000000e-02,4.9797839893e-04,5.9283654991e-04,7.0592155680e-04,8.0368467025e-04
2.3144000000e-02,4.9725720601e-04,5.9207013692e-04,7.0639071055e-04,8.0405559856e-04
2.4144000000e-02,4.9881702580e-04,5.9256781242e-04,7.0670233981e-04,8.0336751125e-04
2.5144000000e-02,4.9902686442e-04,5.9251826315e-04,7.0764348493e-04,8.0323596194e-04
2.6144000000e-02,4.9811715144e-04,5.9276710090e-04,7.0621630584e-04,8.0360856373e-04
2.7144000000e-02,4.9828879128e-04,5.9271074861e-04,7.0638350735e-04,8.0328325566e-04
2.8144000000e-02,4.9782891438e-04,5.9260135458e-04,7.0611982665e-04,8.0260913819e-04
2.9144000000e-02,4.9638871133e-04,5.9209211031e-04,7.0690730354e-04,8.0457131844e-04
