# Saved on 2025-07-12T14:12:38.546880
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPT41
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,4.9828169722e-04,5.9379181039e-04,7.0900838182e-04,7.9287761764e-04
1.0001440000e+00,4.7666315368e-04,5.9393762058e-04,7.0565627539e-04,7.9691017163e-04
2.0001440000e+00,4.8059213441e-04,5.9474728914e-04,7.0633097494e-04,7.9374724010e-04
3.0001440000e+00,4.8056524975e-04,5.9462927311e-04,7.0531044912e-04,7.9321558587e-04
4.0001440000e+00,4.8018144298e-04,5.9392084950e-04,7.1042646596e-04,7.9592144175e-04
5.0001440000e+00,4.8013029300e-04,5.9333287936e-04,7.0500282163e-04,7.9562560131e-04
6.0001440000e+00,4.7651057685e-04,5.9223242715e-04,7.0577152655e-04,7.9679412011e-04
7.0001440000e+00,4.7586989240e-04,5.9516438341e-04,7.0720918302e-04,7.9654622823e-04
8.0001440000e+00,4.7831032134e-04,5.9607962612e-04,7.0632791903e-04,7.9587080108e-04
9.0001440000e+00,4.7659043048e-04,5.9538575442e-04,7.0544905611e-04,7.9616009316e-04
1.0000144000e+01,4.7669960622e-04,5.9584974224e-04,7.0550697274e-04,7.9774588812e-04
1.1000144000e+01,4.7627781896e-04,5.9480182244e-04,7.0813708589e-04,7.9320787336e-04
1.2000144000e+01,4.7705558245e-04,5.9573401813e-04,7.0451853389e-04,7.9573736002e-04
1.3000144000e+01,4.7684807214e-04,5.9325651819e-04,7.0596826845e-04,7.9266661487e-04
1.4000144000e+01,4.7704765166e-04,5.9337973653e-04,7.0799243986e-04,7.9643185018e-04
1.5000144000e+01,4.7690798965e-04,5.9391826653e-04,7.0760186645e-04,7.9541634477e-04
1.6000144000e+01,4.7669542255e-04,5.9525918914e-04,7.0834787039e-04,7.9330544395e-04
1.7000144000e+01,4.7640874982e-04,5.9269350459e-04,7.0633941505e-04,7.9637953604e-04
1.8000144000e+01,4.7771009122e-04,5.9575751948e-04,7.0637681347e-04,7.9421377450e-04
1.9000144000e+01,4.7658362746e-04,5.9578480432e-04,7.0761576353e-04,7.9341247329e-04
2.0000144000e+01,4.9257148930e-04,5.9578898799e-04,7.0668946137e-04,7.9315199400e-04
2.1000144000e+01,4.6888046199e-04,5.9386635257e-04,7.0461428550e-04,7.9678968177e-04
2.2000144000e+01,4.8866724683e-04,5.9379686718e-04,7.0733141911e-04,7.9259254562e-04
2.3000144000e+01,4.9337075325e-04,5.9509555285e-04,7.0698668424e-04,7.9274344898e-04
2.4000144000e+01,4.7669756896e-04,5.9616846556e-04,7.0681824582e-04,7.9478835687e-04
2.5000144000e+01,4.7661214921e-04,5.9519654314e-04,7.0634079748e-04,7.9613899288e-04
2.6000144000e+01,4.7664681915e-04,5.9440972109e-04,7.0799782407e-04,7.9210927652e-04
2.7000144000e+01,4.7653793445e-04,5.9517187765e-04,7.0480993600e-04,7.9352786997e-04
2.8000144000e+01,4.7077010095e-04,5.9486650571e-04,7.0660906204e-04,7.9549499787e-04
2.9000144000e+01,4.7067980631e-04,5.9477752075e-04,7.0458394475e-04,7.9549179645e-04
