# Saved on 2025-07-09T15:17:04.282359
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00075
#   max_gtarget: 0.0004
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S)
1.4400000000e-04,7.5793628639e-04,7.0608184615e-04,6.5445427026e-04,6.0466420109e-04,5.3924173699e-04,4.9572157877e-04,4.4467498810e-04
1.1440000000e-03,7.5857373304e-04,7.0522306487e-04,6.5415857534e-04,6.0358128394e-04,5.3948439017e-04,4.9616875913e-04,4.4415337470e-04
2.1440000000e-03,7.5816795288e-04,7.0645452070e-04,6.5426269430e-04,6.0222413595e-04,5.3922711231e-04,5.0225644372e-04,4.4435120799e-04
3.1440000000e-03,7.5347030361e-04,7.0503672760e-04,6.5462874772e-04,6.0006874264e-04,5.3824602219e-04,5.0175458455e-04,4.4429420086e-04
4.1440000000e-03,7.5352159911e-04,7.0542104368e-04,6.5383093897e-04,6.0024056438e-04,5.3817544540e-04,5.0154700148e-04,4.4363394409e-04
5.1440000000e-03,7.5870506407e-04,7.0551286626e-04,6.5356136474e-04,6.0029193264e-04,5.3850340919e-04,5.0235717936e-04,4.4092234020e-04
6.1440000000e-03,7.5839408964e-04,7.0513669925e-04,6.5174215706e-04,5.9989979491e-04,5.3841398767e-04,5.0158570957e-04,4.4463467930e-04
7.1440000000e-03,7.5801915955e-04,7.0522197348e-04,6.5202511905e-04,6.0014710471e-04,5.4476859077e-04,5.0218597607e-04,4.4081854867e-04
8.1440000000e-03,7.6129814261e-04,7.0531008532e-04,6.5395521233e-04,5.9993486502e-04,5.4465032008e-04,5.0246071623e-04,4.4110121962e-04
9.1440000000e-03,7.6144417108e-04,7.0490772487e-04,6.5403313783e-04,6.0294674768e-04,5.4605046898e-04,4.9091304390e-04,4.4059070206e-04
1.0144000000e-02,7.5673997344e-04,7.0572845289e-04,6.5415355493e-04,6.0327558458e-04,5.4559743148e-04,5.0144284614e-04,4.4133317715e-04
1.1144000000e-02,7.5699514127e-04,7.0500420406e-04,6.5360254666e-04,5.9962505475e-04,5.4657852161e-04,4.9160080380e-04,4.4115335186e-04
1.2144000000e-02,7.5640702562e-04,7.0530899393e-04,6.5445798100e-04,6.0033849877e-04,5.4642117902e-04,5.0108978030e-04,4.4122025429e-04
1.3144000000e-02,7.6092226664e-04,7.0328926085e-04,6.5296801040e-04,6.0328100517e-04,5.4608059145e-04,5.0133876357e-04,4.4096628699e-04
1.4144000000e-02,7.6103773608e-04,7.0447043981e-04,6.5395412093e-04,5.9993079049e-04,5.4570140492e-04,5.0173552154e-04,4.4480526412e-04
1.5144000000e-02,7.6086747868e-04,7.0483976742e-04,6.5379928856e-04,6.0025427956e-04,5.4666459619e-04,5.0206894230e-04,4.4450389396e-04
1.6144000000e-02,7.5768017268e-04,7.0491689257e-04,6.5434942371e-04,6.0052287154e-04,5.4595679103e-04,5.0177888625e-04,4.4444990635e-04
1.7144000000e-02,7.5639502029e-04,7.0519396104e-04,6.5364918555e-04,6.0055928770e-04,5.4640266171e-04,5.0231836212e-04,4.4416079618e-04
1.8144000000e-02,7.5625372119e-04,7.0488960773e-04,6.5398206061e-04,6.0048692831e-04,5.4537089454e-04,5.0123911933e-04,4.4424672524e-04
