# Saved on 2025-07-09T15:24:02.037832
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.00075
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,3.9322774683e-04,4.4872092985e-04
1.1440000000e-03,3.9317561459e-04,4.4861833885e-04
2.1440000000e-03,3.9331524022e-04,4.4830838306e-04
3.1440000000e-03,3.9341917727e-04,4.4861481001e-04
4.1440000000e-03,3.9350503357e-04,4.4868640543e-04
5.1440000000e-03,3.9464535803e-04,4.4850898121e-04
6.1440000000e-03,3.9461305278e-04,4.4867094402e-04
7.1440000000e-03,3.9473983634e-04,4.4828801038e-04
8.1440000000e-03,3.9334590838e-04,4.4847136451e-04
9.1440000000e-03,3.9457925595e-04,4.4872067519e-04
1.0144000000e-02,3.9479797124e-04,4.5970380597e-04
1.1144000000e-02,3.9468002797e-04,4.6089327952e-04
1.2144000000e-02,3.9483729779e-04,4.4866676035e-04
1.3144000000e-02,3.9465190639e-04,4.6102926717e-04
1.4144000000e-02,3.9472437493e-04,4.4862728828e-04
1.5144000000e-02,3.9472870412e-04,4.4847340178e-04
1.6144000000e-02,3.9474132791e-04,4.4854568841e-04
1.7144000000e-02,3.9470596676e-04,4.4807136874e-04
1.8144000000e-02,3.9409500459e-04,4.4850614358e-04
1.9144000000e-02,3.9479997213e-04,4.4871485443e-04
2.0144000000e-02,3.9457831008e-04,4.4852520659e-04
2.1144000000e-02,3.9514798118e-04,4.4878957851e-04
2.2144000000e-02,3.9493424993e-04,4.4836418965e-04
2.3144000000e-02,3.9467278839e-04,4.6125343943e-04
2.4144000000e-02,3.9507562178e-04,4.4856671593e-04
2.5144000000e-02,3.9579015720e-04,4.4852848077e-04
2.6144000000e-02,3.9574653783e-04,4.4872122089e-04
2.7144000000e-02,3.9606704377e-04,4.6085700887e-04
2.8144000000e-02,3.9565693442e-04,4.6101300541e-04
2.9144000000e-02,3.9586939238e-04,4.4754408009e-04
3.0144000000e-02,3.9579379518e-04,4.4857588364e-04
3.1144000000e-02,3.9448266762e-04,4.4871016144e-04
3.2144000000e-02,3.9553731767e-04,4.4850450649e-04
3.3144000000e-02,3.9568756620e-04,4.4853739382e-04
3.4144000000e-02,3.9575548726e-04,4.4853695726e-04
3.5144000000e-02,3.9590722736e-04,4.4750882807e-04
3.6144000000e-02,3.9581191231e-04,4.4832799176e-04
3.7144000000e-02,3.9591213863e-04,4.4833202992e-04
3.8144000000e-02,3.9578128053e-04,4.5072742068e-04
3.9144000000e-02,3.9613434637e-04,4.4795986469e-04
4.0144000000e-02,3.9606067730e-04,4.6027846111e-04
4.1144000000e-02,3.9614093112e-04,4.5794960897e-04
4.2144000000e-02,3.9569174987e-04,4.4780528697e-04
4.3144000000e-02,3.9446815208e-04,4.4790984248e-04
4.4144000000e-02,3.9379763621e-04,4.4794087444e-04
4.5144000000e-02,3.9390626625e-04,4.4786658691e-04
4.6144000000e-02,3.9383161493e-04,4.4847234676e-04
4.7144000000e-02,3.9387821744e-04,4.4782427722e-04
4.8144000000e-02,3.9354577893e-04,4.4784723286e-04
4.9144000000e-02,3.9365328121e-04,4.4786622311e-04
5.0144000000e-02,3.9379607188e-04,4.4781794713e-04
5.1144000000e-02,3.9362970710e-04,4.4816144509e-04
5.2144000000e-02,3.9362024836e-04,4.4742704631e-04
5.3144000000e-02,3.9351398300e-04,4.4808144594e-04
5.4144000000e-02,3.9339611249e-04,4.4770902605e-04
5.5144000000e-02,3.9367594582e-04,4.4770160457e-04
5.6144000000e-02,3.9359743823e-04,4.4812364649e-04
5.7144000000e-02,3.9489383198e-04,4.4803877245e-04
5.8144000000e-02,3.9467195165e-04,4.4776799768e-04
5.9144000000e-02,3.9462818677e-04,4.4825635996e-04
6.0144000000e-02,3.9564965846e-04,4.4773303671e-04
6.1144000000e-02,3.9530001231e-04,4.4738677389e-04
6.2144000000e-02,3.9564925828e-04,4.4802432967e-04
6.3144000000e-02,3.9575912524e-04,4.4787044317e-04
6.4144000000e-02,3.9561055019e-04,4.4777898438e-04
6.5144000000e-02,3.9537186240e-04,4.4774329581e-04
6.6144000000e-02,3.9556642150e-04,4.4779404561e-04
6.7144000000e-02,3.9568232751e-04,4.4780706958e-04
6.8144000000e-02,3.9472142817e-04,4.4773674745e-04
6.9144000000e-02,3.9495185774e-04,4.4797052396e-04
7.0144000000e-02,3.9381498937e-04,4.4789263484e-04
7.1144000000e-02,3.9498841943e-04,4.4793396228e-04
7.2144000000e-02,3.9473863580e-04,4.4807558879e-04
7.3144000000e-02,3.9466587623e-04,4.4789027015e-04
7.4144000000e-02,3.9477999962e-04,4.4756587158e-04
7.5144000000e-02,3.9472772187e-04,4.5763696107e-04
7.6144000000e-02,3.9491478674e-04,4.4781954784e-04
7.7144000000e-02,3.9483220462e-04,4.6014833060e-04
7.8144000000e-02,3.9469632611e-04,4.4778687879e-04
7.9144000000e-02,3.9478723920e-04,4.4788819650e-04
