# Saved on 2025-07-09T15:17:04.316352
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00075
#   max_gtarget: 0.0004
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S),Conductance_Target_6 (S),Conductance_Target_7 (S)
1.4400000000e-04,7.6165189967e-04,7.1525566455e-04,6.5428255766e-04,6.1358899984e-04,5.1090268244e-04,4.9560036132e-04,4.4436921598e-04
1.0001440000e+00,7.5032796303e-04,7.1723603469e-04,6.5381980676e-04,6.0985661548e-04,5.1635961427e-04,4.9686404964e-04,4.3508545787e-04
2.0001440000e+00,7.4951771239e-04,7.3159193562e-04,6.5389001975e-04,5.9533736930e-04,5.0741349696e-04,5.0189555623e-04,4.3908556108e-04
3.0001440000e+00,7.5398900663e-04,7.1209229645e-04,6.5314226958e-04,5.9929818235e-04,5.0787133659e-04,5.0114405894e-04,4.4421551138e-04
4.0001440000e+00,7.4636882346e-04,7.0748399594e-04,6.5272717620e-04,6.0009435401e-04,5.1419992815e-04,4.8899237299e-04,4.4715867261e-04
5.0001440000e+00,7.5337768067e-04,7.0832538768e-04,6.5436703153e-04,6.1291182647e-04,5.1509196055e-04,5.0080961955e-04,4.4233831431e-04
6.0001440000e+00,7.5694457337e-04,7.1531132562e-04,6.5404201450e-04,6.0002017563e-04,5.1281316701e-04,4.9496578868e-04,4.4364911446e-04
7.0001440000e+00,7.4793882959e-04,7.0893845987e-04,6.5406391514e-04,6.1100712628e-04,5.1820265071e-04,5.0327162171e-04,4.4331682147e-04
8.0001440000e+00,7.5925257988e-04,7.0978421718e-04,6.5349318902e-04,5.9979680373e-04,5.1760678616e-04,4.9275997299e-04,4.4598120439e-04
9.0001440000e+00,7.6417694800e-04,7.1357033448e-04,6.5363259637e-04,6.0978349211e-04,5.0657905376e-04,4.8816607887e-04,4.4603093556e-04
1.0000144000e+01,7.6052543591e-04,7.1465197834e-04,6.5121799707e-04,5.9338464780e-04,5.1771185099e-04,5.0389375247e-04,4.4124029955e-04
1.1000144000e+01,7.6204887591e-04,7.1683316492e-04,6.4941072196e-04,5.9354151745e-04,5.1603907195e-04,4.9405069149e-04,4.4155865908e-04
1.2000144000e+01,7.6206342783e-04,7.1521557402e-04,6.5153748437e-04,6.0642640165e-04,5.1661958423e-04,4.9529546231e-04,4.4125921704e-04
1.3000144000e+01,7.5970609032e-04,7.1492708230e-04,6.5196290961e-04,5.9700592828e-04,5.1375718613e-04,4.9425045290e-04,4.3923955673e-04
1.4000144000e+01,7.5207019108e-04,7.1535920142e-04,6.5243490099e-04,5.9450048866e-04,5.1444792916e-04,4.9473550462e-04,4.3533251301e-04
1.5000144000e+01,7.5468145951e-04,7.1693997597e-04,6.4955107518e-04,5.9751193476e-04,5.1209837693e-04,4.9532693083e-04,4.4852804422e-04
1.6000144000e+01,7.5393800216e-04,7.1609079896e-04,6.5231091867e-04,5.9499667259e-04,5.1281531341e-04,5.0136364734e-04,4.3573563744e-04
1.7000144000e+01,7.5060750532e-04,7.1432172263e-04,6.5215055656e-04,5.9361398598e-04,5.1108629123e-04,5.0204514991e-04,4.3692929466e-04
1.8000144000e+01,7.5325071521e-04,7.1390764788e-04,6.5270192863e-04,5.9460202465e-04,5.0826020015e-04,5.0371032557e-04,4.3389165512e-04
