# Saved on 2025-07-09T13:58:03.021910
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.00075
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_450.00 uS,Conductance_Target_500.00 uS,Conductance_Target_550.00 uS,Conductance_Target_600.00 uS,Conductance_Target_650.00 uS,Conductance_Target_700.00 uS,Conductance_Target_750.00 uS
1.4400000000e-04,4.1052211600e-04,4.4691423682e-04,4.9283666158e-04,5.7281620684e-04,6.0469934397e-04,6.4247047703e-04,6.9787514803e-04,7.6055468526e-04
1.1440000000e-03,4.1014453018e-04,4.4820124458e-04,4.9040736485e-04,5.7308847317e-04,6.0791102442e-04,6.4221167122e-04,6.9695073762e-04,7.5753669080e-04
2.1440000000e-03,4.1012655856e-04,4.4817828893e-04,4.9113670684e-04,5.6406654039e-04,6.0750429839e-04,6.4219158958e-04,6.9794448791e-04,7.5987161836e-04
3.1440000000e-03,4.0990704292e-04,4.4795757276e-04,4.9034202675e-04,5.5705979321e-04,6.0746522649e-04,6.4211548306e-04,6.9747518864e-04,7.6007017924e-04
4.1440000000e-03,4.0962921048e-04,4.4795495342e-04,4.9190235586e-04,5.6204054999e-04,6.0826798290e-04,6.4182124333e-04,6.9682850153e-04,7.5982083217e-04
5.1440000000e-03,4.1024206439e-04,4.4828171667e-04,4.9060497986e-04,5.5741620599e-04,6.0791433498e-04,6.4176892920e-04,6.9724337664e-04,7.5032774475e-04
6.1440000000e-03,4.1017308831e-04,4.4788273954e-04,4.9103626225e-04,5.6771852542e-04,6.0801608925e-04,6.4169267716e-04,6.9728077506e-04,7.5877091149e-04
7.1440000000e-03,4.0778377297e-04,4.4821048505e-04,4.9187718105e-04,5.5666394474e-04,6.0883925471e-04,6.4149498940e-04,7.0120346209e-04,7.5878211646e-04
8.1440000000e-03,4.0407256165e-04,4.4837401219e-04,4.9053964176e-04,5.5644286476e-04,6.0742502683e-04,6.4186751842e-04,7.0160094765e-04,7.6097203419e-04
9.1440000000e-03,4.0454731788e-04,4.3749398174e-04,4.9128382670e-04,5.5929074733e-04,6.0215163103e-04,6.4239931817e-04,7.0062662417e-04,7.5950119935e-04
1.0144000000e-02,4.0455415729e-04,4.4824355427e-04,4.9085785577e-04,5.7055065554e-04,6.0733666032e-04,6.4241234213e-04,7.0031746873e-04,7.5908457802e-04
1.1144000000e-02,4.0395196265e-04,4.4164538849e-04,4.9067573855e-04,5.6771026721e-04,6.0715799918e-04,6.4245563408e-04,6.9706729846e-04,7.4957919423e-04
1.2144000000e-02,4.0431092202e-04,4.4409538532e-04,4.9286129070e-04,5.6750897784e-04,6.0467493313e-04,6.4248619310e-04,6.9703266490e-04,7.5972129707e-04
1.3144000000e-02,4.0436185373e-04,4.4825992518e-04,4.9128557293e-04,5.5944801716e-04,6.0741542256e-04,6.4244297391e-04,6.9995665399e-04,7.5922522228e-04
1.4144000000e-02,4.0403967432e-04,4.4806249207e-04,4.9068097724e-04,5.5674066971e-04,6.0856509663e-04,6.4263527747e-04,6.9978021202e-04,7.5691998063e-04
1.5144000000e-02,4.0468727093e-04,4.4812280976e-04,4.9230387958e-04,5.6577719079e-04,6.0832011513e-04,6.4285253757e-04,6.9408088166e-04,7.5980708061e-04
1.6144000000e-02,4.0478986193e-04,4.4792846893e-04,4.9071859394e-04,5.5901440646e-04,6.0760339693e-04,6.4171843405e-04,6.9742178312e-04,7.5998810644e-04
1.7144000000e-02,4.0460294258e-04,4.4222451834e-04,4.9074205890e-04,5.6516812037e-04,6.0237915022e-04,6.4170031692e-04,7.0155780122e-04,7.5840005593e-04
1.8144000000e-02,4.0461789467e-04,4.4758064178e-04,4.9041227612e-04,5.6997505453e-04,6.0712103732e-04,6.4180028858e-04,7.0031586802e-04,7.5903786637e-04
1.9144000000e-02,4.0508453822e-04,4.3488060328e-04,4.9062113249e-04,5.5905624322e-04,6.0740396293e-04,6.4239466155e-04,7.0119713200e-04,7.5988529716e-04
