# Saved on 2025-07-09T13:58:03.042943
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE01
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.00075
#   num_level: 8
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.3
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_450.00 uS,Conductance_Target_500.00 uS,Conductance_Target_550.00 uS,Conductance_Target_600.00 uS,Conductance_Target_650.00 uS,Conductance_Target_700.00 uS,Conductance_Target_750.00 uS
1.4400000000e-04,3.9664741053e-04,4.4484240789e-04,4.8934372899e-04,5.5866901675e-04,6.0733524151e-04,6.4135441789e-04,6.8439156166e-04,7.6051990618e-04
1.0001440000e+00,3.9939710405e-04,4.2069303163e-04,4.9075992138e-04,5.6995362684e-04,6.0111393395e-04,6.4010200731e-04,6.9159774284e-04,7.5683929026e-04
2.0001440000e+00,3.9911847125e-04,4.3327923777e-04,4.9532904086e-04,5.6815766584e-04,5.9524707467e-04,6.4068000938e-04,6.7533750553e-04,7.5710973761e-04
3.0001440000e+00,3.8907626731e-04,4.3294021452e-04,5.0073198508e-04,5.7543213188e-04,5.9695052187e-04,6.3741084887e-04,6.8706722232e-04,7.6656375313e-04
4.0001440000e+00,3.8792131818e-04,4.3482508772e-04,4.9634349125e-04,5.7020482927e-04,5.9939389757e-04,6.3285129727e-04,6.7534587288e-04,7.6646450907e-04
5.0001440000e+00,3.9113565435e-04,4.3009607907e-04,4.9286914873e-04,5.7869227021e-04,6.0297326854e-04,6.2925777456e-04,6.6424217948e-04,7.5413903687e-04
6.0001440000e+00,3.9618094888e-04,4.3031512178e-04,5.0023867516e-04,5.9580055677e-04,6.0304697399e-04,6.2986197008e-04,6.9486144639e-04,7.6523538155e-04
7.0001440000e+00,3.8898462662e-04,4.3510786782e-04,4.9835463869e-04,5.6997196225e-04,5.9547113779e-04,6.2921229983e-04,6.7116168793e-04,7.6718359196e-04
8.0001440000e+00,3.9129758079e-04,4.2212333938e-04,4.9976963055e-04,5.9768150095e-04,5.9438280005e-04,6.2960483774e-04,6.7938439315e-04,7.6750540757e-04
9.0001440000e+00,3.8875583414e-04,4.3556996388e-04,4.9655427574e-04,5.6916211179e-04,6.0158501583e-04,6.2217484810e-04,6.7002845753e-04,7.6290431025e-04
1.0000144000e+01,3.8980197132e-04,4.3377589463e-04,4.9407830375e-04,5.6832035625e-04,5.9666581365e-04,6.2136736233e-04,6.9770969276e-04,7.5334057328e-04
1.1000144000e+01,3.8979371311e-04,4.3007999921e-04,4.9972080888e-04,5.6802280596e-04,5.9596786741e-04,6.2245613663e-04,6.6250191594e-04,7.6355041529e-04
1.2000144000e+01,3.8943653635e-04,4.3336436647e-04,5.0099548389e-04,5.8460860600e-04,5.9786732891e-04,6.2166487623e-04,6.8565750553e-04,7.7035183494e-04
1.3000144000e+01,3.9943977754e-04,4.3031806854e-04,5.0041446229e-04,5.8086672652e-04,5.9825117205e-04,6.2211998738e-04,6.6223066824e-04,7.6848387835e-04
1.4000144000e+01,3.9894599468e-04,4.2955958634e-04,4.9564259825e-04,5.8037887356e-04,5.9706624597e-04,6.2268023612e-04,6.6173917730e-04,7.5745701906e-04
1.5000144000e+01,3.8909973227e-04,4.2848794692e-04,4.9628331908e-04,5.7836565247e-04,5.9021338529e-04,6.2092811277e-04,6.6177097324e-04,7.7432981925e-04
1.6000144000e+01,3.9076396206e-04,4.3201678636e-04,4.9301521358e-04,5.6996359490e-04,5.9745394537e-04,6.2187194999e-04,6.6900829552e-04,7.7287135355e-04
