# Saved on 2025-07-11T13:30:27.279108
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE02
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.5
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
5.0000000000e-01,1.8262000000e-10
5.0000000000e-01,2.0625000000e-10
5.0000000000e-01,2.0946000000e-10
5.0000000000e-01,2.1931000000e-10
5.0000000000e-01,2.0059000000e-10
5.0000000000e-01,2.3252000000e-10
5.0000000000e-01,1.9093000000e-10
5.0000000000e-01,1.7897000000e-10
5.0000000000e-01,2.1360000000e-10
5.0000000000e-01,1.9288000000e-10
5.0000000000e-01,1.9135000000e-10
5.0000000000e-01,1.6673000000e-10
5.0000000000e-01,1.7496000000e-10
5.0000000000e-01,2.1648000000e-10
5.0000000000e-01,2.1662000000e-10
5.0000000000e-01,2.7104000000e-10
5.0000000000e-01,2.9417000000e-10
5.0000000000e-01,2.7775000000e-10
6.0000000000e-01,4.7141000000e-10
6.0000000000e-01,4.1206000000e-10
6.0000000000e-01,4.4861000000e-10
6.0000000000e-01,4.1669000000e-10
6.0000000000e-01,4.0630000000e-10
6.0000000000e-01,3.9604000000e-10
6.0000000000e-01,4.2222000000e-10
6.0000000000e-01,4.5073000000e-10
6.0000000000e-01,4.2940000000e-10
6.0000000000e-01,4.6241000000e-10
6.0000000000e-01,4.2308000000e-10
6.0000000000e-01,4.0905000000e-10
6.0000000000e-01,3.9618000000e-10
6.0000000000e-01,4.0769000000e-10
6.0000000000e-01,4.2396000000e-10
6.0000000000e-01,4.1494000000e-10
6.0000000000e-01,4.7907000000e-10
6.0000000000e-01,4.5373000000e-10
7.0000000000e-01,7.2170000000e-10
7.0000000000e-01,6.7660000000e-10
7.0000000000e-01,6.7110000000e-10
7.0000000000e-01,7.1572000000e-10
7.0000000000e-01,6.8378000000e-10
7.0000000000e-01,7.2325000000e-10
7.0000000000e-01,6.8059000000e-10
7.0000000000e-01,7.4136000000e-10
7.0000000000e-01,7.1552000000e-10
7.0000000000e-01,7.4273000000e-10
7.0000000000e-01,5.3955000000e-10
7.0000000000e-01,5.7453000000e-10
7.0000000000e-01,5.2067000000e-10
7.0000000000e-01,5.6777000000e-10
7.0000000000e-01,5.7642000000e-10
7.0000000000e-01,5.8167000000e-10
7.0000000000e-01,5.8153000000e-10
7.0000000000e-01,5.6977000000e-10
8.0000000000e-01,8.1359000000e-10
8.0000000000e-01,7.8028000000e-10
8.0000000000e-01,8.2901000000e-10
8.0000000000e-01,8.0908000000e-10
8.0000000000e-01,8.0423000000e-10
8.0000000000e-01,8.0720000000e-10
8.0000000000e-01,7.9670000000e-10
8.0000000000e-01,8.7903000000e-10
8.0000000000e-01,8.4729000000e-10
8.0000000000e-01,8.8726000000e-10
8.0000000000e-01,8.2398000000e-10
8.0000000000e-01,8.3395000000e-10
8.0000000000e-01,8.6803000000e-10
8.0000000000e-01,8.1708000000e-10
8.0000000000e-01,8.9693000000e-10
8.0000000000e-01,8.4419000000e-10
8.0000000000e-01,8.5442000000e-10
8.0000000000e-01,7.7926000000e-10
9.0000000000e-01,1.0580000000e-09
