# Saved on 2025-07-11T13:38:51.474815
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE02
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.5
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Current (A)
5.0000000000e-01,2.5314000000e-11
5.0000000000e-01,2.3934000000e-11
5.0000000000e-01,2.5170000000e-11
5.0000000000e-01,2.5973000000e-11
5.0000000000e-01,2.5544000000e-11
5.0000000000e-01,2.5556000000e-11
5.0000000000e-01,2.6667000000e-11
5.0000000000e-01,2.8302000000e-11
5.0000000000e-01,2.5897000000e-11
5.0000000000e-01,2.4792000000e-11
5.0000000000e-01,2.3989000000e-11
6.0000000000e-01,3.4165000000e-11
6.0000000000e-01,3.5288000000e-11
6.0000000000e-01,3.6533000000e-11
6.0000000000e-01,3.5880000000e-11
6.0000000000e-01,3.6383000000e-11
6.0000000000e-01,3.6668000000e-11
6.0000000000e-01,3.8587000000e-11
6.0000000000e-01,3.9722000000e-11
6.0000000000e-01,3.6802000000e-11
6.0000000000e-01,3.5721000000e-11
6.0000000000e-01,3.4881000000e-11
7.0000000000e-01,4.3177000000e-11
7.0000000000e-01,4.6825000000e-11
7.0000000000e-01,4.5881000000e-11
7.0000000000e-01,5.1149000000e-11
7.0000000000e-01,4.6182000000e-11
7.0000000000e-01,4.2980000000e-11
7.0000000000e-01,4.4769000000e-11
7.0000000000e-01,4.4796000000e-11
7.0000000000e-01,5.2752000000e-11
7.0000000000e-01,5.2487000000e-11
8.0000000000e-01,6.7715000000e-11
8.0000000000e-01,6.7059000000e-11
8.0000000000e-01,6.6389000000e-11
8.0000000000e-01,6.4408000000e-11
8.0000000000e-01,6.2159000000e-11
8.0000000000e-01,5.9483000000e-11
8.0000000000e-01,6.6151000000e-11
8.0000000000e-01,5.2352000000e-11
8.0000000000e-01,5.0000000000e-11
8.0000000000e-01,6.1468000000e-11
9.0000000000e-01,7.2337000000e-11
9.0000000000e-01,6.6769000000e-11
9.0000000000e-01,6.4713000000e-11
9.0000000000e-01,6.9583000000e-11
9.0000000000e-01,6.9437000000e-11
9.0000000000e-01,7.0840000000e-11
9.0000000000e-01,7.1456000000e-11
9.0000000000e-01,7.0328000000e-11
9.0000000000e-01,7.1596000000e-11
9.0000000000e-01,7.3513000000e-11
1.0000000000e+00,9.1621000000e-11
1.0000000000e+00,8.9211000000e-11
1.0000000000e+00,8.7118000000e-11
1.0000000000e+00,8.7168000000e-11
1.0000000000e+00,1.0085100000e-10
1.0000000000e+00,1.0361000000e-10
1.0000000000e+00,1.0595000000e-10
1.0000000000e+00,1.0117000000e-10
1.0000000000e+00,1.0136000000e-10
1.0000000000e+00,1.0073000000e-10
1.0000000000e+00,1.0261000000e-10
1.0000000000e+00,1.0381000000e-10
1.0000000000e+00,1.0282000000e-10
1.1000000000e+00,1.3064000000e-10
1.1000000000e+00,1.2467000000e-10
1.1000000000e+00,1.3406000000e-10
1.1000000000e+00,1.2585000000e-10
1.1000000000e+00,1.3293000000e-10
1.1000000000e+00,1.2169000000e-10
1.1000000000e+00,1.3661000000e-10
1.1000000000e+00,1.3262000000e-10
