# Saved on 2025-07-11T13:38:10.279040
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE02
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.5
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,7.9981473391e-04
1.1440000000e-03,8.0087556853e-04
2.1440000000e-03,8.0082740169e-04
3.1440000000e-03,8.0095545854e-04
4.1440000000e-03,8.0204277765e-04
5.1440000000e-03,8.0119280028e-04
6.1440000000e-03,8.0130965216e-04
7.1440000000e-03,8.0155186879e-04
8.1440000000e-03,8.0165635154e-04
9.1440000000e-03,8.0110388808e-04
1.0144000000e-02,8.0046986113e-04
1.1144000000e-02,8.0090379925e-04
1.2144000000e-02,8.0066871305e-04
1.3144000000e-02,8.0130324932e-04
1.4144000000e-02,8.0279874965e-04
1.5144000000e-02,8.0321740825e-04
1.6144000000e-02,8.0335186794e-04
1.7144000000e-02,8.0388621427e-04
1.8144000000e-02,8.0160352809e-04
1.9144000000e-02,8.0187128333e-04
2.0144000000e-02,8.0117402831e-04
2.1144000000e-02,8.0262798292e-04
2.2144000000e-02,8.0246369180e-04
2.3144000000e-02,8.0218327639e-04
2.4144000000e-02,8.0281497503e-04
2.5144000000e-02,8.0209487351e-04
2.6144000000e-02,8.0170510046e-04
2.7144000000e-02,8.0137593613e-04
2.8144000000e-02,8.0193472968e-04
2.9144000000e-02,8.0200785305e-04
3.0144000000e-02,8.0184472608e-04
3.1144000000e-02,8.0200603406e-04
3.2144000000e-02,8.0242178228e-04
3.3144000000e-02,8.0190795416e-04
3.4144000000e-02,8.0267062003e-04
3.5144000000e-02,8.0150093709e-04
3.6144000000e-02,8.0097444879e-04
3.7144000000e-02,8.0122008512e-04
3.8144000000e-02,8.0108125985e-04
3.9144000000e-02,8.0117446487e-04
4.0144000000e-02,8.0084282672e-04
4.1144000000e-02,8.0086239905e-04
4.2144000000e-02,8.0061894550e-04
4.3144000000e-02,8.0074023572e-04
4.4144000000e-02,8.0144163803e-04
4.5144000000e-02,8.0196296040e-04
4.6144000000e-02,8.0241690739e-04
4.7144000000e-02,8.0257967056e-04
4.8144000000e-02,8.0162142694e-04
4.9144000000e-02,8.0124402302e-04
5.0144000000e-02,8.0252699263e-04
5.1144000000e-02,8.0318655819e-04
5.2144000000e-02,8.0299330875e-04
5.3144000000e-02,8.0389654613e-04
5.4144000000e-02,8.0351965153e-04
5.5144000000e-02,8.0240170064e-04
5.6144000000e-02,8.0398589489e-04
5.7144000000e-02,8.0350015196e-04
5.8144000000e-02,8.0197118223e-04
5.9144000000e-02,8.0259247625e-04
6.0144000000e-02,8.0194986367e-04
6.1144000000e-02,8.0162797531e-04
6.2144000000e-02,8.0179357610e-04
6.3144000000e-02,8.0238663941e-04
6.4144000000e-02,8.0210083979e-04
6.5144000000e-02,8.0317862739e-04
6.6144000000e-02,8.0270183389e-04
6.7144000000e-02,8.0276287918e-04
6.8144000000e-02,8.0278165115e-04
6.9144000000e-02,8.0200945376e-04
7.0144000000e-02,8.0120829807e-04
7.1144000000e-02,8.0167075794e-04
7.2144000000e-02,8.0157966295e-04
7.3144000000e-02,8.0072546552e-04
7.4144000000e-02,8.0104080553e-04
7.5144000000e-02,8.0001052993e-04
