# Saved on 2025-07-11T13:38:10.320040
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE02
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 4000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.5
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: -1.3
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0005
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,8.0172329035e-04
1.0001440000e+00,8.0188357970e-04
2.0001440000e+00,8.0197976786e-04
3.0001440000e+00,8.0297599197e-04
4.0001440000e+00,8.0184014223e-04
5.0001440000e+00,8.0235302448e-04
6.0001440000e+00,8.0193247413e-04
7.0001440000e+00,8.0242061813e-04
8.0001440000e+00,8.0311787315e-04
9.0001440000e+00,8.0280246038e-04
1.0000144000e+01,8.0195015471e-04
1.1000144000e+01,8.0156321928e-04
1.2000144000e+01,8.0436439021e-04
1.3000144000e+01,8.0174650066e-04
1.4000144000e+01,8.0277008237e-04
1.5000144000e+01,8.0119520135e-04
1.6000144000e+01,8.0103236542e-04
1.7000144000e+01,8.0369347415e-04
1.8000144000e+01,8.0316567619e-04
1.9000144000e+01,8.0283512943e-04
2.0000144000e+01,8.0120124039e-04
2.1000144000e+01,8.0148885900e-04
2.2000144000e+01,8.0281053670e-04
2.3000144000e+01,8.0243888078e-04
2.4000144000e+01,8.0366167822e-04
2.5000144000e+01,8.0163648818e-04
2.6000144000e+01,8.0170539150e-04
2.7000144000e+01,8.0413636169e-04
2.8000144000e+01,8.0362908193e-04
2.9000144000e+01,8.0393416283e-04
3.0000144000e+01,8.0281221017e-04
3.1000144000e+01,8.0232624896e-04
3.2000144000e+01,8.0205281847e-04
3.3000144000e+01,8.0137164332e-04
3.4000144000e+01,8.0322082795e-04
3.5000144000e+01,8.0119760241e-04
3.6000144000e+01,8.0264391727e-04
3.7000144000e+01,8.0270336184e-04
3.8000144000e+01,8.0015452113e-04
3.9000144000e+01,8.0223035184e-04
4.0000144000e+01,8.0156758486e-04
4.1000144000e+01,8.0149395217e-04
4.2000144000e+01,8.0087891547e-04
4.3000144000e+01,8.0291378254e-04
4.4000144000e+01,8.0121906649e-04
4.5000144000e+01,8.0274519860e-04
4.6000144000e+01,8.0115154560e-04
4.7000144000e+01,8.0242803961e-04
4.8000144000e+01,8.0319630797e-04
4.9000144000e+01,7.9906138126e-04
5.0000144000e+01,8.0418307334e-04
5.1000144000e+01,8.0184348917e-04
5.2000144000e+01,8.0139048805e-04
5.3000144000e+01,8.0400808656e-04
5.4000144000e+01,8.0370984506e-04
5.5000144000e+01,7.9896315583e-04
5.6000144000e+01,8.0078054452e-04
5.7000144000e+01,8.0229896412e-04
5.8000144000e+01,8.0208272266e-04
5.9000144000e+01,8.0126970715e-04
6.0000144000e+01,8.0103200162e-04
6.1000144000e+01,8.0177822383e-04
6.2000144000e+01,8.0336540123e-04
6.3000144000e+01,8.0159930803e-04
6.4000144000e+01,8.0226156570e-04
6.5000144000e+01,8.0383273598e-04
6.6000144000e+01,8.0200799857e-04
6.7000144000e+01,7.9873636423e-04
6.8000144000e+01,7.9989498772e-04
6.9000144000e+01,7.9852470662e-04
7.0000144000e+01,7.9733734310e-04
7.1000144000e+01,7.9921905126e-04
7.2000144000e+01,7.9980593000e-04
7.3000144000e+01,7.9913996160e-04
7.4000144000e+01,7.9892692156e-04
7.5000144000e+01,7.9702302173e-04
7.6000144000e+01,7.9582197941e-04
7.7000144000e+01,7.9685960372e-04
7.8000144000e+01,8.0038000306e-04
7.9000144000e+01,8.0040044850e-04
8.0000144000e+01,7.9961078882e-04
8.1000144000e+01,7.9516634287e-04
8.2000144000e+01,7.9591714893e-04
8.3000144000e+01,7.9695833847e-04
8.4000144000e+01,8.0033307313e-04
8.5000144000e+01,8.0017744040e-04
8.6000144000e+01,7.9879901023e-04
8.7000144000e+01,8.0065015936e-04
8.8000144000e+01,7.9815297795e-04
8.9000144000e+01,7.9956662375e-04
9.0000144000e+01,8.0120771599e-04
9.1000144000e+01,7.9603087215e-04
9.2000144000e+01,7.9638717580e-04
9.3000144000e+01,7.9835634097e-04
9.4000144000e+01,7.9874182120e-04
9.5000144000e+01,7.9820230894e-04
9.6000144000e+01,8.0161342339e-04
9.7000144000e+01,8.0309539044e-04
9.8000144000e+01,7.9657002061e-04
9.9000144000e+01,7.9807032307e-04
1.0000014400e+02,7.9534787801e-04
1.0100014400e+02,7.9758639913e-04
1.0200014400e+02,7.9618264863e-04
1.0300014400e+02,7.9884135630e-04
1.0400014400e+02,7.9729594290e-04
1.0500014400e+02,7.9661855125e-04
1.0600014400e+02,7.9778510553e-04
1.0700014400e+02,7.9997094872e-04
1.0800014400e+02,7.9680830822e-04
1.0900014400e+02,7.9780133092e-04
1.1000014400e+02,7.9733203165e-04
1.1100014400e+02,7.9742349044e-04
1.1200014400e+02,7.9687895777e-04
1.1300014400e+02,7.9783123510e-04
1.1400014400e+02,7.9730736616e-04
1.1500014400e+02,7.9745237599e-04
1.1600014400e+02,8.0158817582e-04
1.1700014400e+02,8.0123616499e-04
1.1800014400e+02,8.0024321505e-04
1.1900014400e+02,7.9978570284e-04
1.2000014400e+02,7.9898512922e-04
1.2100014400e+02,7.9738842032e-04
1.2200014400e+02,7.9789126175e-04
1.2300014400e+02,7.9697158071e-04
1.2400014400e+02,7.9863100837e-04
1.2500014400e+02,7.9972582171e-04
1.2600014400e+02,7.9706675024e-04
1.2700014400e+02,7.9774144979e-04
1.2800014400e+02,7.9848061432e-04
1.2900014400e+02,8.0547426478e-04
1.3000014400e+02,8.0514189904e-04
1.3100014400e+02,7.9917030234e-04
1.3200014400e+02,7.9901219578e-04
1.3300014400e+02,7.9684636148e-04
1.3400014400e+02,7.9924131569e-04
1.3500014400e+02,7.9746190750e-04
1.3600014400e+02,7.9746845586e-04
1.3700014400e+02,7.9892663052e-04
1.3800014400e+02,7.9685632954e-04
1.3900014400e+02,7.9857061792e-04
1.4000014400e+02,7.9855715740e-04
1.4100014400e+02,7.9987985373e-04
1.4200014400e+02,7.9767851275e-04
1.4300014400e+02,7.9927580373e-04
1.4400014400e+02,7.9890371126e-04
1.4500014400e+02,7.9969795479e-04
1.4600014400e+02,7.9913377704e-04
1.4700014400e+02,7.9932404333e-04
1.4800014400e+02,7.9975674453e-04
1.4900014400e+02,7.9820179963e-04
1.5000014400e+02,7.9729426943e-04
1.5100014400e+02,7.9742043454e-04
1.5200014400e+02,7.9663448560e-04
1.5300014400e+02,7.9749057477e-04
1.5400014400e+02,7.9952049418e-04
1.5500014400e+02,7.9778386862e-04
1.5600014400e+02,7.9785415437e-04
1.5700014400e+02,7.9909281339e-04
1.5800014400e+02,8.0044628703e-04
1.5900014400e+02,8.0332793004e-04
1.6000014400e+02,7.9901554273e-04
1.6100014400e+02,8.0035890278e-04
1.6200014400e+02,8.0216210335e-04
1.6300014400e+02,8.0102057836e-04
1.6400014400e+02,8.0112622527e-04
1.6500014400e+02,6.8877852755e-04
1.6600014400e+02,-1.0121458338e-07
1.6700014400e+02,-1.3946846344e-07
1.6800014400e+02,-1.3934399412e-07
1.6900014400e+02,-1.3625989226e-07
1.7000014400e+02,-1.2559693729e-07
1.7100014400e+02,-1.2704909125e-07
1.7200014400e+02,-1.2700759555e-07
1.7300014400e+02,-1.3758757689e-07
1.7400014400e+02,-7.5725816728e-08
1.7500014400e+02,-1.0537742234e-07
1.7600014400e+02,-6.6943743882e-08
1.7700014400e+02,-7.8270545600e-08
1.7800014400e+02,-1.4898352774e-07
