# Saved on 2025-07-11T15:52:39.821987
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE05
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,5.0873917644e-04,6.0801157815e-04,7.0351903560e-04,8.0393328972e-04
1.1440000000e-03,5.0785944040e-04,6.1250560975e-04,7.0570749813e-04,8.0282195995e-04
2.1440000000e-03,5.0632294005e-04,6.1022536102e-04,7.0264592068e-04,8.0289151811e-04
3.1440000000e-03,5.0275983085e-04,6.0798054619e-04,7.0541333116e-04,8.0519363109e-04
4.1440000000e-03,5.0217266107e-04,6.0717600718e-04,7.0468980994e-04,8.0374105892e-04
5.1440000000e-03,5.0748763897e-04,6.0787220718e-04,7.0465692261e-04,8.0435333075e-04
6.1440000000e-03,5.0775732234e-04,6.0995527747e-04,7.0345384302e-04,8.0529629486e-04
7.1440000000e-03,5.0610808103e-04,6.1093116528e-04,7.0391775807e-04,8.0306497694e-04
8.1440000000e-03,5.0669412303e-04,6.0784106608e-04,7.0395704824e-04,8.0273377534e-04
9.1440000000e-03,5.0522161473e-04,6.1080536398e-04,7.0227324613e-04,8.0439625890e-04
1.0144000000e-02,5.0643480790e-04,6.0857277276e-04,7.0617148594e-04,8.0426871136e-04
1.1144000000e-02,5.0597594964e-04,6.1256912886e-04,7.0233872975e-04,8.0363613961e-04
1.2144000000e-02,5.0667116739e-04,6.0905051214e-04,7.0478607086e-04,8.0212012108e-04
1.3144000000e-02,5.0673970691e-04,6.0546994064e-04,7.0358910307e-04,8.0150595750e-04
1.4144000000e-02,5.0723836466e-04,6.0886362917e-04,7.0195150329e-04,8.0133955635e-04
1.5144000000e-02,5.0676386309e-04,6.0910486354e-04,6.9749912655e-04,8.0244630226e-04
1.6144000000e-02,5.0564427511e-04,6.1234422901e-04,7.0190362749e-04,8.0231460743e-04
1.7144000000e-02,5.0553346227e-04,6.0801143263e-04,7.0074303949e-04,8.0245998106e-04
1.8144000000e-02,5.0648763136e-04,6.0951999330e-04,7.0031383075e-04,8.0166406406e-04
1.9144000000e-02,5.0300746807e-04,6.1108003138e-04,7.0451540523e-04,8.0155426986e-04
2.0144000000e-02,5.0284084864e-04,6.1022146838e-04,7.0292175224e-04,8.0083766079e-04
2.1144000000e-02,5.0377093430e-04,6.1004357121e-04,7.0301241067e-04,7.9997458670e-04
2.2144000000e-02,5.0817285228e-04,6.1079816078e-04,7.0230409619e-04,8.0119847553e-04
2.3144000000e-02,5.0709550123e-04,6.0991787905e-04,7.0291600423e-04,8.0165074905e-04
2.4144000000e-02,5.0616774388e-04,6.1271537561e-04,6.9503192208e-04,8.0164471001e-04
2.5144000000e-02,5.0525180995e-04,6.1040598666e-04,6.9899135269e-04,8.0173478636e-04
2.6144000000e-02,5.0689872296e-04,6.0816910263e-04,7.0516449341e-04,8.0033350969e-04
2.7144000000e-02,5.0679085689e-04,6.1028284108e-04,7.0309819421e-04,8.0039033492e-04
2.8144000000e-02,5.0493945309e-04,6.1011785874e-04,7.0327798312e-04,8.0170328147e-04
2.9144000000e-02,5.0616978115e-04,6.0874070186e-04,7.0467889600e-04,8.0006837379e-04
3.0144000000e-02,5.0088870921e-04,6.0524009314e-04,7.0785405114e-04,8.0086298112e-04
3.1144000000e-02,5.0190090406e-04,6.1168408138e-04,7.0435969974e-04,8.0084966612e-04
3.2144000000e-02,5.0356058637e-04,6.1180042394e-04,7.0809881436e-04,8.0106656242e-04
3.3144000000e-02,5.0304559409e-04,6.0900136305e-04,7.0376590884e-04,8.0212652392e-04
3.4144000000e-02,5.0242251746e-04,6.1054743128e-04,7.0416012022e-04,8.0168167187e-04
3.5144000000e-02,5.0327475037e-04,6.1020866269e-04,7.0417816460e-04,8.0157908087e-04
3.6144000000e-02,5.0223265134e-04,6.0866404965e-04,7.0417780080e-04,8.0183031969e-04
3.7144000000e-02,5.0303522585e-04,6.1306302086e-04,7.0610585681e-04,8.0141748185e-04
3.8144000000e-02,5.0355556596e-04,6.1049919168e-04,7.0670779678e-04,8.0028461525e-04
3.9144000000e-02,5.0428741815e-04,6.1184015067e-04,7.0858106483e-04,8.0092751887e-04
4.0144000000e-02,5.0422018830e-04,6.1051432567e-04,7.0250302088e-04,8.0113553850e-04
4.1144000000e-02,5.0248960179e-04,6.1114544224e-04,7.0411406341e-04,8.0170488218e-04
4.2144000000e-02,5.0422630011e-04,6.1020793510e-04,7.0689340646e-04,8.0280791735e-04
4.3144000000e-02,5.0761915190e-04,6.0993468651e-04,7.0598245657e-04,8.0215926573e-04
4.4144000000e-02,5.0884620578e-04,6.0754442529e-04,7.0625268563e-04,8.0264115240e-04
4.5144000000e-02,5.0664872106e-04,6.0999933339e-04,7.0861460699e-04,8.0273443018e-04
4.6144000000e-02,5.0693484809e-04,6.0877875512e-04,7.0879126724e-04,8.0448648077e-04
4.7144000000e-02,5.0361475587e-04,6.0765036324e-04,7.0597183367e-04,8.0423094914e-04
4.8144000000e-02,5.0331163948e-04,6.0854752519e-04,7.0677080657e-04,8.0345460447e-04
4.9144000000e-02,5.0437913160e-04,6.0989732447e-04,7.0275011240e-04,8.0541649368e-04
5.0144000000e-02,5.0293117965e-04,6.0934613430e-04,7.0725895057e-04,8.0215751950e-04
5.1144000000e-02,5.0037106121e-04,6.0973761720e-04,7.0705944381e-04,8.0657031504e-04
5.2144000000e-02,5.0179842219e-04,6.0568625486e-04,7.0666974352e-04,8.0205943959e-04
5.3144000000e-02,5.0225491577e-04,6.0710790422e-04,7.0908063208e-04,8.0343779700e-04
5.4144000000e-02,5.0309216022e-04,6.0772406869e-04,7.0702990342e-04,8.0212375906e-04
5.5144000000e-02,5.0505917898e-04,6.0723759816e-04,7.0599067840e-04,8.0256992078e-04
5.6144000000e-02,5.0293285312e-04,6.0631409724e-04,7.0668698754e-04,8.0263183918e-04
5.7144000000e-02,5.0353442930e-04,6.1220285716e-04,7.0582806075e-04,8.0182799138e-04
5.8144000000e-02,5.0258095143e-04,6.1175276642e-04,6.9895650086e-04,8.0208774307e-04
5.9144000000e-02,5.0255566748e-04,6.1223232478e-04,7.0333248004e-04,8.0238161900e-04
6.0144000000e-02,5.0270682550e-04,6.0999373090e-04,7.0283982495e-04,8.0265861470e-04
6.1144000000e-02,5.0113678299e-04,6.0676407884e-04,6.9944289862e-04,8.0179801444e-04
6.2144000000e-02,5.0164453569e-04,6.1073696997e-04,7.0406327723e-04,8.0209989392e-04
