# Saved on 2025-07-11T15:52:39.851492
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE05
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_500.00 uS,Conductance_Target_600.00 uS,Conductance_Target_700.00 uS,Conductance_Target_800.00 uS
1.4400000000e-04,5.0270715292e-04,6.2211343902e-04,7.0242887887e-04,8.0081212218e-04
1.0001440000e+00,5.0026475947e-04,6.2505983806e-04,7.0471032814e-04,8.0162892118e-04
2.0001440000e+00,5.0240800192e-04,6.2363214965e-04,7.0277041232e-04,8.0389734649e-04
3.0001440000e+00,5.0105343689e-04,6.2135157350e-04,7.0161120675e-04,8.0462486949e-04
4.0001440000e+00,5.0386017392e-04,6.1943806941e-04,6.9503723353e-04,8.0776422692e-04
5.0001440000e+00,5.0190643378e-04,6.2220984546e-04,6.9968344178e-04,8.1271813542e-04
6.0001440000e+00,5.0324550102e-04,6.2104038079e-04,7.0093396062e-04,8.0445104686e-04
7.0001440000e+00,5.0119837397e-04,6.1853294028e-04,6.9941823313e-04,8.0577563494e-04
8.0001440000e+00,4.9918908189e-04,6.1806131271e-04,7.0104280894e-04,8.0519006588e-04
9.0001440000e+00,5.0313123211e-04,6.1851445935e-04,7.0202004281e-04,8.0643803813e-04
1.0000144000e+01,5.0510359870e-04,6.2596503994e-04,7.0111149398e-04,8.0656696809e-04
1.1000144000e+01,4.9974634749e-04,6.2051971327e-04,7.0709022111e-04,8.0311532656e-04
1.2000144000e+01,5.0205519074e-04,6.2044418883e-04,6.9989895565e-04,8.0291225458e-04
1.3000144000e+01,5.0293896493e-04,6.1241538788e-04,7.0096954005e-04,8.0433761468e-04
1.4000144000e+01,5.0039412599e-04,6.2269704358e-04,7.0233538281e-04,8.0912795966e-04
1.5000144000e+01,5.0171314797e-04,6.2480714405e-04,6.9654364779e-04,8.0533485743e-04
1.6000144000e+01,5.0172755437e-04,6.2254039221e-04,6.9967507443e-04,8.0903715570e-04
1.7000144000e+01,5.0240105338e-04,6.1954502598e-04,6.9961533882e-04,8.1036909251e-04
1.8000144000e+01,5.0284361350e-04,6.1565784563e-04,7.0062262239e-04,8.0958438048e-04
1.9000144000e+01,5.0361064496e-04,6.1872597144e-04,7.0457987022e-04,8.1111807958e-04
2.0000144000e+01,5.0041104259e-04,6.1646591348e-04,7.0118367148e-04,8.1034188042e-04
2.1000144000e+01,4.9623173254e-04,6.1494632973e-04,7.0559050073e-04,8.0486090155e-04
2.2000144000e+01,5.0230741181e-04,6.2149243604e-04,7.0078851422e-04,8.0823781900e-04
2.3000144000e+01,5.0422855566e-04,6.1792350607e-04,6.9822468504e-04,8.0781108409e-04
2.4000144000e+01,5.0349928642e-04,6.1835657107e-04,7.0003530709e-04,8.0651596363e-04
2.5000144000e+01,5.0158432714e-04,6.1950340751e-04,6.9599860581e-04,8.0418292782e-04
2.6000144000e+01,5.0144659326e-04,6.1623417423e-04,6.9300185714e-04,8.0813879322e-04
2.7000144000e+01,5.0449165428e-04,6.1729158915e-04,6.9555520895e-04,8.0435638665e-04
2.8000144000e+01,5.1014947530e-04,6.1751474277e-04,6.9587476901e-04,8.0608107965e-04
2.9000144000e+01,5.0422986533e-04,6.1283441028e-04,6.8773268140e-04,8.0369456555e-04
