# Saved on 2025-07-11T18:13:14.229806
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE08
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S)
1.4400000000e-04,4.9129339459e-04,5.9294743551e-04
1.0001440000e+00,5.1233382692e-04,5.9119407524e-04
2.0001440000e+00,5.1843548135e-04,5.9223177232e-04
3.0001440000e+00,5.1965827879e-04,5.9147965658e-04
4.0001440000e+00,5.1455117500e-04,5.9122266975e-04
5.0001440000e+00,5.5085169151e-04,5.8978694142e-04
6.0001440000e+00,5.5505464843e-04,5.9082285588e-04
7.0001440000e+00,5.4083833675e-04,5.9195339418e-04
8.0001440000e+00,5.4157953855e-04,5.9160422097e-04
9.0001440000e+00,5.4042269767e-04,5.9323410824e-04
1.0000144000e+01,5.0490860303e-04,5.9732541558e-04
1.1000144000e+01,5.1780316426e-04,5.9322457673e-04
1.2000144000e+01,5.1425977290e-04,5.9385496570e-04
1.3000144000e+01,5.0661576097e-04,5.9307985794e-04
1.4000144000e+01,5.1498089306e-04,5.9189031163e-04
1.5000144000e+01,5.1341437938e-04,5.8934678236e-04
1.6000144000e+01,5.0757927966e-04,5.9091067669e-04
1.7000144000e+01,5.0370414101e-04,5.8910907683e-04
1.8000144000e+01,5.0359489251e-04,5.9481673816e-04
1.9000144000e+01,5.0931921578e-04,5.9302285081e-04
2.0000144000e+01,5.3326577472e-04,5.9674039221e-04
2.1000144000e+01,5.3770803788e-04,5.9173769841e-04
2.2000144000e+01,5.3839572502e-04,5.9189267631e-04
2.3000144000e+01,5.1242943300e-04,5.9339035943e-04
2.4000144000e+01,5.1349539717e-04,5.9376186982e-04
2.5000144000e+01,5.4917822126e-04,5.9071811847e-04
2.6000144000e+01,5.4769116105e-04,5.8823381551e-04
2.7000144000e+01,5.4388168792e-04,5.8754150814e-04
2.8000144000e+01,5.4417861975e-04,5.9099631471e-04
2.9000144000e+01,5.4093728977e-04,5.9368438087e-04
3.0000144000e+01,5.4500422266e-04,5.9248250182e-04
3.1000144000e+01,5.4345222452e-04,5.9709811467e-04
3.2000144000e+01,5.4625743360e-04,5.9351677919e-04
3.3000144000e+01,5.3967025451e-04,5.9431502450e-04
3.4000144000e+01,5.4271575209e-04,5.9085436078e-04
3.5000144000e+01,5.1412469475e-04,5.8884681494e-04
3.6000144000e+01,5.0794449635e-04,5.8999023167e-04
3.7000144000e+01,5.1838411309e-04,5.8661742514e-04
3.8000144000e+01,5.1395327318e-04,5.8498877479e-04
3.9000144000e+01,5.1363836974e-04,5.8286026615e-04
4.0000144000e+01,5.1699709729e-04,5.8224897657e-04
4.1000144000e+01,5.4416104831e-04,5.8953955886e-04
4.2000144000e+01,5.1049901231e-04,5.8479687141e-04
4.3000144000e+01,5.1129634812e-04,5.8462464949e-04
4.4000144000e+01,5.1192182582e-04,5.8133708080e-04
4.5000144000e+01,4.9905767810e-04,5.8077261201e-04
4.6000144000e+01,4.9862417654e-04,5.8213652665e-04
4.7000144000e+01,5.0770348025e-04,5.8230834838e-04
4.8000144000e+01,5.1045022701e-04,5.8471043303e-04
