# Saved on 2025-07-11T18:53:17.521927
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0006
#   max_gtarget: 0.0005
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_600.00 uS,Conductance_Target_500.00 uS
1.4400000000e-04,5.9621848777e-04,5.0038608606e-04
1.1440000000e-03,5.9613030317e-04,5.0005524827e-04
2.1440000000e-03,5.9624559071e-04,5.0723567256e-04
3.1440000000e-03,5.9607096773e-04,4.9979986215e-04
4.1440000000e-03,5.9611556935e-04,5.0017264584e-04
5.1440000000e-03,5.9628429881e-04,5.0013564760e-04
6.1440000000e-03,5.9598183725e-04,5.0019178161e-04
7.1440000000e-03,5.9625966969e-04,4.9987069360e-04
8.1440000000e-03,5.9655390942e-04,4.9541587941e-04
9.1440000000e-03,5.9642421547e-04,4.9532187404e-04
1.0144000000e-02,5.9637244703e-04,4.9554702855e-04
1.1144000000e-02,5.9642909036e-04,4.9547787057e-04
1.2144000000e-02,5.9621415858e-04,4.9507165386e-04
1.3144000000e-02,5.9609628806e-04,4.9484784540e-04
1.4144000000e-02,5.9635636717e-04,4.9567799579e-04
1.5144000000e-02,5.9635935031e-04,4.7990790335e-04
1.6144000000e-02,5.9654328652e-04,4.8009878810e-04
1.7144000000e-02,5.9665755543e-04,4.8000143579e-04
1.8144000000e-02,5.9647551097e-04,4.8599333240e-04
1.9144000000e-02,5.9633606725e-04,4.8460588005e-04
2.0144000000e-02,5.9591333411e-04,4.8445235734e-04
2.1144000000e-02,5.9615889768e-04,4.8461148253e-04
2.2144000000e-02,5.9631594922e-04,4.8475667427e-04
2.3144000000e-02,5.9639973188e-04,4.7032521252e-04
2.4144000000e-02,5.9587382566e-04,4.7035318858e-04
2.5144000000e-02,5.9598118241e-04,4.7123368859e-04
2.6144000000e-02,5.9608850279e-04,4.6516244765e-04
2.7144000000e-02,5.9648697061e-04,4.6515491704e-04
2.8144000000e-02,5.9626745497e-04,4.6513923735e-04
2.9144000000e-02,5.9571269958e-04,4.7981146054e-04
3.0144000000e-02,5.9625195718e-04,4.8113557568e-04
3.1144000000e-02,5.9687536123e-04,4.8532456276e-04
3.2144000000e-02,5.9597354266e-04,4.8536057875e-04
3.3144000000e-02,5.9667163441e-04,4.8512723879e-04
3.4144000000e-02,5.9664806031e-04,4.8508238251e-04
3.5144000000e-02,5.9639842220e-04,4.8462406994e-04
3.6144000000e-02,5.9645361034e-04,4.8453090130e-04
3.7144000000e-02,5.9623132984e-04,4.8095993407e-04
3.8144000000e-02,5.9182915720e-04,4.7999375965e-04
3.9144000000e-02,5.9142010286e-04,4.7999605158e-04
4.0144000000e-02,5.9151323512e-04,4.8010257160e-04
4.1144000000e-02,5.9196579969e-04,4.8236965085e-04
4.2144000000e-02,5.9209825849e-04,4.8232966947e-04
4.3144000000e-02,5.9205074649e-04,4.8218647862e-04
4.4144000000e-02,5.9233760112e-04,4.8208268709e-04
4.5144000000e-02,5.9186557337e-04,4.8208552471e-04
4.6144000000e-02,5.9174570197e-04,4.8737008910e-04
4.7144000000e-02,5.9127869463e-04,4.8717385653e-04
4.8144000000e-02,5.9181100369e-04,4.8693182180e-04
4.9144000000e-02,5.9227379097e-04,4.8740290367e-04
5.0144000000e-02,5.9216596128e-04,4.8728543334e-04
5.1144000000e-02,5.9223370044e-04,4.8651098041e-04
