# Saved on 2025-07-11T18:53:17.542896
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE09
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0006
#   max_gtarget: 0.0005
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_600.00 uS,Conductance_Target_500.00 uS
1.4400000000e-04,6.0454967752e-04,4.5272117859e-04
1.0001440000e+00,6.0393682361e-04,4.4841755880e-04
2.0001440000e+00,6.0038448282e-04,4.4486685510e-04
3.0001440000e+00,5.9429206885e-04,4.5077646064e-04
4.0001440000e+00,6.0253798438e-04,4.4377160521e-04
5.0001440000e+00,5.9988527937e-04,4.4927055569e-04
6.0001440000e+00,5.9940481151e-04,4.4969194278e-04
7.0001440000e+00,5.9168985899e-04,4.4129257731e-04
8.0001440000e+00,5.9996462369e-04,4.4412641728e-04
9.0001440000e+00,5.9321639128e-04,4.4381569751e-04
1.0000144000e+01,6.0306687374e-04,4.3771669880e-04
1.1000144000e+01,6.0024274717e-04,4.3624822865e-04
1.2000144000e+01,6.2843420892e-04,4.2842497351e-04
1.3000144000e+01,6.3188279455e-04,4.2884868890e-04
1.4000144000e+01,6.2556391640e-04,4.3480085878e-04
1.5000144000e+01,6.2923754740e-04,4.2732783186e-04
1.6000144000e+01,6.2442646595e-04,4.3517207814e-04
1.7000144000e+01,6.2807434006e-04,4.3023352191e-04
1.8000144000e+01,6.2900566263e-04,4.4152224291e-04
1.9000144000e+01,6.2805323978e-04,4.2986619519e-04
2.0000144000e+01,6.2690174673e-04,4.3034171540e-04
2.1000144000e+01,6.3489525928e-04,4.3007690692e-04
2.2000144000e+01,6.3456376665e-04,4.3018972065e-04
2.3000144000e+01,6.3565646997e-04,4.2233707063e-04
2.4000144000e+01,6.3255771238e-04,4.2367286369e-04
2.5000144000e+01,6.3488216256e-04,4.2885829316e-04
2.6000144000e+01,6.3442093960e-04,4.2832853069e-04
2.7000144000e+01,6.3504048740e-04,4.3030882807e-04
2.8000144000e+01,6.3420833612e-04,4.2834202759e-04
2.9000144000e+01,6.3189065258e-04,4.1909748688e-04
3.0000144000e+01,6.2975843321e-04,4.2527371988e-04
3.1000144000e+01,6.3445222622e-04,4.2251416744e-04
3.2000144000e+01,6.3378327468e-04,4.1432729631e-04
3.3000144000e+01,6.3378683990e-04,4.2012019549e-04
3.4000144000e+01,6.3397652411e-04,4.1489336581e-04
3.5000144000e+01,6.3482089899e-04,4.2055002268e-04
3.6000144000e+01,6.3466402935e-04,4.2193736590e-04
3.7000144000e+01,6.3482119003e-04,4.1502942622e-04
3.8000144000e+01,6.3288884121e-04,4.2159197619e-04
3.9000144000e+01,6.3244813646e-04,4.2570296500e-04
4.0000144000e+01,6.3527069869e-04,4.2203748308e-04
4.1000144000e+01,6.2744860770e-04,4.2226187361e-04
4.2000144000e+01,6.3226645580e-04,4.1578674427e-04
4.3000144000e+01,6.3538267568e-04,4.1595161747e-04
4.4000144000e+01,6.3186620537e-04,4.2200499593e-04
4.5000144000e+01,6.3547900936e-04,4.2824780394e-04
4.6000144000e+01,6.3487808802e-04,4.2204810597e-04
4.7000144000e+01,6.3478604716e-04,4.2303305236e-04
4.8000144000e+01,6.3473453338e-04,4.2160096200e-04
4.9000144000e+01,6.3464569394e-04,4.2966665205e-04
5.0000144000e+01,6.3259372837e-04,4.1419381887e-04
5.1000144000e+01,6.3233179389e-04,4.2088799091e-04
5.2000144000e+01,6.3999250415e-04,4.1544280975e-04
5.3000144000e+01,6.2597944634e-04,4.1365390643e-04
5.4000144000e+01,6.3731669798e-04,4.1296709242e-04
5.5000144000e+01,6.3962477725e-04,4.1943458200e-04
5.6000144000e+01,6.3419000071e-04,4.2003797716e-04
5.7000144000e+01,6.3851723098e-04,4.1791336116e-04
5.8000144000e+01,6.3845487603e-04,4.0756985982e-04
5.9000144000e+01,6.3953913923e-04,4.1805993533e-04
6.0000144000e+01,6.3743238570e-04,4.2294424929e-04
6.1000144000e+01,6.3688603404e-04,4.1659081035e-04
6.2000144000e+01,6.3233695982e-04,4.0029422962e-04
6.3000144000e+01,6.3884202973e-04,3.9925886085e-04
6.4000144000e+01,6.3896703068e-04,4.0652088501e-04
6.5000144000e+01,6.3926643634e-04,3.9493112126e-04
6.6000144000e+01,6.3995656092e-04,3.9551388909e-04
6.7000144000e+01,6.3878840592e-04,4.0042461478e-04
6.8000144000e+01,6.3854829932e-04,4.0631362936e-04
6.9000144000e+01,6.3895822677e-04,4.0514136344e-04
7.0000144000e+01,6.3726736698e-04,4.0152830479e-04
7.1000144000e+01,6.3893974584e-04,3.9431452024e-04
7.2000144000e+01,6.3899293309e-04,4.1208750190e-04
7.3000144000e+01,6.3216954004e-04,4.0576862375e-04
7.4000144000e+01,6.3921055698e-04,4.0141309000e-04
7.5000144000e+01,6.3894498453e-04,4.0139242628e-04
7.6000144000e+01,6.3663086621e-04,4.0226994315e-04
7.7000144000e+01,6.3909901655e-04,4.0216989873e-04
7.8000144000e+01,6.3945211878e-04,4.0045360947e-04
7.9000144000e+01,6.3645115006e-04,4.1239905840e-04
8.0000144000e+01,6.3681065512e-04,4.0572980652e-04
8.1000144000e+01,6.3394356403e-04,3.9749487769e-04
8.2000144000e+01,6.3899700763e-04,4.0724527935e-04
8.3000144000e+01,6.3900552050e-04,3.9413131162e-04
8.4000144000e+01,6.3933104684e-04,4.0946044464e-04
8.5000144000e+01,6.4464031311e-04,4.0925755457e-04
8.6000144000e+01,6.4503357862e-04,4.0299833927e-04
8.7000144000e+01,6.4451989601e-04,4.0314000216e-04
8.8000144000e+01,6.4481610025e-04,4.1576331569e-04
8.9000144000e+01,6.4454186941e-04,4.0525890654e-04
9.0000144000e+01,6.4452367951e-04,4.0059734602e-04
9.1000144000e+01,6.3621650042e-04,4.0715327486e-04
9.2000144000e+01,6.3573635998e-04,4.0583268856e-04
9.3000144000e+01,6.3793289883e-04,4.0775070374e-04
9.4000144000e+01,6.3201347075e-04,4.0554739826e-04
9.5000144000e+01,6.3396320911e-04,4.0829665522e-04
9.6000144000e+01,6.3420033257e-04,4.0874929255e-04
9.7000144000e+01,6.3125618908e-04,4.0034130507e-04
9.8000144000e+01,6.3622617745e-04,4.0791514039e-04
9.9000144000e+01,6.3388724811e-04,4.0512804844e-04
1.0000014400e+02,6.3391220465e-04,3.9813017793e-04
1.0100014400e+02,6.3621606387e-04,4.0640836232e-04
1.0200014400e+02,6.3415594923e-04,4.0745777369e-04
1.0300014400e+02,6.3375031459e-04,4.0666658606e-04
1.0400014400e+02,6.3207240601e-04,4.0698578232e-04
1.0500014400e+02,6.3569714257e-04,4.0702190745e-04
1.0600014400e+02,6.3348838012e-04,4.0697657823e-04
1.0700014400e+02,6.3557905378e-04,4.0684906708e-04
1.0800014400e+02,6.3553132350e-04,4.0423332393e-04
1.0900014400e+02,6.3519706600e-04,4.1305571358e-04
1.1000014400e+02,6.3401726948e-04,4.1451803554e-04
1.1100014400e+02,6.3373343437e-04,4.0641436499e-04
1.1200014400e+02,6.3556552050e-04,4.1280065489e-04
1.1300014400e+02,6.3639869040e-04,4.0028073272e-04
1.1400014400e+02,6.3528277678e-04,3.9649119572e-04
1.1500014400e+02,6.3616440457e-04,4.0773975343e-04
1.1600014400e+02,6.3345236413e-04,4.1452112782e-04
1.1700014400e+02,6.3175088144e-04,4.0496110159e-04
1.1800014400e+02,6.3593841332e-04,4.0765698941e-04
1.1900014400e+02,6.3378618506e-04,4.0769467887e-04
1.2000014400e+02,6.3571940700e-04,3.9982267481e-04
1.2100014400e+02,6.3357510953e-04,4.0740120312e-04
1.2200014400e+02,6.3555780798e-04,4.1371473344e-04
1.2300014400e+02,6.3174396928e-04,4.0783634176e-04
1.2400014400e+02,6.3760853664e-04,4.0794577217e-04
1.2500014400e+02,6.3363222580e-04,4.0405800974e-04
1.2600014400e+02,6.3591956859e-04,4.0120245103e-04
1.2700014400e+02,6.3406580011e-04,4.1357521695e-04
1.2800014400e+02,6.3587336626e-04,4.0544244257e-04
1.2900014400e+02,6.3126470195e-04,3.9827889850e-04
1.3000014400e+02,6.3690997194e-04,3.9958347770e-04
1.3100014400e+02,6.2981605879e-04,4.0454317059e-04
1.3200014400e+02,6.4200772613e-04,4.0475333662e-04
1.3300014400e+02,6.3151834183e-04,4.1142960981e-04
1.3400014400e+02,6.3537008828e-04,4.1068153223e-04
1.3500014400e+02,6.3167164626e-04,4.0766259190e-04
1.3600014400e+02,6.3367726398e-04,4.1800336476e-04
1.3700014400e+02,6.3536397647e-04,4.3009666115e-04
1.3800014400e+02,6.3358966145e-04,4.3231084419e-04
1.3900014400e+02,6.2695464294e-04,4.3144034862e-04
1.4000014400e+02,6.3148814661e-04,4.2813648179e-04
1.4100014400e+02,6.3340587076e-04,4.3087089580e-04
1.4200014400e+02,6.3190665969e-04,4.3556810851e-04
1.4300014400e+02,6.3162377046e-04,4.3506905058e-04
1.4400014400e+02,6.3177336415e-04,4.3264342821e-04
1.4500014400e+02,6.3199571741e-04,4.2908333853e-04
1.4600014400e+02,6.3208943175e-04,4.3409683713e-04
1.4700014400e+02,6.3405794208e-04,4.3428230128e-04
1.4800014400e+02,6.3417232013e-04,4.3090272811e-04
1.4900014400e+02,6.3150328060e-04,4.3364685553e-04
1.5000014400e+02,6.3579456764e-04,4.3330037443e-04
1.5100014400e+02,6.3500840042e-04,4.3349395128e-04
1.5200014400e+02,6.3371095166e-04,4.3063981138e-04
1.5300014400e+02,6.3208732172e-04,4.3249016016e-04
1.5400014400e+02,6.3515530201e-04,4.3068012019e-04
1.5500014400e+02,6.3297011366e-04,4.3369444029e-04
1.5600014400e+02,6.3220941229e-04,4.3074684072e-04
1.5700014400e+02,6.3325962401e-04,4.3304877181e-04
1.5800014400e+02,6.3449537265e-04,4.3324140279e-04
1.5900014400e+02,6.3394822064e-04,4.2920837586e-04
1.6000014400e+02,6.3379324274e-04,4.2804073018e-04
1.6100014400e+02,6.3381048676e-04,4.3928368541e-04
1.6200014400e+02,6.3386876718e-04,4.2379753722e-04
1.6300014400e+02,6.3445731939e-04,4.3067451770e-04
1.6400014400e+02,6.3380670326e-04,4.3591677240e-04
1.6500014400e+02,6.3186358602e-04,4.4019598135e-04
1.6600014400e+02,6.3187348132e-04,4.3211457523e-04
1.6700014400e+02,6.3160085119e-04,4.4324006012e-04
1.6800014400e+02,6.3436877099e-04,4.3927262595e-04
1.6900014400e+02,6.3401224907e-04,4.4079715735e-04
1.7000014400e+02,6.3222229073e-04,4.3925047066e-04
1.7100014400e+02,6.3242492615e-04,4.4028049160e-04
1.7200014400e+02,6.3513325586e-04,4.3730527977e-04
1.7300014400e+02,6.3415682234e-04,4.3871630623e-04
1.7400014400e+02,6.3386229158e-04,4.2954226956e-04
1.7500014400e+02,6.3459367084e-04,4.3511165131e-04
1.7600014400e+02,6.3459447119e-04,4.3489282689e-04
1.7700014400e+02,6.3171784859e-04,4.3597217882e-04
1.7800014400e+02,6.3106235757e-04,4.3860858568e-04
