# Saved on 2025-07-11T19:42:00.010336
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00354
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.5394914448e-03
1.1440000000e-03,3.5403794027e-03
2.1440000000e-03,3.5392923746e-03
3.1440000000e-03,3.5402053618e-03
4.1440000000e-03,3.5395324812e-03
5.1440000000e-03,3.5406654933e-03
6.1440000000e-03,3.5409186967e-03
7.1440000000e-03,3.5401119385e-03
8.1440000000e-03,3.5402891808e-03
9.1440000000e-03,3.5403092625e-03
1.0144000000e-02,3.5405618837e-03
1.1144000000e-02,3.5402330104e-03
1.2144000000e-02,3.5395787563e-03
1.3144000000e-02,3.5397062311e-03
1.4144000000e-02,3.5403220681e-03
1.5144000000e-02,3.5391992424e-03
1.6144000000e-02,3.5392190330e-03
1.7144000000e-02,3.5397356260e-03
1.8144000000e-02,3.5402871436e-03
1.9144000000e-02,3.5393927828e-03
2.0144000000e-02,3.5392923746e-03
2.1144000000e-02,3.5394961014e-03
2.2144000000e-02,3.5395807936e-03
2.3144000000e-02,3.5394015140e-03
2.4144000000e-02,3.5399509943e-03
2.5144000000e-02,3.5397056490e-03
2.6144000000e-02,3.5402589128e-03
2.7144000000e-02,3.5396299791e-03
2.8144000000e-02,3.5396471503e-03
2.9144000000e-02,3.5395074519e-03
3.0144000000e-02,3.5403211950e-03
3.1144000000e-02,3.5392516293e-03
3.2144000000e-02,3.5389457480e-03
3.3144000000e-02,3.5398098407e-03
3.4144000000e-02,3.5397039028e-03
3.5144000000e-02,3.5401905188e-03
3.6144000000e-02,3.5383822978e-03
3.7144000000e-02,3.5395025043e-03
3.8144000000e-02,3.5390298581e-03
3.9144000000e-02,3.5399370245e-03
4.0144000000e-02,3.5405161907e-03
4.1144000000e-02,3.5396212479e-03
4.2144000000e-02,3.5398948239e-03
4.3144000000e-02,3.5400551860e-03
4.4144000000e-02,3.5392303835e-03
4.5144000000e-02,3.5388063407e-03
4.6144000000e-02,3.5396573367e-03
4.7144000000e-02,3.5404905793e-03
4.8144000000e-02,3.5393889993e-03
4.9144000000e-02,3.5395481973e-03
5.0144000000e-02,3.5394611768e-03
5.1144000000e-02,3.5387431853e-03
5.2144000000e-02,3.5390819539e-03
5.3144000000e-02,3.5398133332e-03
5.4144000000e-02,3.5409128759e-03
5.5144000000e-02,3.5397391184e-03
5.6144000000e-02,3.5401739297e-03
5.7144000000e-02,3.5403438960e-03
5.8144000000e-02,3.5401925561e-03
5.9144000000e-02,3.5394055885e-03
6.0144000000e-02,3.5387903336e-03
6.1144000000e-02,3.5403014044e-03
6.2144000000e-02,3.5404061782e-03
6.3144000000e-02,3.5401099012e-03
6.4144000000e-02,3.5405869130e-03
6.5144000000e-02,3.5395717714e-03
6.6144000000e-02,3.5407434916e-03
6.7144000000e-02,3.5399326589e-03
6.8144000000e-02,3.5401390051e-03
6.9144000000e-02,3.5389087861e-03
7.0144000000e-02,3.5405752715e-03
7.1144000000e-02,3.5386689706e-03
7.2144000000e-02,3.5399367334e-03
7.3144000000e-02,3.5406608367e-03
7.4144000000e-02,3.5398759064e-03
7.5144000000e-02,3.5402635694e-03
7.6144000000e-02,3.5404544906e-03
7.7144000000e-02,3.5396349267e-03
7.8144000000e-02,3.5400851630e-03
7.9144000000e-02,3.5395685700e-03
8.0144000000e-02,3.5404344089e-03
8.1144000000e-02,3.5396497697e-03
8.2144000000e-02,3.5389891127e-03
8.3144000000e-02,3.5395665327e-03
8.4144000000e-02,3.5401221248e-03
8.5144000000e-02,3.5395129817e-03
8.6144000000e-02,3.5398508771e-03
8.7144000000e-02,3.5398447653e-03
8.8144000000e-02,3.5396736348e-03
8.9144000000e-02,3.5406963434e-03
9.0144000000e-02,3.5397073952e-03
9.1144000000e-02,3.5391963320e-03
9.2144000000e-02,3.5400220077e-03
9.3144000000e-02,3.5400458728e-03
9.4144000000e-02,3.5401925561e-03
9.5144000000e-02,3.5403206130e-03
9.6144000000e-02,3.5410324926e-03
9.7144000000e-02,3.5400938941e-03
9.8144000000e-02,3.5406067036e-03
9.9144000000e-02,3.5397280590e-03
1.0014400000e-01,3.5402199137e-03
1.0114400000e-01,3.5405301605e-03
1.0214400000e-01,3.5398566979e-03
1.0314400000e-01,3.5393898725e-03
1.0414400000e-01,3.5400167690e-03
1.0514400000e-01,3.5400944762e-03
1.0614400000e-01,3.5397714237e-03
1.0714400000e-01,3.5395342275e-03
1.0814400000e-01,3.5391087295e-03
1.0914400000e-01,3.5401672358e-03
1.1014400000e-01,3.5409699194e-03
1.1114400000e-01,3.5396363819e-03
1.1214400000e-01,3.5406203824e-03
1.1314400000e-01,3.5403011134e-03
1.1414400000e-01,3.5396727617e-03
1.1514400000e-01,3.5398287582e-03
1.1614400000e-01,3.5399917397e-03
1.1714400000e-01,3.5404472146e-03
1.1814400000e-01,3.5404850496e-03
1.1914400000e-01,3.5399862099e-03
1.2014400000e-01,3.5401343484e-03
1.2114400000e-01,3.5403724178e-03
1.2214400000e-01,3.5394335282e-03
1.2314400000e-01,3.5399699118e-03
1.2414400000e-01,3.5395950545e-03
1.2514400000e-01,3.5400173510e-03
1.2614400000e-01,3.5397097236e-03
1.2714400000e-01,3.5397280590e-03
1.2814400000e-01,3.5394966835e-03
1.2914400000e-01,3.5394303268e-03
1.3014400000e-01,3.5396966268e-03
1.3114400000e-01,3.5396043677e-03
1.3214400000e-01,3.5394579754e-03
1.3314400000e-01,3.5393281723e-03
1.3414400000e-01,3.5401110654e-03
1.3514400000e-01,3.5397906322e-03
1.3614400000e-01,3.5401477362e-03
1.3714400000e-01,3.5394798033e-03
