# Saved on 2025-07-11T19:42:00.034837
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE33
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.00354
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -2
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,3.5401614150e-03
1.0001440000e+00,3.5405906965e-03
2.0001440000e+00,3.5392449354e-03
3.0001440000e+00,3.5396733438e-03
4.0001440000e+00,3.5401590867e-03
5.0001440000e+00,3.5397618194e-03
6.0001440000e+00,3.5397981992e-03
7.0001440000e+00,3.5387606476e-03
8.0001440000e+00,3.5396087333e-03
9.0001440000e+00,3.5397167085e-03
1.0000144000e+01,3.5388694960e-03
1.1000144000e+01,3.5391183337e-03
1.2000144000e+01,3.5391587880e-03
1.3000144000e+01,3.5395455780e-03
1.4000144000e+01,3.5385950468e-03
1.5000144000e+01,3.5385944648e-03
1.6000144000e+01,3.5392501741e-03
1.7000144000e+01,3.5391078563e-03
1.8000144000e+01,3.5394504084e-03
1.9000144000e+01,3.5381020280e-03
2.0000144000e+01,3.5391224083e-03
2.1000144000e+01,3.5396456951e-03
2.2000144000e+01,3.5391582060e-03
2.3000144000e+01,3.5387108801e-03
2.4000144000e+01,3.5391122219e-03
2.5000144000e+01,3.5396762541e-03
2.6000144000e+01,3.5384489456e-03
2.7000144000e+01,3.5395007581e-03
2.8000144000e+01,3.5384960938e-03
2.9000144000e+01,3.5396250314e-03
3.0000144000e+01,3.5397859756e-03
3.1000144000e+01,3.5393473809e-03
3.2000144000e+01,3.5396011663e-03
3.3000144000e+01,3.5393534927e-03
3.4000144000e+01,3.5403718357e-03
3.5000144000e+01,3.5401663627e-03
3.6000144000e+01,3.5398415639e-03
3.7000144000e+01,3.5396387102e-03
3.8000144000e+01,3.5388168180e-03
3.9000144000e+01,3.5391774145e-03
4.0000144000e+01,3.5391264828e-03
4.1000144000e+01,3.5402542562e-03
4.2000144000e+01,3.5396681051e-03
4.3000144000e+01,3.5395132727e-03
4.4000144000e+01,3.5398398177e-03
4.5000144000e+01,3.5402644426e-03
4.6000144000e+01,3.5395240411e-03
4.7000144000e+01,3.5402789945e-03
4.8000144000e+01,3.5393916187e-03
4.9000144000e+01,3.5395487794e-03
5.0000144000e+01,3.5399460467e-03
5.1000144000e+01,3.5403826041e-03
5.2000144000e+01,3.5391436541e-03
5.3000144000e+01,3.5399125773e-03
5.4000144000e+01,3.5402440699e-03
5.5000144000e+01,3.5391142592e-03
5.6000144000e+01,3.5403823131e-03
5.7000144000e+01,3.5406241659e-03
5.8000144000e+01,3.5394998849e-03
5.9000144000e+01,3.5402897629e-03
6.0000144000e+01,3.5396957537e-03
6.1000144000e+01,3.5406093230e-03
6.2000144000e+01,3.5398083855e-03
6.3000144000e+01,3.5395345185e-03
6.4000144000e+01,3.5393136204e-03
6.5000144000e+01,3.5399245098e-03
6.6000144000e+01,3.5393625149e-03
6.7000144000e+01,3.5389926052e-03
6.8000144000e+01,3.5400156048e-03
6.9000144000e+01,3.5386823583e-03
7.0000144000e+01,3.5403741640e-03
7.1000144000e+01,3.5396913881e-03
7.2000144000e+01,3.5393470898e-03
7.3000144000e+01,3.5408916301e-03
7.4000144000e+01,3.5398360342e-03
7.5000144000e+01,3.5399734043e-03
7.6000144000e+01,3.5393785220e-03
7.7000144000e+01,3.5393677535e-03
7.8000144000e+01,3.5390898120e-03
7.9000144000e+01,3.5394137376e-03
8.0000144000e+01,3.5404865048e-03
8.1000144000e+01,3.5405482049e-03
8.2000144000e+01,3.5393936560e-03
8.3000144000e+01,3.5402519279e-03
8.4000144000e+01,3.5388491233e-03
8.5000144000e+01,3.5390569246e-03
8.6000144000e+01,3.5405883682e-03
8.7000144000e+01,3.5402312642e-03
8.8000144000e+01,3.5408532131e-03
8.9000144000e+01,3.5407318501e-03
9.0000144000e+01,3.5393040162e-03
9.1000144000e+01,3.5396002932e-03
9.2000144000e+01,3.5400970955e-03
9.3000144000e+01,3.5411294084e-03
9.4000144000e+01,3.5396995372e-03
9.5000144000e+01,3.5396471503e-03
9.6000144000e+01,3.5395752639e-03
9.7000144000e+01,3.5399486660e-03
9.8000144000e+01,3.5400944762e-03
9.9000144000e+01,3.5400027991e-03
1.0000014400e+02,3.5396186286e-03
1.0100014400e+02,3.5395109444e-03
1.0200014400e+02,3.5391133861e-03
1.0300014400e+02,3.5400557681e-03
1.0400014400e+02,3.5405976814e-03
1.0500014400e+02,3.5405333620e-03
1.0600014400e+02,3.5398700857e-03
1.0700014400e+02,3.5399993067e-03
1.0800014400e+02,3.5404105438e-03
1.0900014400e+02,3.5394218867e-03
1.1000014400e+02,3.5388331162e-03
1.1100014400e+02,3.5390045377e-03
1.1200014400e+02,3.5392076825e-03
1.1300014400e+02,3.5400968045e-03
1.1400014400e+02,3.5402493086e-03
1.1500014400e+02,3.5402266076e-03
1.1600014400e+02,3.5404454684e-03
1.1700014400e+02,3.5388578544e-03
1.1800014400e+02,3.5396520980e-03
1.1900014400e+02,3.5409745760e-03
1.2000014400e+02,3.5403479706e-03
1.2100014400e+02,3.5394111183e-03
1.2200014400e+02,3.5397341708e-03
1.2300014400e+02,3.5407161340e-03
1.2400014400e+02,3.5410936107e-03
1.2500014400e+02,3.5399189801e-03
1.2600014400e+02,3.5397705506e-03
1.2700014400e+02,3.5401724745e-03
1.2800014400e+02,3.5387545358e-03
1.2900014400e+02,3.5391075653e-03
1.3000014400e+02,3.5397510510e-03
1.3100014400e+02,3.5397676402e-03
1.3200014400e+02,3.5389512777e-03
1.3300014400e+02,3.5404504160e-03
1.3400014400e+02,3.5397784086e-03
1.3500014400e+02,3.5401340574e-03
1.3600014400e+02,3.5402749199e-03
1.3700014400e+02,3.5396576277e-03
1.3800014400e+02,3.5401774221e-03
1.3900014400e+02,3.5395703162e-03
1.4000014400e+02,3.5406273673e-03
1.4100014400e+02,3.5398019827e-03
1.4200014400e+02,3.5397257307e-03
1.4300014400e+02,3.5404277151e-03
1.4400014400e+02,3.5397967440e-03
1.4500014400e+02,3.5391360871e-03
1.4600014400e+02,3.5389259574e-03
1.4700014400e+02,3.5383465001e-03
1.4800014400e+02,3.5390330595e-03
1.4900014400e+02,3.5387792741e-03
1.5000014400e+02,3.5399082117e-03
1.5100014400e+02,3.5391817801e-03
1.5200014400e+02,3.5385735100e-03
1.5300014400e+02,3.5393264261e-03
1.5400014400e+02,3.5383462091e-03
1.5500014400e+02,3.5392105929e-03
1.5600014400e+02,3.5391404526e-03
1.5700014400e+02,3.5389323602e-03
1.5800014400e+02,3.5385304363e-03
1.5900014400e+02,3.5385059891e-03
1.6000014400e+02,3.5394838778e-03
1.6100014400e+02,3.5391183337e-03
1.6200014400e+02,3.5386945819e-03
1.6300014400e+02,3.5386811942e-03
1.6400014400e+02,3.5379236215e-03
1.6500014400e+02,3.5390412086e-03
1.6600014400e+02,3.5396998283e-03
