# Saved on 2025-07-12T12:05:24.347605
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,6.9166278990e-04
1.1440000000e-03,6.9314068242e-04
2.1440000000e-03,6.9333960710e-04
3.1440000000e-03,6.9298672315e-04
4.1440000000e-03,6.9392153819e-04
5.1440000000e-03,6.9448251452e-04
6.1440000000e-03,6.9392997830e-04
7.1440000000e-03,6.9420348154e-04
8.1440000000e-03,6.9454021286e-04
9.1440000000e-03,6.9326786615e-04
1.0144000000e-02,6.9308494858e-04
1.1144000000e-02,6.9333138526e-04
1.2144000000e-02,6.9329842518e-04
1.3144000000e-02,6.9225461630e-04
1.4144000000e-02,6.9261761382e-04
1.5144000000e-02,6.9155867095e-04
1.6144000000e-02,6.9264795457e-04
1.7144000000e-02,6.9393616286e-04
1.8144000000e-02,6.9336354500e-04
1.9144000000e-02,6.9378969783e-04
2.0144000000e-02,6.9515292125e-04
2.1144000000e-02,6.9295383582e-04
2.2144000000e-02,6.9422538218e-04
2.3144000000e-02,6.9511319452e-04
2.4144000000e-02,6.9378293119e-04
2.5144000000e-02,6.9423767854e-04
2.6144000000e-02,6.9410692959e-04
2.7144000000e-02,6.9524408900e-04
2.8144000000e-02,6.9645931944e-04
2.9144000000e-02,6.9262627221e-04
3.0144000000e-02,6.9239431468e-04
3.1144000000e-02,6.9268797233e-04
3.2144000000e-02,6.9237692514e-04
3.3144000000e-02,6.9400994107e-04
3.4144000000e-02,6.9219910074e-04
3.5144000000e-02,6.9217923738e-04
3.6144000000e-02,6.9352252467e-04
3.7144000000e-02,6.9350156991e-04
3.8144000000e-02,6.9340647315e-04
3.9144000000e-02,6.9291505497e-04
4.0144000000e-02,6.9459369115e-04
4.1144000000e-02,6.9223213359e-04
4.2144000000e-02,6.9464418630e-04
4.3144000000e-02,6.9070796599e-04
4.4144000000e-02,6.9053778134e-04
4.5144000000e-02,6.9133813668e-04
4.6144000000e-02,6.9085275754e-04
4.7144000000e-02,6.9324225478e-04
4.8144000000e-02,6.9333676947e-04
4.9144000000e-02,6.9401008659e-04
5.0144000000e-02,6.9330111728e-04
5.1144000000e-02,6.9425121183e-04
5.2144000000e-02,6.9197936682e-04
5.3144000000e-02,6.9440291554e-04
5.4144000000e-02,6.9416339102e-04
5.5144000000e-02,6.9247675128e-04
5.6144000000e-02,6.9261615863e-04
5.7144000000e-02,6.9425652327e-04
5.8144000000e-02,6.9317997259e-04
5.9144000000e-02,6.9398724008e-04
6.0144000000e-02,6.9408502895e-04
6.1144000000e-02,6.9452165917e-04
6.2144000000e-02,6.9321547926e-04
6.3144000000e-02,6.9280438765e-04
6.4144000000e-02,6.9502530096e-04
6.5144000000e-02,6.9316090958e-04
6.6144000000e-02,6.9359964982e-04
6.7144000000e-02,6.9308029197e-04
6.8144000000e-02,6.9534711656e-04
6.9144000000e-02,6.9500456448e-04
7.0144000000e-02,6.9391331635e-04
7.1144000000e-02,6.9291250838e-04
7.2144000000e-02,6.9307963713e-04
7.3144000000e-02,6.9492569310e-04
7.4144000000e-02,6.9255598646e-04
7.5144000000e-02,6.9372625148e-04
7.6144000000e-02,6.9348701800e-04
7.7144000000e-02,6.9489156886e-04
7.8144000000e-02,6.9396759500e-04
7.9144000000e-02,6.9471607276e-04
8.0144000000e-02,6.9423658715e-04
8.1144000000e-02,6.9246547355e-04
8.2144000000e-02,6.9450026785e-04
8.3144000000e-02,6.9524554419e-04
8.4144000000e-02,6.9304682256e-04
8.5144000000e-02,6.9267429353e-04
8.6144000000e-02,6.9355693995e-04
8.7144000000e-02,6.9411173172e-04
8.8144000000e-02,6.9518617238e-04
8.9144000000e-02,6.9338639150e-04
9.0144000000e-02,6.9237372372e-04
9.1144000000e-02,6.9305031502e-04
9.2144000000e-02,6.9368492404e-04
9.3144000000e-02,6.9540175900e-04
9.4144000000e-02,6.9272013207e-04
9.5144000000e-02,6.9398804044e-04
9.6144000000e-02,6.9257708674e-04
9.7144000000e-02,6.9301015174e-04
9.8144000000e-02,6.9611953222e-04
9.9144000000e-02,6.9366738899e-04
1.0014400000e-01,6.9444424298e-04
1.0114400000e-01,6.9488130976e-04
1.0214400000e-01,6.9308618549e-04
1.0314400000e-01,6.9335837907e-04
1.0414400000e-01,6.9246496423e-04
1.0514400000e-01,6.9325193181e-04
1.0614400000e-01,6.9684079790e-04
1.0714400000e-01,6.9360074122e-04
1.0814400000e-01,6.9128247560e-04
1.0914400000e-01,6.9515634095e-04
1.1014400000e-01,6.9549838372e-04
1.1114400000e-01,6.9460787927e-04
1.1214400000e-01,6.9295732828e-04
1.1314400000e-01,6.9326648372e-04
1.1414400000e-01,6.9579087722e-04
1.1514400000e-01,6.9470392191e-04
1.1614400000e-01,6.9236164563e-04
