# Saved on 2025-07-12T12:05:24.372607
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0008
#   num_level: 2
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S)
1.4400000000e-04,6.9020323281e-04
1.0001440000e+00,6.9255642302e-04
2.0001440000e+00,6.9240697485e-04
3.0001440000e+00,6.9229878136e-04
4.0001440000e+00,6.9512207119e-04
5.0001440000e+00,6.9162837462e-04
6.0001440000e+00,6.9613444794e-04
7.0001440000e+00,6.9486814027e-04
8.0001440000e+00,6.9152461947e-04
9.0001440000e+00,6.9303590863e-04
1.0000144000e+01,6.9453250035e-04
1.1000144000e+01,6.9185654866e-04
1.2000144000e+01,6.9026042183e-04
1.3000144000e+01,6.9179761340e-04
1.4000144000e+01,6.9227782660e-04
1.5000144000e+01,6.9054207415e-04
1.6000144000e+01,6.9411049481e-04
1.7000144000e+01,6.9125730079e-04
1.8000144000e+01,6.9134766818e-04
1.9000144000e+01,6.9257454015e-04
2.0000144000e+01,6.9360932685e-04
2.1000144000e+01,6.9318848546e-04
2.2000144000e+01,6.9198831625e-04
2.3000144000e+01,6.9287510996e-04
2.4000144000e+01,6.9400732173e-04
2.5000144000e+01,6.9285844802e-04
2.6000144000e+01,6.9285677455e-04
2.7000144000e+01,6.9178808189e-04
2.8000144000e+01,6.9130066549e-04
2.9000144000e+01,6.9267713116e-04
3.0000144000e+01,6.9126901508e-04
3.1000144000e+01,6.9144778536e-04
3.2000144000e+01,6.9316483859e-04
3.3000144000e+01,6.9453111792e-04
3.4000144000e+01,6.9247034844e-04
3.5000144000e+01,6.9297864684e-04
3.6000144000e+01,6.9306734076e-04
3.7000144000e+01,6.9528301538e-04
3.8000144000e+01,6.9274086854e-04
3.9000144000e+01,6.9148773036e-04
4.0000144000e+01,6.9322515628e-04
4.1000144000e+01,6.9048495789e-04
4.2000144000e+01,6.9457106292e-04
4.3000144000e+01,6.9263194746e-04
4.4000144000e+01,6.9421737862e-04
4.5000144000e+01,6.9392634032e-04
4.6000144000e+01,6.9137837272e-04
4.7000144000e+01,6.9336027082e-04
4.8000144000e+01,6.9562076533e-04
4.9000144000e+01,6.9109126343e-04
5.0000144000e+01,6.9303736382e-04
5.1000144000e+01,6.9318957685e-04
5.2000144000e+01,6.9114284997e-04
5.3000144000e+01,6.9108049502e-04
5.4000144000e+01,6.9344670919e-04
5.5000144000e+01,6.9243164035e-04
5.6000144000e+01,6.9046254794e-04
5.7000144000e+01,6.9315690780e-04
5.8000144000e+01,6.9305220677e-04
5.9000144000e+01,6.9320107286e-04
6.0000144000e+01,6.9236775744e-04
6.1000144000e+01,6.9339963375e-04
6.2000144000e+01,6.9144181907e-04
6.3000144000e+01,6.9206995249e-04
6.4000144000e+01,6.9300949690e-04
6.5000144000e+01,6.9173147494e-04
6.6000144000e+01,6.9515735959e-04
6.7000144000e+01,6.9114874350e-04
6.8000144000e+01,6.9402514782e-04
6.9000144000e+01,6.9228517532e-04
7.0000144000e+01,6.9136178354e-04
7.1000144000e+01,6.9205991167e-04
7.2000144000e+01,6.9234614784e-04
