# Saved on 2025-07-12T12:57:28.144257
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.5
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S)
1.4400000000e-04,5.0425118388e-04,5.9871956182e-04,6.8931251008e-04
1.1440000000e-03,5.0464470405e-04,5.9941372456e-04,6.9274370617e-04
2.1440000000e-03,5.0233204092e-04,5.9988069552e-04,6.9337969762e-04
3.1440000000e-03,5.0201993872e-04,5.9903231886e-04,6.9522669946e-04
4.1440000000e-03,5.0295599067e-04,5.9941092331e-04,6.9569046900e-04
5.1440000000e-03,5.0250029744e-04,6.0152167862e-04,6.9354638981e-04
6.1440000000e-03,5.0685914175e-04,6.0161437432e-04,6.9594359957e-04
7.1440000000e-03,5.0647009630e-04,6.0118276451e-04,6.9514913775e-04
8.1440000000e-03,5.0669088523e-04,6.0163009039e-04,6.9385489041e-04
9.1440000000e-03,5.0787930377e-04,6.0180849687e-04,6.9429013820e-04
1.0144000000e-02,5.0677528634e-04,6.0052389017e-04,6.9321249612e-04
1.1144000000e-02,5.0536757044e-04,6.0077374656e-04,6.9419278589e-04
1.2144000000e-02,5.0485770771e-04,6.0164602473e-04,6.9232461101e-04
1.3144000000e-02,5.0216509408e-04,5.9967052948e-04,6.9273730332e-04
1.4144000000e-02,5.0286987971e-04,6.0038633819e-04,6.9342786446e-04
1.5144000000e-02,5.0341568567e-04,6.0077585658e-04,6.9236550189e-04
1.6144000000e-02,5.0127535360e-04,5.9982507082e-04,6.9373789302e-04
1.7144000000e-02,5.0305141485e-04,6.0093312641e-04,6.9388261181e-04
1.8144000000e-02,5.0252827350e-04,5.9972277086e-04,6.9412548328e-04
1.9144000000e-02,5.0232185458e-04,6.0051781475e-04,6.9548979809e-04
2.0144000000e-02,5.0617345551e-04,6.0056205257e-04,6.9305649959e-04
2.1144000000e-02,5.0500340876e-04,5.9824986238e-04,6.9429341238e-04
2.2144000000e-02,5.0614431530e-04,6.0071201005e-04,6.9445108238e-04
2.3144000000e-02,5.0620477850e-04,6.0242025938e-04,6.9619454734e-04
2.4144000000e-02,5.0499413192e-04,6.0084468714e-04,6.9620662543e-04
2.5144000000e-02,5.0610735343e-04,6.0025347921e-04,6.9414672907e-04
2.6144000000e-02,5.0272494263e-04,5.9918453189e-04,6.9400448410e-04
2.7144000000e-02,5.0509363064e-04,6.0184334870e-04,6.9493486080e-04
2.8144000000e-02,5.0560138334e-04,6.0060257965e-04,6.9489964517e-04
2.9144000000e-02,5.0195489166e-04,6.0068628954e-04,6.9401765359e-04
3.0144000000e-02,5.0609214668e-04,6.0112830397e-04,6.9365640229e-04
3.1144000000e-02,5.0276601542e-04,6.0132526414e-04,6.9293753768e-04
3.2144000000e-02,5.0526403356e-04,6.0124973970e-04,6.9613954111e-04
3.3144000000e-02,5.0251041102e-04,6.0164504248e-04,6.9477682700e-04
3.4144000000e-02,5.0309681683e-04,6.0259393649e-04,6.9239562436e-04
3.5144000000e-02,5.0593876949e-04,6.0237809521e-04,6.9517373049e-04
3.6144000000e-02,5.0265178288e-04,6.0125621530e-04,6.8950474088e-04
