# Saved on 2025-07-12T12:57:28.172656
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0005
#   max_gtarget: 0.0008
#   num_level: 4
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.5
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S)
1.4400000000e-04,4.9985315854e-04,5.9315898397e-04,6.8919689511e-04
1.0001440000e+00,5.0212369388e-04,6.0002552345e-04,6.9315472501e-04
2.0001440000e+00,4.8984937166e-04,5.9985446569e-04,6.9332541898e-04
3.0001440000e+00,5.0150494644e-04,5.9874440922e-04,6.9336871093e-04
4.0001440000e+00,4.9226066039e-04,6.0300317273e-04,6.9255045673e-04
5.0001440000e+00,4.6910972742e-04,6.0093796492e-04,6.9500136306e-04
6.0001440000e+00,4.9218208005e-04,6.0077691160e-04,6.9332381827e-04
7.0001440000e+00,4.8168352805e-04,6.0174581449e-04,6.9331959821e-04
8.0001440000e+00,4.8297657486e-04,6.0163951275e-04,6.9084788265e-04
9.0001440000e+00,4.8032241466e-04,6.0205955378e-04,6.9447436545e-04
1.0000144000e+01,4.8394766054e-04,6.0436850617e-04,6.9424444519e-04
1.1000144000e+01,4.7520479711e-04,6.0298738390e-04,6.9485373388e-04
1.2000144000e+01,4.8066060117e-04,6.0370632127e-04,6.9069457822e-04
1.3000144000e+01,4.8084290029e-04,6.0125552409e-04,6.8901514169e-04
1.4000144000e+01,4.7791367251e-04,6.0103171563e-04,6.8815934355e-04
1.5000144000e+01,4.7930494475e-04,6.0090489569e-04,6.8731817009e-04
1.6000144000e+01,4.8055950174e-04,5.9949736169e-04,6.8920591730e-04
1.7000144000e+01,4.7703910241e-04,6.0218542785e-04,6.8734552769e-04
1.8000144000e+01,4.7855886805e-04,6.0311176640e-04,6.8731416832e-04
1.9000144000e+01,4.7917626944e-04,6.0383332311e-04,6.8678280513e-04
2.0000144000e+01,4.7989975428e-04,6.0225967900e-04,6.8699242547e-04
2.1000144000e+01,4.8516092647e-04,6.0219674197e-04,6.8870373070e-04
2.2000144000e+01,4.8272566346e-04,5.9964757384e-04,6.9026798883e-04
2.3000144000e+01,4.8002799304e-04,6.0023176047e-04,6.8780078436e-04
2.4000144000e+01,4.7872341383e-04,6.0071673943e-04,6.8821784225e-04
2.5000144000e+01,4.7865345550e-04,6.0166330513e-04,6.8783032475e-04
2.6000144000e+01,4.7852194257e-04,6.0350215790e-04,6.8762783485e-04
2.7000144000e+01,4.7884652304e-04,6.0168138589e-04,6.8725501478e-04
2.8000144000e+01,4.7937122872e-04,6.0277656303e-04,6.9124354923e-04
2.9000144000e+01,4.7999263188e-04,6.0284808569e-04,6.8722678407e-04
3.0000144000e+01,4.7916757467e-04,6.0257058067e-04,6.8704386649e-04
3.1000144000e+01,4.7896312026e-04,6.0283666244e-04,6.8787281634e-04
3.2000144000e+01,4.8193851399e-04,5.9975500335e-04,6.8801746238e-04
3.3000144000e+01,4.8476675147e-04,6.0248727095e-04,6.8841014581e-04
3.4000144000e+01,4.8196954594e-04,5.9958634665e-04,6.8650922913e-04
3.5000144000e+01,4.8236368457e-04,6.0312129790e-04,6.8713394285e-04
3.6000144000e+01,4.7862689826e-04,6.0248206864e-04,6.8770044891e-04
