# Saved on 2025-07-12T13:19:02.099266
# Name: Shreenidhi
# Sample_ID: Batch5_Sample5_F3_TPTE39
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 0.7
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.01
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [2, 1]
#   num_loops: 2
#   Read_Voltage: 0.1
#   Pos_Voltage: 1
#   Neg_Voltage: -2
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.002
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0008
#   num_level: 1
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.5
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_800.00 uS
1.4400000000e-04,7.8396318713e-04
1.1440000000e-03,7.8354642028e-04
2.1440000000e-03,7.8424447565e-04
3.1440000000e-03,7.8464210674e-04
4.1440000000e-03,7.8592282080e-04
5.1440000000e-03,7.8627781477e-04
6.1440000000e-03,7.8543249401e-04
7.1440000000e-03,7.8684788605e-04
8.1440000000e-03,7.8707576904e-04
9.1440000000e-03,7.8718039731e-04
1.0144000000e-02,7.8692421084e-04
1.1144000000e-02,7.8752418631e-04
1.2144000000e-02,7.8610617493e-04
1.3144000000e-02,7.8671648225e-04
1.4144000000e-02,7.8742501501e-04
1.5144000000e-02,7.8667093476e-04
1.6144000000e-02,7.8641700384e-04
1.7144000000e-02,7.8552169725e-04
1.8144000000e-02,7.8673590906e-04
1.9144000000e-02,7.8646728070e-04
2.0144000000e-02,7.8650205978e-04
2.1144000000e-02,7.8618075349e-04
2.2144000000e-02,7.8647637565e-04
2.3144000000e-02,7.8609264165e-04
2.4144000000e-02,7.8675875557e-04
2.5144000000e-02,7.8629222116e-04
2.6144000000e-02,7.8760123870e-04
2.7144000000e-02,7.8810582636e-04
2.8144000000e-02,7.8699828009e-04
2.9144000000e-02,7.8821605712e-04
3.0144000000e-02,7.8885961557e-04
3.1144000000e-02,7.8747310909e-04
3.2144000000e-02,7.8749682871e-04
3.3144000000e-02,7.8794771980e-04
3.4144000000e-02,7.8687371570e-04
3.5144000000e-02,7.8831966675e-04
3.6144000000e-02,7.8824312368e-04
3.7144000000e-02,7.8724267951e-04
3.8144000000e-02,7.8715071140e-04
3.9144000000e-02,7.8694749391e-04
4.0144000000e-02,7.8700919403e-04
4.1144000000e-02,7.8713077528e-04
4.2144000000e-02,7.8671822848e-04
4.3144000000e-02,7.8591387137e-04
4.4144000000e-02,7.8695578850e-04
4.5144000000e-02,7.8649303759e-04
4.6144000000e-02,7.8625562310e-04
4.7144000000e-02,7.8690740338e-04
4.8144000000e-02,7.8754586866e-04
4.9144000000e-02,7.8790828411e-04
5.0144000000e-02,7.8809804108e-04
5.1144000000e-02,7.8715325799e-04
5.2144000000e-02,7.8701137681e-04
5.3144000000e-02,7.8687400674e-04
5.4144000000e-02,7.8718003351e-04
5.5144000000e-02,7.8749930253e-04
5.6144000000e-02,7.8735742136e-04
5.7144000000e-02,7.8584234871e-04
5.8144000000e-02,7.8653145465e-04
5.9144000000e-02,7.8682976891e-04
6.0144000000e-02,7.8614066297e-04
6.1144000000e-02,7.8775359725e-04
6.2144000000e-02,7.8755787399e-04
6.3144000000e-02,7.8802695498e-04
6.4144000000e-02,7.8789969848e-04
6.5144000000e-02,7.8671720985e-04
6.6144000000e-02,7.8826516983e-04
6.7144000000e-02,7.8782395576e-04
6.8144000000e-02,7.8669239883e-04
6.9144000000e-02,7.8834367741e-04
7.0144000000e-02,7.8701486927e-04
7.1144000000e-02,7.8761157056e-04
7.2144000000e-02,7.8656739788e-04
